target_id	tpm
lcl|NC_000964.3_cds_NP_387882.1_1	287.567
lcl|NC_000964.3_cds_NP_387883.1_2	165.561
lcl|NC_000964.3_cds_NP_387884.1_3	430.943
lcl|NC_000964.3_cds_NP_387885.1_4	267.143
lcl|NC_000964.3_cds_NP_387886.2_5	323.204
lcl|NC_000964.3_cds_NP_387887.1_6	228.277
lcl|NC_000964.3_cds_NP_387888.1_7	285.004
lcl|NC_000964.3_cds_NP_387889.1_8	6.50208
lcl|NC_000964.3_cds_NP_387890.1_9	839.235
lcl|NC_000964.3_cds_NP_387891.1_10	303.367
lcl|NC_000964.3_cds_NP_387892.1_11	730.226
lcl|NC_000964.3_cds_NP_387893.1_12	865.202
lcl|NC_000964.3_cds_NP_387894.1_13	127.719
lcl|NC_000964.3_cds_NP_387895.1_14	105.847
lcl|NC_000964.3_cds_NP_387896.1_15	96.1494
lcl|NC_000964.3_cds_NP_387897.1_16	27.0568
lcl|NC_000964.3_cds_NP_387898.1_17	62.6583
lcl|NC_000964.3_cds_NP_387899.1_18	91.9013
lcl|NC_000964.3_cds_NP_387900.2_19	104.388
lcl|NC_000964.3_cds_NP_387901.1_20	423.47
lcl|NC_000964.3_cds_NP_387902.1_21	90.5754
lcl|NC_000964.3_cds_NP_387903.1_22	296.897
lcl|NC_000964.3_cds_NP_387904.2_23	50.3921
lcl|NC_000964.3_cds_NP_387905.1_24	16.9724
lcl|NC_000964.3_cds_NP_387906.1_25	153.233
lcl|NC_000964.3_cds_NP_387907.1_26	148.337
lcl|NC_000964.3_cds_NP_387908.1_27	128.724
lcl|NC_000964.3_cds_NP_387909.2_28	108.119
lcl|NC_000964.3_cds_NP_387910.1_29	425.01
lcl|NC_000964.3_cds_NP_387911.1_30	224.826
lcl|NC_000964.3_cds_NP_387912.1_31	205.601
lcl|NC_000964.3_cds_NP_387913.1_32	294.185
lcl|NC_000964.3_cds_NP_387914.1_33	386.664
lcl|NC_000964.3_cds_NP_387915.1_34	55.8502
lcl|NC_000964.3_cds_NP_387916.1_35	56.3783
lcl|NC_000964.3_cds_NP_387917.1_36	61.3268
lcl|NC_000964.3_cds_NP_387918.1_37	4392.39
lcl|NC_000964.3_cds_NP_387919.1_38	173.202
lcl|NC_000964.3_cds_NP_387920.1_39	44.7907
lcl|NC_000964.3_cds_NP_387921.1_40	581.823
lcl|NC_000964.3_cds_NP_387922.1_41	119.733
lcl|NC_000964.3_cds_NP_387923.1_42	114.13
lcl|NC_000964.3_cds_NP_387924.1_43	3.55105
lcl|NC_000964.3_cds_NP_387925.1_44	1588
lcl|NC_000964.3_cds_NP_387926.1_45	54.7124
lcl|NC_000964.3_cds_NP_387927.1_46	111.309
lcl|NC_000964.3_cds_NP_387928.1_47	246.668
lcl|NC_000964.3_cds_NP_387929.1_48	526.846
lcl|NC_000964.3_cds_NP_387930.1_49	4587.86
lcl|NC_000964.3_cds_NP_387931.1_50	275.461
lcl|NC_000964.3_cds_NP_387932.1_51	223.557
lcl|NC_000964.3_cds_NP_387933.1_52	1465.81
lcl|NC_000964.3_cds_NP_387934.1_53	315.6
lcl|NC_000964.3_cds_NP_387935.1_54	659.804
lcl|NC_000964.3_cds_NP_387936.1_55	115.06
lcl|NC_000964.3_cds_NP_387937.1_56	122.445
lcl|NC_000964.3_cds_NP_387938.1_57	29.5937
lcl|NC_000964.3_cds_NP_387939.1_58	75.2483
lcl|NC_000964.3_cds_NP_387940.1_59	191.102
