target_id	tpm
lcl|NC_011916.1_cds_YP_002515376.1_1	144.698
lcl|NC_011916.1_cds_YP_002515377.1_2	161.788
lcl|NC_011916.1_cds_YP_002515378.1_3	82.1177
lcl|NC_011916.1_cds_YP_002515379.1_4	92.8887
lcl|NC_011916.1_cds_YP_002515380.1_5	266.279
lcl|NC_011916.1_cds_YP_002515381.1_6	194.014
lcl|NC_011916.1_cds_YP_002515382.2_7	1940.07
lcl|NC_011916.1_cds_YP_002515383.1_8	1021.51
lcl|NC_011916.1_cds_YP_002515384.1_9	94.0952
lcl|NC_011916.1_cds_YP_002515385.1_10	1457.76
lcl|NC_011916.1_cds_YP_002515386.1_11	588.246
lcl|NC_011916.1_cds_YP_002515387.1_12	72.311
lcl|NC_011916.1_cds_YP_002515388.1_13	156.366
lcl|NC_011916.1_cds_YP_002515389.1_14	128.457
lcl|NC_011916.1_cds_YP_002515390.1_15	213.528
lcl|NC_011916.1_cds_YP_002515391.1_16	55.3385
lcl|NC_011916.1_cds_YP_002515392.1_17	173.359
lcl|NC_011916.1_cds_YP_002515393.1_18	230.051
lcl|NC_011916.1_cds_YP_002515394.1_19	60.5233
lcl|NC_011916.1_cds_YP_002515395.1_20	530.994
lcl|NC_011916.1_cds_YP_009020482.1_21	0
lcl|NC_011916.1_cds_YP_002515396.1_22	115.32
lcl|NC_011916.1_cds_YP_002515397.1_23	187.872
lcl|NC_011916.1_cds_YP_002515398.2_24	92.7669
lcl|NC_011916.1_cds_YP_002515399.1_25	53.1289
lcl|NC_011916.1_cds_YP_002515400.1_26	84.9498
lcl|NC_011916.1_cds_YP_002515401.1_27	21.9976
lcl|NC_011916.1_cds_YP_002515402.1_28	110.304
lcl|NC_011916.1_cds_YP_002515403.2_29	48.5388
lcl|NC_011916.1_cds_YP_002515404.1_30	113.861
lcl|NC_011916.1_cds_YP_002515405.1_31	151.525
lcl|NC_011916.1_cds_YP_002515406.1_32	464.483
lcl|NC_011916.1_cds_YP_002515407.1_33	431.77
lcl|NC_011916.1_cds_YP_009020483.1_34	115.329
lcl|NC_011916.1_cds_YP_002515408.1_35	744.596
lcl|NC_011916.1_cds_YP_002515409.1_36	5634.74
