target_id	tpm
lcl|NC_011916.1_cds_YP_002515376.1_1	119.222
lcl|NC_011916.1_cds_YP_002515377.1_2	128.231
lcl|NC_011916.1_cds_YP_002515378.1_3	69.4637
lcl|NC_011916.1_cds_YP_002515379.1_4	90.8694
lcl|NC_011916.1_cds_YP_002515380.1_5	299.619
lcl|NC_011916.1_cds_YP_002515381.1_6	145.186
lcl|NC_011916.1_cds_YP_002515382.2_7	2196.42
lcl|NC_011916.1_cds_YP_002515383.1_8	790.751
lcl|NC_011916.1_cds_YP_002515384.1_9	37.7647
lcl|NC_011916.1_cds_YP_002515385.1_10	672.492
lcl|NC_011916.1_cds_YP_002515386.1_11	225.296
lcl|NC_011916.1_cds_YP_002515387.1_12	62.2445
lcl|NC_011916.1_cds_YP_002515388.1_13	111.9
lcl|NC_011916.1_cds_YP_002515389.1_14	97.186
lcl|NC_011916.1_cds_YP_002515390.1_15	156.602
lcl|NC_011916.1_cds_YP_002515391.1_16	24.0188
lcl|NC_011916.1_cds_YP_002515392.1_17	69.1162
lcl|NC_011916.1_cds_YP_002515393.1_18	81.6382
lcl|NC_011916.1_cds_YP_002515394.1_19	83.5775
lcl|NC_011916.1_cds_YP_002515395.1_20	1746.52
lcl|NC_011916.1_cds_YP_009020482.1_21	0
lcl|NC_011916.1_cds_YP_002515396.1_22	57.0911
lcl|NC_011916.1_cds_YP_002515397.1_23	49.1272
lcl|NC_011916.1_cds_YP_002515398.2_24	64.1111
lcl|NC_011916.1_cds_YP_002515399.1_25	48.3989
lcl|NC_011916.1_cds_YP_002515400.1_26	111.262
lcl|NC_011916.1_cds_YP_002515401.1_27	17.0052
lcl|NC_011916.1_cds_YP_002515402.1_28	30.26
lcl|NC_011916.1_cds_YP_002515403.2_29	26.9381
lcl|NC_011916.1_cds_YP_002515404.1_30	36.4337
lcl|NC_011916.1_cds_YP_002515405.1_31	33.8364
lcl|NC_011916.1_cds_YP_002515406.1_32	105.741
lcl|NC_011916.1_cds_YP_002515407.1_33	111.178
lcl|NC_011916.1_cds_YP_009020483.1_34	53.7951
lcl|NC_011916.1_cds_YP_002515408.1_35	1027.28
lcl|NC_011916.1_cds_YP_002515409.1_36	6405.36
lcl|NC_011916.1_cds_YP_002515410.1_37	1335.58
lcl|NC_011916.1_cds_YP_002515411.1_38	313.496
lcl|NC_011916.1_cds_YP_002515412.1_39	23.4239
lcl|NC_011916.1_cds_YP_002515413.1_40	24.6589
lcl|NC_011916.1_cds_YP_002515414.1_41	43.7067
lcl|NC_011916.1_cds_YP_002515415.2_42	383.51
lcl|NC_011916.1_cds_YP_002515416.2_43	528.075
lcl|NC_011916.1_cds_YP_002515417.1_44	1773.19
lcl|NC_011916.1_cds_YP_002515418.1_45	523.56
lcl|NC_011916.1_cds_YP_002515419.1_46	306.145
lcl|NC_011916.1_cds_YP_002515420.1_47	1077.07
lcl|NC_011916.1_cds_YP_002515421.1_48	222.3
lcl|NC_011916.1_cds_YP_002515422.1_49	219.219
lcl|NC_011916.1_cds_YP_002515423.1_50	667.431
lcl|NC_011916.1_cds_YP_002515424.1_51	41.8536
lcl|NC_011916.1_cds_YP_002515425.1_52	67.4926
lcl|NC_011916.1_cds_YP_002515426.1_53	84.2009
lcl|NC_011916.1_cds_YP_002515427.3_54	148.406
lcl|NC_011916.1_cds_YP_002515428.1_55	91.1817
lcl|NC_011916.1_cds_YP_002515429.1_56	143.304
lcl|NC_011916.1_cds_YP_002515430.1_57	952.756
lcl|NC_011916.1_cds_YP_002515431.1_58	38.5608
lcl|NC_011916.1_cds_YP_002515432.1_59	55.5574
lcl|NC_011916.1_cds_YP_002515433.1_60	112.17
lcl|NC_011916.1_cds_YP_002515434.1_61	301.075
lcl|NC_011916.1_cds_YP_002515435.1_62	263.659
lcl|NC_011916.1_cds_YP_002515436.2_63	75.0912
lcl|NC_011916.1_cds_YP_002515437.1_64	247.869
lcl|NC_011916.1_cds_YP_009020484.1_65	0
lcl|NC_011916.1_cds_YP_002515438.1_66	93.6835
lcl|NC_011916.1_cds_YP_002515439.1_67	5.2202
lcl|NC_011916.1_cds_YP_009020485.1_68	0
lcl|NC_011916.1_cds_YP_002515440.1_69	142.911
lcl|NC_011916.1_cds_YP_002515441.1_70	36.8634
lcl|NC_011916.1_cds_YP_002515442.1_71	144.931
lcl|NC_011916.1_cds_YP_002515443.1_72	72.5772
lcl|NC_011916.1_cds_YP_002515444.1_73	85.8928
lcl|NC_011916.1_cds_YP_002515445.1_74	42.3642
lcl|NC_011916.1_cds_YP_002515446.1_75	16.2436
lcl|NC_011916.1_cds_YP_002515447.2_76	51.8476
lcl|NC_011916.1_cds_YP_002515448.1_77	56.1222
lcl|NC_011916.1_cds_YP_002515449.1_78	101.755
lcl|NC_011916.1_cds_YP_002515450.1_79	71.7113
lcl|NC_011916.1_cds_YP_002515451.1_80	67.5247
lcl|NC_011916.1_cds_YP_002515452.1_81	51.0171
lcl|NC_011916.1_cds_YP_002515453.1_82	97.0285
lcl|NC_011916.1_cds_YP_002515454.1_83	45.1942
lcl|NC_011916.1_cds_YP_002515455.1_84	49.0902
lcl|NC_011916.1_cds_YP_002515456.1_85	480.697
lcl|NC_011916.1_cds_YP_002515457.1_86	195.883
lcl|NC_011916.1_cds_YP_002515458.1_87	54.6835
lcl|NC_011916.1_cds_YP_002515459.1_88	48.394
lcl|NC_011916.1_cds_YP_002515460.1_89	117.836
lcl|NC_011916.1_cds_YP_002515461.1_90	366.248
lcl|NC_011916.1_cds_YP_002515462.1_91	64.4167
lcl|NC_011916.1_cds_YP_002515463.2_92	90.4038
lcl|NC_011916.1_cds_YP_002515464.1_93	167.068
lcl|NC_011916.1_cds_YP_002515465.1_94	44.8595
lcl|NC_011916.1_cds_YP_002515466.1_95	49.8022
lcl|NC_011916.1_cds_YP_002515467.1_96	80.3049
lcl|NC_011916.1_cds_YP_002515468.1_97	418.725
lcl|NC_011916.1_cds_YP_002515469.1_98	157.328
