target_id	tpm
lcl|NC_000913.3_cds_NP_414542.1_1	20173.2
lcl|NC_000913.3_cds_NP_414543.1_2	543.562
lcl|NC_000913.3_cds_NP_414544.1_3	452.889
lcl|NC_000913.3_cds_NP_414545.1_4	553.716
lcl|NC_000913.3_cds_NP_414546.1_5	141.588
lcl|NC_000913.3_cds_NP_414547.1_6	58.5326
lcl|NC_000913.3_cds_NP_414548.1_7	8.00884
lcl|NC_000913.3_cds_NP_414549.1_8	934.466
lcl|NC_000913.3_cds_NP_414550.1_9	38.7343
lcl|NC_000913.3_cds_NP_414551.1_10	36.7022
lcl|NC_000913.3_cds_NP_414552.1_11	3.26414
lcl|NC_000913.3_cds_YP_009518733.1_12	0
lcl|NC_000913.3_cds_NP_414554.1_13	5.35619
lcl|NC_000913.3_cds_NP_414555.1_14	551.326
lcl|NC_000913.3_cds_NP_414556.1_15	118.822
lcl|NC_000913.3_cds_NP_414557.1_16	34.0927
lcl|NC_000913.3_cds_NP_414559.1_17	60.1728
lcl|NC_000913.3_cds_YP_025292.1_18	1.2105
lcl|NC_000913.3_cds_NP_414560.1_19	58.3277
lcl|NC_000913.3_cds_NP_414561.1_20	30.3289
lcl|NC_000913.3_cds_NP_414562.1_21	10.4883
lcl|NC_000913.3_cds_NP_414563.1_22	7.16936
lcl|NC_000913.3_cds_NP_414564.1_23	8198.42
lcl|NC_000913.3_cds_NP_414565.1_24	14.8997
lcl|NC_000913.3_cds_NP_414566.1_25	161.033
lcl|NC_000913.3_cds_NP_414567.1_26	187.927
lcl|NC_000913.3_cds_NP_414568.1_27	213.865
lcl|NC_000913.3_cds_NP_414569.1_28	125.45
lcl|NC_000913.3_cds_NP_414570.1_29	77.8752
lcl|NC_000913.3_cds_NP_414571.1_30	9.11055
lcl|NC_000913.3_cds_NP_414572.1_31	214.8
lcl|NC_000913.3_cds_NP_414573.1_32	522.82
lcl|NC_000913.3_cds_NP_414574.1_33	343.623
lcl|NC_000913.3_cds_NP_414576.4_34	67.6402
lcl|NC_000913.3_cds_NP_414577.2_35	4.00284
lcl|NC_000913.3_cds_NP_414578.2_36	1.43056
lcl|NC_000913.3_cds_NP_414579.4_37	4.34627
lcl|NC_000913.3_cds_NP_414580.1_38	2.30162
lcl|NC_000913.3_cds_NP_414581.1_39	5.68839
lcl|NC_000913.3_cds_NP_414582.1_40	0.7078
lcl|NC_000913.3_cds_NP_414583.2_41	1.0854
lcl|NC_000913.3_cds_NP_414584.1_42	0.834979
lcl|NC_000913.3_cds_NP_414585.1_43	0.716809
lcl|NC_000913.3_cds_NP_414586.1_44	1.35065
lcl|NC_000913.3_cds_NP_414587.1_45	0.947247
lcl|NC_000913.3_cds_NP_414588.1_46	26.2908
lcl|NC_000913.3_cds_NP_414589.1_47	16.249
lcl|NC_000913.3_cds_NP_414590.1_48	84.3618
lcl|NC_000913.3_cds_NP_414591.1_49	38.4471
lcl|NC_000913.3_cds_NP_414592.1_50	104.302
lcl|NC_000913.3_cds_NP_414593.1_51	94.4669
lcl|NC_000913.3_cds_NP_414594.1_52	55.776
lcl|NC_000913.3_cds_NP_414595.1_53	152.094
lcl|NC_000913.3_cds_NP_414596.1_54	144.917
lcl|NC_000913.3_cds_NP_414597.1_55	37.1103
lcl|NC_000913.3_cds_YP_009518734.1_56	38.3698
lcl|NC_000913.3_cds_YP_009518735.1_57	129.441
lcl|NC_000913.3_cds_NP_414600.1_58	33.7178
lcl|NC_000913.3_cds_NP_414601.1_59	24.771
lcl|NC_000913.3_cds_NP_414602.1_60	8.1395
lcl|NC_000913.3_cds_NP_414603.1_61	1.48707
lcl|NC_000913.3_cds_NP_414604.1_62	3.01387
lcl|NC_000913.3_cds_NP_414605.1_63	1.72269
lcl|NC_000913.3_cds_NP_414606.1_64	28.0404
lcl|NC_000913.3_cds_NP_414607.1_65	26.9426
lcl|NC_000913.3_cds_NP_414608.1_66	21.8037
lcl|NC_000913.3_cds_NP_414609.1_67	15.6533
lcl|NC_000913.3_cds_NP_414610.1_68	76.3021
lcl|NC_000913.3_cds_NP_414611.1_69	12.6132
lcl|NC_000913.3_cds_YP_002791237.1_70	239.531
lcl|NC_000913.3_cds_YP_025293.1_71	18.3303
lcl|NC_000913.3_cds_NP_414613.1_72	507.362
lcl|NC_000913.3_cds_NP_414614.1_73	316.591
lcl|NC_000913.3_cds_NP_414615.4_74	342.322
lcl|NC_000913.3_cds_NP_414616.1_75	261.912
lcl|NC_000913.3_cds_NP_414617.1_76	9715.41
lcl|NC_000913.3_cds_NP_414618.4_77	5.67716
lcl|NC_000913.3_cds_YP_009518736.1_78	1.48891
lcl|NC_000913.3_cds_YP_025294.2_79	154.329
lcl|NC_000913.3_cds_NP_414620.1_80	198.464
lcl|NC_000913.3_cds_NP_414622.1_81	94.1324
lcl|NC_000913.3_cds_NP_414623.1_82	310.603
lcl|NC_000913.3_cds_NP_414624.1_83	131.565
lcl|NC_000913.3_cds_NP_414625.1_84	125.057
lcl|NC_000913.3_cds_NP_414626.1_85	77.9059
lcl|NC_000913.3_cds_NP_414627.1_86	93.0113
lcl|NC_000913.3_cds_NP_414628.1_87	71.6043
lcl|NC_000913.3_cds_NP_414629.1_88	70.5993
lcl|NC_000913.3_cds_NP_414630.1_89	85.2985
lcl|NC_000913.3_cds_NP_414631.1_90	58.8352
lcl|NC_000913.3_cds_NP_414632.1_91	66.442
lcl|NC_000913.3_cds_NP_414633.1_92	86.5923
lcl|NC_000913.3_cds_NP_414634.1_93	122.1
lcl|NC_000913.3_cds_NP_414635.1_94	98.9334
lcl|NC_000913.3_cds_NP_414636.1_95	133.83
lcl|NC_000913.3_cds_NP_414637.1_96	380.64
lcl|NC_000913.3_cds_NP_414638.1_97	891.625
lcl|NC_000913.3_cds_NP_414639.2_98	161.785
lcl|NC_000913.3_cds_NP_414640.1_99	81.5736
lcl|NC_000913.3_cds_NP_414641.1_100	31.5844
lcl|NC_000913.3_cds_NP_414643.1_101	190.971
lcl|NC_000913.3_cds_NP_414644.1_102	57.9654
lcl|NC_000913.3_cds_NP_414645.1_103	59.8216
lcl|NC_000913.3_cds_YP_009518737.1_104	64.2699
