target_id	tpm
lcl|NC_000913.3_cds_NP_414542.1_1	3824.1
lcl|NC_000913.3_cds_NP_414543.1_2	22.4802
lcl|NC_000913.3_cds_NP_414544.1_3	34.7965
lcl|NC_000913.3_cds_NP_414545.1_4	37.554
lcl|NC_000913.3_cds_NP_414546.1_5	22.1733
lcl|NC_000913.3_cds_NP_414547.1_6	13.992
lcl|NC_000913.3_cds_NP_414548.1_7	6.59402
lcl|NC_000913.3_cds_NP_414549.1_8	130.94
lcl|NC_000913.3_cds_NP_414550.1_9	14.702
lcl|NC_000913.3_cds_NP_414551.1_10	34.2073
lcl|NC_000913.3_cds_NP_414552.1_11	7.37385
lcl|NC_000913.3_cds_YP_009518733.1_12	0
lcl|NC_000913.3_cds_NP_414554.1_13	4.90307
lcl|NC_000913.3_cds_NP_414555.1_14	4909.81
lcl|NC_000913.3_cds_NP_414556.1_15	415.862
lcl|NC_000913.3_cds_NP_414557.1_16	26.3057
lcl|NC_000913.3_cds_NP_414559.1_17	154.675
lcl|NC_000913.3_cds_YP_025292.1_18	15.5949
lcl|NC_000913.3_cds_NP_414560.1_19	331.357
lcl|NC_000913.3_cds_NP_414561.1_20	29.2391
lcl|NC_000913.3_cds_NP_414562.1_21	2.76471
lcl|NC_000913.3_cds_NP_414563.1_22	2.06935
lcl|NC_000913.3_cds_NP_414564.1_23	340.038
lcl|NC_000913.3_cds_NP_414565.1_24	36.4475
lcl|NC_000913.3_cds_NP_414566.1_25	29.3119
lcl|NC_000913.3_cds_NP_414567.1_26	53.9216
lcl|NC_000913.3_cds_NP_414568.1_27	51.0034
lcl|NC_000913.3_cds_NP_414569.1_28	25.6231
lcl|NC_000913.3_cds_NP_414570.1_29	19.4845
lcl|NC_000913.3_cds_NP_414571.1_30	4.05614
lcl|NC_000913.3_cds_NP_414572.1_31	271.23
lcl|NC_000913.3_cds_NP_414573.1_32	5.53262
lcl|NC_000913.3_cds_NP_414574.1_33	7.42184
lcl|NC_000913.3_cds_NP_414576.4_34	12.7103
lcl|NC_000913.3_cds_NP_414577.2_35	8.94174
lcl|NC_000913.3_cds_NP_414578.2_36	0.539824
lcl|NC_000913.3_cds_NP_414579.4_37	2.02018
lcl|NC_000913.3_cds_NP_414580.1_38	1.708
lcl|NC_000913.3_cds_NP_414581.1_39	4.0533
lcl|NC_000913.3_cds_NP_414582.1_40	0.653009
lcl|NC_000913.3_cds_NP_414583.2_41	1.00749
lcl|NC_000913.3_cds_NP_414584.1_42	0.531452
lcl|NC_000913.3_cds_NP_414585.1_43	0.502471
lcl|NC_000913.3_cds_NP_414586.1_44	1.27309
lcl|NC_000913.3_cds_NP_414587.1_45	0.541622
lcl|NC_000913.3_cds_NP_414588.1_46	17.3774
lcl|NC_000913.3_cds_NP_414589.1_47	9.38659
lcl|NC_000913.3_cds_NP_414590.1_48	105.027
lcl|NC_000913.3_cds_NP_414591.1_49	43.3304
lcl|NC_000913.3_cds_NP_414592.1_50	173.061
lcl|NC_000913.3_cds_NP_414593.1_51	111.579
