target_id	tpm
lcl|NC_000962.3_cds_NP_214515.1_1	276.062
lcl|NC_000962.3_cds_NP_214516.1_2	109.073
lcl|NC_000962.3_cds_NP_214517.1_3	50.8771
lcl|NC_000962.3_cds_NP_214518.1_4	116.941
lcl|NC_000962.3_cds_NP_214519.2_5	309.387
lcl|NC_000962.3_cds_NP_214520.1_6	310.03
lcl|NC_000962.3_cds_NP_214521.1_7	200.046
lcl|NC_000962.3_cds_NP_214522.1_8	74.3794
lcl|NC_000962.3_cds_NP_214523.1_9	2312.97
lcl|NC_000962.3_cds_NP_214524.1_10	654.226
lcl|NC_000962.3_cds_NP_214525.1_11	893.764
lcl|NC_000962.3_cds_NP_214526.1_12	315.83
lcl|NC_000962.3_cds_YP_177615.1_13	236.86
lcl|NC_000962.3_cds_NP_214528.1_14	282.303
lcl|NC_000962.3_cds_NP_214529.1_15	300.667
lcl|NC_000962.3_cds_NP_214530.1_16	269.828
lcl|NC_000962.3_cds_NP_214531.1_17	230.537
lcl|NC_000962.3_cds_NP_214532.1_18	397.601
lcl|NC_000962.3_cds_NP_214533.1_19	374.441
lcl|NC_000962.3_cds_NP_214534.1_20	961.374
lcl|NC_000962.3_cds_NP_214535.1_21	54.4117
lcl|NC_000962.3_cds_NP_214536.1_22	20.5258
lcl|NC_000962.3_cds_NP_214537.1_23	99.0264
lcl|NC_000962.3_cds_NP_214538.1_24	109.616
lcl|NC_000962.3_cds_NP_214539.1_25	188.429
lcl|NC_000962.3_cds_NP_214540.1_26	52.0881
lcl|NC_000962.3_cds_NP_214541.1_27	87.2108
lcl|NC_000962.3_cds_NP_214542.1_28	81.5626
lcl|NC_000962.3_cds_NP_214543.1_29	82.2396
lcl|NC_000962.3_cds_NP_214544.1_30	98.3644
lcl|NC_000962.3_cds_NP_214546.1_31	18.8642
lcl|NC_000962.3_cds_NP_214547.1_32	17.8616
lcl|NC_000962.3_cds_NP_214548.1_33	18.1208
lcl|NC_000962.3_cds_YP_177686.1_34	37.0839
lcl|NC_000962.3_cds_NP_214550.1_35	158.712
lcl|NC_000962.3_cds_NP_214551.1_36	101.855
lcl|NC_000962.3_cds_NP_214552.1_37	322.256
lcl|NC_000962.3_cds_NP_214553.1_38	262.378
lcl|NC_000962.3_cds_NP_214554.2_39	294.46
lcl|NC_000962.3_cds_NP_214555.1_40	81.0048
lcl|NC_000962.3_cds_NP_214556.1_41	134.937
lcl|NC_000962.3_cds_NP_214557.1_42	62.3062
lcl|NC_000962.3_cds_NP_214558.1_43	74.611
lcl|NC_000962.3_cds_NP_214559.1_44	88.908
lcl|NC_000962.3_cds_NP_214560.1_45	501.118
lcl|NC_000962.3_cds_NP_214561.1_46	283.571
lcl|NC_000962.3_cds_NP_214562.1_47	64.608
lcl|NC_000962.3_cds_NP_214563.1_48	335.248
lcl|NC_000962.3_cds_YP_177687.1_49	290.359
lcl|NC_000962.3_cds_NP_214565.1_50	118.08
lcl|NC_000962.3_cds_NP_214566.3_51	85.0036
lcl|NC_000962.3_cds_NP_214567.1_52	364.407
lcl|NC_000962.3_cds_NP_214568.1_53	376.973
lcl|NC_000962.3_cds_YP_177688.1_54	553.063
lcl|NC_000962.3_cds_NP_214570.1_55	553.376
lcl|NC_000962.3_cds_NP_214571.1_56	150.474
lcl|NC_000962.3_cds_NP_214572.1_57	144.869
lcl|NC_000962.3_cds_NP_214573.1_58	72.0661
lcl|NC_000962.3_cds_NP_214574.1_59	151.046
lcl|NC_000962.3_cds_YP_007408697.1_60	328.395
lcl|NC_000962.3_cds_YP_177689.1_61	80.8174
lcl|NC_000962.3_cds_NP_214577.1_62	107.546
lcl|NC_000962.3_cds_YP_009030026.1_63	0
lcl|NC_000962.3_cds_NP_214578.1_64	123.055
lcl|NC_000962.3_cds_YP_007408701.1_65	115.521
lcl|NC_000962.3_cds_NP_214579.1_66	207.823
