target_id	tpm
lcl|NC_003112.2_cds_WP_002225747.1_1	183.676
lcl|NC_003112.2_cds_WP_002225748.1_2	169.047
lcl|NC_003112.2_cds_WP_002225749.1_3	55.5442
lcl|NC_003112.2_cds_WP_002220030.1_4	58.5233
lcl|NC_003112.2_cds_WP_002225750.1_5	65.1647
lcl|NC_003112.2_cds_WP_002225751.1_6	329.703
lcl|NC_003112.2_cds_WP_002225752.1_7	121.059
lcl|NC_003112.2_cds_WP_002225753.1_8	70.6401
lcl|NC_003112.2_cds_WP_002221759.1_9	1810.48
lcl|NC_003112.2_cds_WP_002225754.1_10	102.173
lcl|NC_003112.2_cds_WP_002225755.1_11	138.943
lcl|NC_003112.2_cds_WP_002225756.1_12	65.6927
lcl|NC_003112.2_cds_WP_002225757.1_13	184.623
lcl|NC_003112.2_cds_WP_002225758.1_14	46.584
lcl|NC_003112.2_cds_WP_002225759.1_15	119.869
lcl|NC_003112.2_cds_WP_061730199.1_16	1090.33
lcl|NC_003112.2_cds_WP_002216134.1_17	56.0244
lcl|NC_003112.2_cds_WP_141562916.1_18	2809.01
lcl|NC_003112.2_cds_WP_010980743.1_19	0
lcl|NC_003112.2_cds_WP_009349134.1_20	1022.86
lcl|NC_003112.2_cds_WP_165439318.1_21	1006.54
lcl|NC_003112.2_cds_22	0
lcl|NC_003112.2_cds_WP_002221781.1_23	6.22095
lcl|NC_003112.2_cds_24	1392.29
lcl|NC_003112.2_cds_WP_002221783.1_25	3193.66
lcl|NC_003112.2_cds_WP_176607287.1_26	1.36893
lcl|NC_003112.2_cds_27	235.077
lcl|NC_003112.2_cds_WP_002216146.1_28	970.486
lcl|NC_003112.2_cds_WP_002221786.1_29	362.65
lcl|NC_003112.2_cds_WP_002225762.1_30	261.525
lcl|NC_003112.2_cds_WP_002225763.1_31	69.875
lcl|NC_003112.2_cds_WP_002225764.1_32	73.5234
lcl|NC_003112.2_cds_WP_002243923.1_33	69.2107
lcl|NC_003112.2_cds_34	0
lcl|NC_003112.2_cds_WP_002221791.1_35	80.8353
lcl|NC_003112.2_cds_WP_002225766.1_36	78.4114
lcl|NC_003112.2_cds_WP_002215233.1_37	103.874
lcl|NC_003112.2_cds_WP_002243924.1_38	98.366
lcl|NC_003112.2_cds_WP_002225768.1_39	350.936
lcl|NC_003112.2_cds_WP_002225769.1_40	26.4815
