target_id	tpm
lcl|NC_003112.2_cds_WP_002225747.1_1	180.995
lcl|NC_003112.2_cds_WP_002225748.1_2	129.069
lcl|NC_003112.2_cds_WP_002225749.1_3	55.4951
lcl|NC_003112.2_cds_WP_002220030.1_4	57.0826
lcl|NC_003112.2_cds_WP_002225750.1_5	60.1532
lcl|NC_003112.2_cds_WP_002225751.1_6	189.629
lcl|NC_003112.2_cds_WP_002225752.1_7	141.992
lcl|NC_003112.2_cds_WP_002225753.1_8	116.387
lcl|NC_003112.2_cds_WP_002221759.1_9	936.941
lcl|NC_003112.2_cds_WP_002225754.1_10	93.2031
lcl|NC_003112.2_cds_WP_002225755.1_11	68.2079
lcl|NC_003112.2_cds_WP_002225756.1_12	51.0316
lcl|NC_003112.2_cds_WP_002225757.1_13	176.106
lcl|NC_003112.2_cds_WP_002225758.1_14	26.1869
lcl|NC_003112.2_cds_WP_002225759.1_15	100.822
lcl|NC_003112.2_cds_WP_061730199.1_16	1708.88
lcl|NC_003112.2_cds_WP_002216134.1_17	74.0864
lcl|NC_003112.2_cds_WP_141562916.1_18	3659.09
lcl|NC_003112.2_cds_WP_010980743.1_19	0
lcl|NC_003112.2_cds_WP_009349134.1_20	1986.66
lcl|NC_003112.2_cds_WP_165439318.1_21	1095.35
lcl|NC_003112.2_cds_22	0
lcl|NC_003112.2_cds_WP_002221781.1_23	2.14696
lcl|NC_003112.2_cds_24	1337.61
lcl|NC_003112.2_cds_WP_002221783.1_25	2350.28
lcl|NC_003112.2_cds_WP_176607287.1_26	0.907217
lcl|NC_003112.2_cds_27	477.625
lcl|NC_003112.2_cds_WP_002216146.1_28	873.785
lcl|NC_003112.2_cds_WP_002221786.1_29	201.005
lcl|NC_003112.2_cds_WP_002225762.1_30	120.942
lcl|NC_003112.2_cds_WP_002225763.1_31	55.5159
lcl|NC_003112.2_cds_WP_002225764.1_32	63.0771
lcl|NC_003112.2_cds_WP_002243923.1_33	66.4985
lcl|NC_003112.2_cds_34	0
lcl|NC_003112.2_cds_WP_002221791.1_35	73.1027
lcl|NC_003112.2_cds_WP_002225766.1_36	544.961
lcl|NC_003112.2_cds_WP_002215233.1_37	769.541
lcl|NC_003112.2_cds_WP_002243924.1_38	538.273
lcl|NC_003112.2_cds_WP_002225768.1_39	277.38
lcl|NC_003112.2_cds_WP_002225769.1_40	44.0644
lcl|NC_003112.2_cds_WP_002243925.1_41	38.0194
lcl|NC_003112.2_cds_WP_002243926.1_42	20.2854
lcl|NC_003112.2_cds_WP_002243927.1_43	141.094
lcl|NC_003112.2_cds_WP_002215243.1_44	171.998
lcl|NC_003112.2_cds_WP_002215245.1_45	300.495
lcl|NC_003112.2_cds_WP_010980745.1_46	39.2139
lcl|NC_003112.2_cds_WP_002243928.1_47	104.664
lcl|NC_003112.2_cds_WP_002216166.1_48	0
lcl|NC_003112.2_cds_WP_164734201.1_49	0
lcl|NC_003112.2_cds_WP_080610130.1_50	144.919
lcl|NC_003112.2_cds_WP_002221798.1_51	38.3909
lcl|NC_003112.2_cds_WP_002218483.1_52	210.695
lcl|NC_003112.2_cds_WP_002218487.1_53	178.012
lcl|NC_003112.2_cds_WP_002243931.1_54	72.4608
lcl|NC_003112.2_cds_WP_002243932.1_55	61.7173
lcl|NC_003112.2_cds_WP_002243933.1_56	58.2264
lcl|NC_003112.2_cds_WP_002215267.1_57	218.857
lcl|NC_003112.2_cds_WP_161534225.1_58	3030.88
lcl|NC_003112.2_cds_WP_002215274.1_59	49.2202
lcl|NC_003112.2_cds_WP_002224746.1_60	123.747
lcl|NC_003112.2_cds_WP_002220108.1_61	59.0943
lcl|NC_003112.2_cds_WP_002224747.1_62	81.803
lcl|NC_003112.2_cds_WP_002224748.1_63	89.7368
lcl|NC_003112.2_cds_WP_002249104.1_64	93.3562
lcl|NC_003112.2_cds_65	450.282
lcl|NC_003112.2_cds_WP_001003263.1_66	0
lcl|NC_003112.2_cds_67	0
lcl|NC_003112.2_cds_WP_002215299.1_68	1889.31
lcl|NC_003112.2_cds_WP_002215295.1_69	674.6
lcl|NC_003112.2_cds_WP_002226892.1_70	347.101
lcl|NC_003112.2_cds_WP_002215290.1_71	282.604
lcl|NC_003112.2_cds_WP_002215287.1_72	300.227
lcl|NC_003112.2_cds_WP_002215286.1_73	515.029
lcl|NC_003112.2_cds_WP_002224750.1_74	742.652
lcl|NC_003112.2_cds_WP_002224749.1_75	23.5598
lcl|NC_003112.2_cds_76	481.155
lcl|NC_003112.2_cds_WP_002231447.1_77	656.08
lcl|NC_003112.2_cds_78	81.9711
lcl|NC_003112.2_cds_WP_002224748.1_79	89.7368
lcl|NC_003112.2_cds_WP_002224747.1_80	81.803
