uniprot_id	protein	gene	refseq	control_average_tpm.txt	stat_average_tpm.txt	logTPM_control	logTPM_stat
P64389	DNA-binding protein HU-beta	hupB	NP_274254.1;WP_002213508.1;	32170.4	17848.5	14.973446253818892	14.12351521383225
P0A0U2	Integration host factor subunit beta (IHF-beta)	ihfB	NP_274321.1;WP_002213349.1;	1866.77	2283.47	10.866328472376225	11.157012120520006
P64393	Integration host factor subunit alpha (IHF-alpha)	ihfA	NP_273771.1;WP_002214080.1;	1107.76	1263.7	10.113429635079077	10.303438295738681
P0A0Z0	Putative HTH-type transcriptional regulator NMB1378	NA	NP_274394.1;WP_002213178.1;	209.362	983.978	7.7098558011624005	9.942482249601726
Q9JYC7	Probable transcriptional regulatory protein NMB1648	NA	NP_274653.1;WP_002216723.1;	455.02	309.422	8.829786148858991	8.27343196627252
Q9JRT9	Pilin gene inverting protein PivNM-1A (Pilin gene inverting protein PivNM-1B)	pivNM-1B	NP_274559.1;NP_274631.1;WP_002222496.1;	160.205	424.411	7.323775364753788	8.729318238675354
Q7DDC9	Transcriptional regulator, MerR family	NA	NP_274322.1;WP_002213348.1;	370.155	929.934	8.53198570620703	9.86098451755286
Q7DDQ7	Transcriptional regulator, Crp/Fnr family	NA	NP_273429.1;WP_002212452.1;	286.199	330.97	8.160874820967322	8.370556643022587
Q9JYC5	Leucine-responsive regulatory protein	lrp	NP_274655.1;WP_002216720.1;	410.686	531.846	8.681891957459769	9.054864752795519
Q9JZU4	Uncharacterized protein	NA	NP_273937.1;WP_002220683.1;	1361.4	1314.67	10.410875299506131	10.360484993601005
Q7DD45	Uncharacterized protein	NA	NP_275082.1;WP_002215072.1;	716.242	352.154	9.484303309682964	8.46006265968752
Q7DDA2	Transcriptional regulator, GntR family	NA	NP_274570.1;WP_002212831.1;	278.18	225.483	8.11987488953255	7.816874857223372
Q7DD98	Transcriptional regulator MtrA	mtrA	NP_274597.1;WP_002212798.1;	374.595	351.136	8.54918783275305	8.455886104987911
Q9JXT5	Helix-turn-helix family protein	NA	NP_274887.1;WP_002225796.1;	278.638	125.637	8.122248212513272	6.973117589160303
