target_id	tpm
lcl|NC_002516.2_cds_NP_064721.1_1	112.334
lcl|NC_002516.2_cds_NP_064722.1_2	89.5404
lcl|NC_002516.2_cds_NP_064723.1_3	44.2515
lcl|NC_002516.2_cds_NP_064724.1_4	42.4302
lcl|NC_002516.2_cds_NP_064725.1_5	55.9359
lcl|NC_002516.2_cds_NP_064726.1_6	122.52
lcl|NC_002516.2_cds_NP_064727.1_7	17.4167
lcl|NC_002516.2_cds_NP_064728.1_8	17.9434
lcl|NC_002516.2_cds_NP_064729.1_9	17.4972
lcl|NC_002516.2_cds_NP_248700.1_10	14.746
lcl|NC_002516.2_cds_NP_248701.1_11	58.2924
lcl|NC_002516.2_cds_NP_248702.1_12	293.586
lcl|NC_002516.2_cds_NP_248703.1_13	15.1506
lcl|NC_002516.2_cds_NP_248704.1_14	33.6005
lcl|NC_002516.2_cds_NP_248705.1_15	297.942
lcl|NC_002516.2_cds_NP_248706.1_16	36.6359
lcl|NC_002516.2_cds_NP_248707.1_17	20.0404
lcl|NC_002516.2_cds_NP_248708.1_18	27.1644
lcl|NC_002516.2_cds_NP_248709.1_19	483.934
lcl|NC_002516.2_cds_NP_248710.1_20	150.528
lcl|NC_002516.2_cds_NP_248711.1_21	5.60352
lcl|NC_002516.2_cds_NP_248712.1_22	94.5938
lcl|NC_002516.2_cds_NP_248713.1_23	27.9716
lcl|NC_002516.2_cds_NP_248714.1_24	357.803
lcl|NC_002516.2_cds_NP_248715.1_25	204.777
lcl|NC_002516.2_cds_NP_248716.1_26	76.0018
lcl|NC_002516.2_cds_NP_248717.1_27	23.298
lcl|NC_002516.2_cds_NP_248718.1_28	26.6305
lcl|NC_002516.2_cds_NP_248719.1_29	6.82671
lcl|NC_002516.2_cds_NP_248720.1_30	3.48469
lcl|NC_002516.2_cds_NP_248721.1_31	8.23518
lcl|NC_002516.2_cds_NP_248722.1_32	21.2227
lcl|NC_002516.2_cds_YP_008719728.1_33	44.1308
lcl|NC_002516.2_cds_NP_248723.1_34	32.1578
lcl|NC_002516.2_cds_NP_248724.1_35	14.636
lcl|NC_002516.2_cds_NP_248725.1_36	31.8684
lcl|NC_002516.2_cds_NP_248726.1_37	26.8878
lcl|NC_002516.2_cds_NP_248727.1_38	26.531
lcl|NC_002516.2_cds_NP_248728.1_39	1156.46
lcl|NC_002516.2_cds_NP_248729.1_40	6369.26
lcl|NC_002516.2_cds_NP_248730.1_41	12.9268
lcl|NC_002516.2_cds_NP_248731.1_42	6.98032
lcl|NC_002516.2_cds_YP_008719729.1_43	30.093
lcl|NC_002516.2_cds_NP_248732.1_44	81.8619
lcl|NC_002516.2_cds_NP_248733.1_45	18.6892
lcl|NC_002516.2_cds_NP_248734.1_46	22.24
lcl|NC_002516.2_cds_NP_248735.1_47	29.5908
lcl|NC_002516.2_cds_NP_248736.1_48	28.353
lcl|NC_002516.2_cds_NP_248737.1_49	14.8658
lcl|NC_002516.2_cds_NP_248738.1_50	27.2939
lcl|NC_002516.2_cds_NP_248739.1_51	5.18218
lcl|NC_002516.2_cds_NP_248740.1_52	997.479
lcl|NC_002516.2_cds_NP_248741.1_53	1.9092
lcl|NC_002516.2_cds_NP_248742.1_54	42.0314
lcl|NC_002516.2_cds_NP_248744.1_55	77.5268
lcl|NC_002516.2_cds_NP_248745.1_56	150.758
lcl|NC_002516.2_cds_NP_248746.1_57	6.34983
lcl|NC_002516.2_cds_NP_248747.1_58	2.60831
lcl|NC_002516.2_cds_NP_248748.1_59	5.41934
lcl|NC_002516.2_cds_NP_248749.1_60	70.4662
lcl|NC_002516.2_cds_NP_248750.1_61	162.536
lcl|NC_002516.2_cds_NP_248751.1_62	210.514
lcl|NC_002516.2_cds_NP_248752.1_63	14.3801
lcl|NC_002516.2_cds_NP_248753.1_64	39.2621
lcl|NC_002516.2_cds_NP_248754.1_65	34.3893
lcl|NC_002516.2_cds_NP_248755.1_66	17.3097
lcl|NC_002516.2_cds_NP_248756.1_67	35.0926
lcl|NC_002516.2_cds_NP_248757.1_68	37.9568
lcl|NC_002516.2_cds_NP_248758.1_69	352.844
lcl|NC_002516.2_cds_NP_248759.1_70	11.3107
lcl|NC_002516.2_cds_NP_248760.1_71	697.667
lcl|NC_002516.2_cds_NP_248761.1_72	79.3797
lcl|NC_002516.2_cds_NP_248762.1_73	29.7145
lcl|NC_002516.2_cds_NP_248763.1_74	35.8065
lcl|NC_002516.2_cds_NP_248764.1_75	16.7452
lcl|NC_002516.2_cds_NP_248765.1_76	25.7856
lcl|NC_002516.2_cds_NP_248766.1_77	15.7576
lcl|NC_002516.2_cds_NP_248767.1_78	15.6697
lcl|NC_002516.2_cds_NP_248768.1_79	22.0171
lcl|NC_002516.2_cds_NP_248769.1_80	18.3792
lcl|NC_002516.2_cds_NP_248770.1_81	19.7967
lcl|NC_002516.2_cds_NP_248771.1_82	90.4068
lcl|NC_002516.2_cds_NP_248772.1_83	139.261
lcl|NC_002516.2_cds_NP_248773.1_84	30.4407
lcl|NC_002516.2_cds_NP_248774.1_85	22.9581
lcl|NC_002516.2_cds_NP_248775.1_86	563.798
lcl|NC_002516.2_cds_NP_248776.1_87	30.7455
lcl|NC_002516.2_cds_NP_248777.1_88	19.0671
lcl|NC_002516.2_cds_NP_248778.1_89	9.73515
lcl|NC_002516.2_cds_NP_248779.1_90	14.4913
lcl|NC_002516.2_cds_NP_248780.1_91	22.6089
lcl|NC_002516.2_cds_NP_248781.1_92	18.8663
lcl|NC_002516.2_cds_NP_248782.1_93	63.3861
lcl|NC_002516.2_cds_NP_248783.1_94	15.6745
lcl|NC_002516.2_cds_NP_248784.1_95	54.9919
lcl|NC_002516.2_cds_NP_248785.1_96	39.1424
lcl|NC_002516.2_cds_NP_248786.1_97	13.711
lcl|NC_002516.2_cds_NP_248787.1_98	4.56191
lcl|NC_002516.2_cds_NP_248788.1_99	6.41407
lcl|NC_002516.2_cds_NP_248789.1_100	16.3401
lcl|NC_002516.2_cds_NP_248790.1_101	25.6142
lcl|NC_002516.2_cds_NP_248791.1_102	18.3156
lcl|NC_002516.2_cds_NP_248792.1_103	163.137
lcl|NC_002516.2_cds_NP_248793.1_104	4.56406
lcl|NC_002516.2_cds_YP_008719730.1_105	25.4861
lcl|NC_002516.2_cds_NP_248795.1_106	19.1257
lcl|NC_002516.2_cds_NP_248796.1_107	9.17989
lcl|NC_002516.2_cds_NP_248797.1_108	5.34843
lcl|NC_002516.2_cds_NP_248798.1_109	32.1391
lcl|NC_002516.2_cds_NP_248799.1_110	133.092
lcl|NC_002516.2_cds_NP_248800.1_111	3.07011
lcl|NC_002516.2_cds_NP_248801.1_112	3.40256
lcl|NC_002516.2_cds_NP_248802.1_113	3.94283
lcl|NC_002516.2_cds_NP_248803.1_114	15.99
lcl|NC_002516.2_cds_NP_248804.1_115	209.651
lcl|NC_002516.2_cds_NP_248805.1_116	45.045
lcl|NC_002516.2_cds_NP_248806.1_117	60.7983
lcl|NC_002516.2_cds_NP_248807.1_118	26.9481
lcl|NC_002516.2_cds_NP_248808.1_119	23.5997
lcl|NC_002516.2_cds_NP_248809.1_120	28.8808
