target_id	tpm
lcl|NC_002516.2_cds_NP_064721.1_1	48.2806
lcl|NC_002516.2_cds_NP_064722.1_2	30.0685
lcl|NC_002516.2_cds_NP_064723.1_3	16.6927
lcl|NC_002516.2_cds_NP_064724.1_4	11.5129
lcl|NC_002516.2_cds_NP_064725.1_5	21.4071
lcl|NC_002516.2_cds_NP_064726.1_6	34.5617
lcl|NC_002516.2_cds_NP_064727.1_7	42.4283
lcl|NC_002516.2_cds_NP_064728.1_8	7.38463
lcl|NC_002516.2_cds_NP_064729.1_9	6.20938
lcl|NC_002516.2_cds_NP_248700.1_10	6.35478
lcl|NC_002516.2_cds_NP_248701.1_11	19.3554
lcl|NC_002516.2_cds_NP_248702.1_12	145.202
lcl|NC_002516.2_cds_NP_248703.1_13	8.96163
lcl|NC_002516.2_cds_NP_248704.1_14	12.5262
lcl|NC_002516.2_cds_NP_248705.1_15	191.733
lcl|NC_002516.2_cds_NP_248706.1_16	13.3171
lcl|NC_002516.2_cds_NP_248707.1_17	5.59418
lcl|NC_002516.2_cds_NP_248708.1_18	5.05824
lcl|NC_002516.2_cds_NP_248709.1_19	179.489
lcl|NC_002516.2_cds_NP_248710.1_20	23.9641
lcl|NC_002516.2_cds_NP_248711.1_21	2.75815
lcl|NC_002516.2_cds_NP_248712.1_22	28.2313
lcl|NC_002516.2_cds_NP_248713.1_23	7.20191
lcl|NC_002516.2_cds_NP_248714.1_24	6.56501
lcl|NC_002516.2_cds_NP_248715.1_25	10.654
lcl|NC_002516.2_cds_NP_248716.1_26	30.3071
lcl|NC_002516.2_cds_NP_248717.1_27	15.8787
lcl|NC_002516.2_cds_NP_248718.1_28	12.8453
lcl|NC_002516.2_cds_NP_248719.1_29	7.15181
lcl|NC_002516.2_cds_NP_248720.1_30	1.36549
lcl|NC_002516.2_cds_NP_248721.1_31	6.0296
lcl|NC_002516.2_cds_NP_248722.1_32	7.17188
lcl|NC_002516.2_cds_YP_008719728.1_33	13.3391
lcl|NC_002516.2_cds_NP_248723.1_34	7.64388
lcl|NC_002516.2_cds_NP_248724.1_35	6.40381
lcl|NC_002516.2_cds_NP_248725.1_36	15.7805
lcl|NC_002516.2_cds_NP_248726.1_37	11.1525
lcl|NC_002516.2_cds_NP_248727.1_38	9.69106
lcl|NC_002516.2_cds_NP_248728.1_39	1986.51
lcl|NC_002516.2_cds_NP_248729.1_40	9882.59
lcl|NC_002516.2_cds_NP_248730.1_41	4.20686
lcl|NC_002516.2_cds_NP_248731.1_42	2.56231
lcl|NC_002516.2_cds_YP_008719729.1_43	10.4271
lcl|NC_002516.2_cds_NP_248732.1_44	41.7778
lcl|NC_002516.2_cds_NP_248733.1_45	7.8878
lcl|NC_002516.2_cds_NP_248734.1_46	11.7463
lcl|NC_002516.2_cds_NP_248735.1_47	4.30091
lcl|NC_002516.2_cds_NP_248736.1_48	5.79882
lcl|NC_002516.2_cds_NP_248737.1_49	9.09227
lcl|NC_002516.2_cds_NP_248738.1_50	23.6825
lcl|NC_002516.2_cds_NP_248739.1_51	7.81418
lcl|NC_002516.2_cds_NP_248740.1_52	2460.99
lcl|NC_002516.2_cds_NP_248741.1_53	5.19204
lcl|NC_002516.2_cds_NP_248742.1_54	192.737
lcl|NC_002516.2_cds_NP_248744.1_55	22.3361
lcl|NC_002516.2_cds_NP_248745.1_56	49.9002
lcl|NC_002516.2_cds_NP_248746.1_57	2.52791
lcl|NC_002516.2_cds_NP_248747.1_58	1.58655
lcl|NC_002516.2_cds_NP_248748.1_59	4.02003
lcl|NC_002516.2_cds_NP_248749.1_60	365.494
lcl|NC_002516.2_cds_NP_248750.1_61	110.556
lcl|NC_002516.2_cds_NP_248751.1_62	127.29
lcl|NC_002516.2_cds_NP_248752.1_63	8.06717
lcl|NC_002516.2_cds_NP_248753.1_64	11.8708
lcl|NC_002516.2_cds_NP_248754.1_65	11.5486
lcl|NC_002516.2_cds_NP_248755.1_66	5.10413
lcl|NC_002516.2_cds_NP_248756.1_67	11.8749
lcl|NC_002516.2_cds_NP_248757.1_68	17.0404
lcl|NC_002516.2_cds_NP_248758.1_69	186.305
lcl|NC_002516.2_cds_NP_248759.1_70	3.31756
lcl|NC_002516.2_cds_NP_248760.1_71	7.06655
lcl|NC_002516.2_cds_NP_248761.1_72	40.2933
lcl|NC_002516.2_cds_NP_248762.1_73	1.45798
lcl|NC_002516.2_cds_NP_248763.1_74	1.63338
lcl|NC_002516.2_cds_NP_248764.1_75	1.18243
lcl|NC_002516.2_cds_NP_248765.1_76	2.94032
lcl|NC_002516.2_cds_NP_248766.1_77	1.5269
lcl|NC_002516.2_cds_NP_248767.1_78	1.89356
lcl|NC_002516.2_cds_NP_248768.1_79	1.78243
lcl|NC_002516.2_cds_NP_248769.1_80	3.13221
lcl|NC_002516.2_cds_NP_248770.1_81	2.7151
lcl|NC_002516.2_cds_NP_248771.1_82	34.2105
lcl|NC_002516.2_cds_NP_248772.1_83	63.3457
lcl|NC_002516.2_cds_NP_248773.1_84	2.50536
lcl|NC_002516.2_cds_NP_248774.1_85	1.45971
lcl|NC_002516.2_cds_NP_248775.1_86	9.56897
lcl|NC_002516.2_cds_NP_248776.1_87	6.40349
lcl|NC_002516.2_cds_NP_248777.1_88	3.71771
lcl|NC_002516.2_cds_NP_248778.1_89	0.703853
lcl|NC_002516.2_cds_NP_248779.1_90	1.0667
lcl|NC_002516.2_cds_NP_248780.1_91	4.4327
lcl|NC_002516.2_cds_NP_248781.1_92	1.99997
lcl|NC_002516.2_cds_NP_248782.1_93	6.5671
lcl|NC_002516.2_cds_NP_248783.1_94	2.20405
lcl|NC_002516.2_cds_NP_248784.1_95	8.54651
lcl|NC_002516.2_cds_NP_248785.1_96	23.9726
lcl|NC_002516.2_cds_NP_248786.1_97	4.2302
lcl|NC_002516.2_cds_NP_248787.1_98	0.81406
lcl|NC_002516.2_cds_NP_248788.1_99	2.05075
lcl|NC_002516.2_cds_NP_248789.1_100	3.36365
lcl|NC_002516.2_cds_NP_248790.1_101	8.40467
lcl|NC_002516.2_cds_NP_248791.1_102	8.22372
lcl|NC_002516.2_cds_NP_248792.1_103	60.6035
lcl|NC_002516.2_cds_NP_248793.1_104	5.94696
lcl|NC_002516.2_cds_YP_008719730.1_105	17.541
lcl|NC_002516.2_cds_NP_248795.1_106	52.6012
lcl|NC_002516.2_cds_NP_248796.1_107	12.8129
lcl|NC_002516.2_cds_NP_248797.1_108	8.29191
lcl|NC_002516.2_cds_NP_248798.1_109	53.5808
lcl|NC_002516.2_cds_NP_248799.1_110	511.544
lcl|NC_002516.2_cds_NP_248800.1_111	6.54068
lcl|NC_002516.2_cds_NP_248801.1_112	5.02144
lcl|NC_002516.2_cds_NP_248802.1_113	6.16201
lcl|NC_002516.2_cds_NP_248803.1_114	9.94051
lcl|NC_002516.2_cds_NP_248804.1_115	105.005
lcl|NC_002516.2_cds_NP_248805.1_116	13.1801
lcl|NC_002516.2_cds_NP_248806.1_117	27.6399
lcl|NC_002516.2_cds_NP_248807.1_118	5.30235
lcl|NC_002516.2_cds_NP_248808.1_119	4.04769
lcl|NC_002516.2_cds_NP_248809.1_120	4.08658
lcl|NC_002516.2_cds_NP_248810.1_121	9.35538
lcl|NC_002516.2_cds_NP_248811.1_122	8.73665
lcl|NC_002516.2_cds_NP_248812.1_123	3764.99
lcl|NC_002516.2_cds_NP_248813.1_124	35.3082
lcl|NC_002516.2_cds_NP_248814.1_125	129.644
lcl|NC_002516.2_cds_NP_248815.1_126	108.479
lcl|NC_002516.2_cds_NP_248816.1_127	3.21299
lcl|NC_002516.2_cds_NP_248817.1_128	10.428
lcl|NC_002516.2_cds_NP_248818.1_129	45.9949
lcl|NC_002516.2_cds_NP_248819.1_130	6.01426
lcl|NC_002516.2_cds_NP_248820.1_131	5.78339
lcl|NC_002516.2_cds_NP_248821.1_132	14.2581
lcl|NC_002516.2_cds_NP_248822.1_133	3.05677
lcl|NC_002516.2_cds_NP_248823.1_134	10.6894
lcl|NC_002516.2_cds_NP_248824.1_135	10.9909
lcl|NC_002516.2_cds_NP_248825.1_136	30.9391
lcl|NC_002516.2_cds_NP_248826.1_137	3.21881
lcl|NC_002516.2_cds_NP_248827.1_138	2.91669
lcl|NC_002516.2_cds_NP_248828.1_139	9.83085
lcl|NC_002516.2_cds_NP_248829.1_140	351.136
lcl|NC_002516.2_cds_NP_248830.1_141	4.76912
lcl|NC_002516.2_cds_NP_248831.1_142	12.9122
lcl|NC_002516.2_cds_NP_248832.1_143	12.8681
lcl|NC_002516.2_cds_NP_248833.2_144	17.6436
lcl|NC_002516.2_cds_NP_248834.1_145	41.4498
lcl|NC_002516.2_cds_NP_248835.1_146	24.1752
lcl|NC_002516.2_cds_NP_248836.1_147	2.0278
lcl|NC_002516.2_cds_NP_248837.1_148	8.73166
lcl|NC_002516.2_cds_NP_248838.1_149	12.756
lcl|NC_002516.2_cds_NP_248839.1_150	34.4545
lcl|NC_002516.2_cds_NP_248840.1_151	4.41444
lcl|NC_002516.2_cds_NP_248841.1_152	1.95713
lcl|NC_002516.2_cds_NP_248842.1_153	11.7838
lcl|NC_002516.2_cds_NP_248843.1_154	3.30275
lcl|NC_002516.2_cds_NP_248844.1_155	11.4342
lcl|NC_002516.2_cds_NP_248845.1_156	6.52218
lcl|NC_002516.2_cds_NP_248846.1_157	31.6047
lcl|NC_002516.2_cds_NP_248847.1_158	11.9315
lcl|NC_002516.2_cds_NP_248848.1_159	20.6348
lcl|NC_002516.2_cds_NP_248849.1_160	19.4928
lcl|NC_002516.2_cds_NP_248850.1_161	185.261
lcl|NC_002516.2_cds_NP_248852.1_162	4.6416
lcl|NC_002516.2_cds_NP_248853.1_163	10.1
lcl|NC_002516.2_cds_NP_248854.1_164	5.46138
lcl|NC_002516.2_cds_NP_248855.1_165	7.35196
lcl|NC_002516.2_cds_NP_248856.1_166	3.42411
lcl|NC_002516.2_cds_NP_248857.1_167	11.7568
lcl|NC_002516.2_cds_NP_248858.1_168	3.98665
lcl|NC_002516.2_cds_NP_248859.1_169	8.99095
lcl|NC_002516.2_cds_NP_248860.1_170	2.26983
lcl|NC_002516.2_cds_NP_248861.1_171	2.80234
lcl|NC_002516.2_cds_NP_248862.1_172	2.79714
lcl|NC_002516.2_cds_NP_248863.1_173	11.2238
lcl|NC_002516.2_cds_NP_248864.1_174	18.4074
lcl|NC_002516.2_cds_NP_248865.1_175	43.857
lcl|NC_002516.2_cds_NP_248866.1_176	68.8385
lcl|NC_002516.2_cds_NP_248867.1_177	92.7117
lcl|NC_002516.2_cds_NP_248868.1_178	65.5997
lcl|NC_002516.2_cds_NP_248869.1_179	3671.61
lcl|NC_002516.2_cds_NP_248870.1_180	57.1789
lcl|NC_002516.2_cds_NP_248871.1_181	10.5978
lcl|NC_002516.2_cds_NP_248872.1_182	2.49983
lcl|NC_002516.2_cds_NP_248873.1_183	3.05408
lcl|NC_002516.2_cds_NP_248874.1_184	2.18118
lcl|NC_002516.2_cds_NP_248875.1_185	2.55098
lcl|NC_002516.2_cds_NP_248876.1_186	4.86153
lcl|NC_002516.2_cds_NP_248877.1_187	4.13058
lcl|NC_002516.2_cds_NP_248878.1_188	3.91539
lcl|NC_002516.2_cds_NP_248879.1_189	3.08466
lcl|NC_002516.2_cds_NP_248880.1_190	6.06373
lcl|NC_002516.2_cds_NP_248881.1_191	2.88103
lcl|NC_002516.2_cds_NP_248882.1_192	1.8082
lcl|NC_002516.2_cds_NP_248883.1_193	1.15941
lcl|NC_002516.2_cds_NP_248884.1_194	4.72767
lcl|NC_002516.2_cds_NP_248885.1_195	37.1914
lcl|NC_002516.2_cds_NP_248886.2_196	54.6113
lcl|NC_002516.2_cds_NP_248887.1_197	7.50179
lcl|NC_002516.2_cds_NP_248888.1_198	0.55592
lcl|NC_002516.2_cds_NP_248889.1_199	11.9754
lcl|NC_002516.2_cds_NP_248890.1_200	178.695
lcl|NC_002516.2_cds_NP_248891.1_201	7117.02
lcl|NC_002516.2_cds_NP_248892.1_202	31.1974
lcl|NC_002516.2_cds_NP_248893.1_203	1.96805
lcl|NC_002516.2_cds_NP_248894.1_204	0.585672
lcl|NC_002516.2_cds_NP_248895.1_205	3.90685
lcl|NC_002516.2_cds_NP_248896.1_206	3.25645
lcl|NC_002516.2_cds_NP_248897.1_207	3.82975
lcl|NC_002516.2_cds_NP_248898.1_208	12.4759
lcl|NC_002516.2_cds_NP_248899.1_209	24.6343
lcl|NC_002516.2_cds_NP_248900.1_210	5.53367
lcl|NC_002516.2_cds_NP_248901.1_211	7.97547
lcl|NC_002516.2_cds_NP_248902.1_212	3.80554
lcl|NC_002516.2_cds_NP_248903.1_213	4.77311
lcl|NC_002516.2_cds_NP_248904.1_214	2.97777
lcl|NC_002516.2_cds_NP_248905.1_215	12.8629
lcl|NC_002516.2_cds_NP_248906.1_216	48.8793
lcl|NC_002516.2_cds_NP_248907.1_217	5.14839
lcl|NC_002516.2_cds_NP_248908.1_218	6.72104
lcl|NC_002516.2_cds_NP_248909.1_219	7.39002
lcl|NC_002516.2_cds_NP_248910.1_220	1.31071
lcl|NC_002516.2_cds_NP_248911.1_221	6.17602
lcl|NC_002516.2_cds_NP_248912.1_222	1.30938
lcl|NC_002516.2_cds_NP_248913.1_223	1.3744
lcl|NC_002516.2_cds_NP_248914.1_224	10.4076
lcl|NC_002516.2_cds_NP_248915.1_225	6.01176
lcl|NC_002516.2_cds_NP_248916.1_226	9.08885
lcl|NC_002516.2_cds_NP_248917.1_227	2.36133
lcl|NC_002516.2_cds_NP_248918.1_228	1.83038
lcl|NC_002516.2_cds_NP_248919.1_229	4.62221
lcl|NC_002516.2_cds_NP_248920.1_230	3.12518
lcl|NC_002516.2_cds_NP_248921.1_231	8.94497
lcl|NC_002516.2_cds_NP_248922.1_232	1.86307
lcl|NC_002516.2_cds_NP_248923.1_233	14.4067
lcl|NC_002516.2_cds_NP_248924.1_234	6.50418
lcl|NC_002516.2_cds_NP_248925.1_235	12.211
lcl|NC_002516.2_cds_NP_248926.1_236	0.725824
lcl|NC_002516.2_cds_NP_248927.1_237	6.78252
lcl|NC_002516.2_cds_NP_248928.1_238	2.26646
lcl|NC_002516.2_cds_NP_248929.1_239	12.1092
lcl|NC_002516.2_cds_NP_248930.1_240	6.67865
lcl|NC_002516.2_cds_NP_248931.1_241	4.76852
lcl|NC_002516.2_cds_NP_248932.1_242	2.02286
lcl|NC_002516.2_cds_NP_248933.1_243	1.67363
lcl|NC_002516.2_cds_NP_248934.1_244	21.6655
lcl|NC_002516.2_cds_NP_248935.1_245	2.95804
lcl|NC_002516.2_cds_NP_248936.1_246	6.83238
lcl|NC_002516.2_cds_NP_248937.1_247	3.42133
lcl|NC_002516.2_cds_NP_248938.1_248	3.54435
lcl|NC_002516.2_cds_NP_248939.1_249	7.83145
lcl|NC_002516.2_cds_NP_248940.1_250	27.2588
lcl|NC_002516.2_cds_NP_248941.1_251	110.492
lcl|NC_002516.2_cds_NP_248942.1_252	4.53887
lcl|NC_002516.2_cds_NP_248943.1_253	10.4342
lcl|NC_002516.2_cds_NP_248944.1_254	25.1412
lcl|NC_002516.2_cds_NP_248945.1_255	6.73338
lcl|NC_002516.2_cds_NP_248946.1_256	28.9777
lcl|NC_002516.2_cds_NP_248947.1_257	68.1758
lcl|NC_002516.2_cds_NP_248948.1_258	14.3482
lcl|NC_002516.2_cds_NP_248949.1_259	213.398
lcl|NC_002516.2_cds_NP_248950.1_260	35.7063
lcl|NC_002516.2_cds_NP_248951.1_261	7.65443
lcl|NC_002516.2_cds_NP_248952.1_262	13.3293
lcl|NC_002516.2_cds_NP_248953.1_263	6.83075
lcl|NC_002516.2_cds_NP_248954.1_264	10.8563
lcl|NC_002516.2_cds_NP_248956.1_265	21.5765
lcl|NC_002516.2_cds_NP_248957.1_266	28.8997
lcl|NC_002516.2_cds_NP_248958.1_267	4.9706
lcl|NC_002516.2_cds_NP_248959.1_268	5.53955
lcl|NC_002516.2_cds_NP_248960.1_269	39.201
lcl|NC_002516.2_cds_NP_248961.1_270	21.731
lcl|NC_002516.2_cds_NP_248962.1_271	19.3022
lcl|NC_002516.2_cds_NP_248963.1_272	17.6839
lcl|NC_002516.2_cds_NP_248964.1_273	1.80258
lcl|NC_002516.2_cds_NP_248965.1_274	3.53812
lcl|NC_002516.2_cds_NP_248966.1_275	36.2213
lcl|NC_002516.2_cds_NP_248967.1_276	17.2786
lcl|NC_002516.2_cds_NP_248968.1_277	4.30686
lcl|NC_002516.2_cds_NP_248969.1_278	2.41114
lcl|NC_002516.2_cds_NP_248970.1_279	7.82112
lcl|NC_002516.2_cds_NP_248971.1_280	3.43464
lcl|NC_002516.2_cds_NP_248972.1_281	2.49167
lcl|NC_002516.2_cds_NP_248973.1_282	2.11795
lcl|NC_002516.2_cds_NP_248974.1_283	4.42732
lcl|NC_002516.2_cds_NP_248975.1_284	405.161
lcl|NC_002516.2_cds_NP_248976.1_285	5.70505
