uniprot_id	protein	gene	refseq	control_average_tpm.txt	stat_average_tpm.txt	logTPM_control	logTPM_stat
Q06553	HTH-type transcriptional regulator PrtR (Pyocin repressor protein)	prtR	NP_249302.1;WP_003113202.1;	95.0262	25.6871	6.570253433581475	4.682972118182531
P55222	cAMP-activated global transcriptional regulator Vfr	vfr	NP_249343.1;WP_003085214.1;	503.767	196.495	8.97661280907661	7.618348791994075
Q51425	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	ruvA	NP_249657.1;WP_003086122.1;	108.508	32.0443	6.761657602350956	5.001995849763505
P25084	Transcriptional activator protein LasR	lasR	NP_250121.1;WP_003082999.1;	625.746	754.146	9.289433353477213	9.558700040968539
Q51472	Integration host factor subunit alpha (IHF-alpha)	ihfA	NP_251428.1;WP_003090661.1;	2200.99	2044.74	11.103936875151357	10.997701692837579
P95412	Siroheme decarboxylase NirD subunit (EC 4.1.1.111)	nirD	NP_249206.1;WP_003084864.1;	226.333	4.15869	7.8223031387870465	2.0561291466021263
Q51423	Transcriptional regulatory protein PmpR	pmpR	NP_249655.1;WP_003086107.1;	172.801	57.0889	7.432967756181583	5.83513835936034
P95459	Major cold shock protein CspA	cspA	NP_251956.1;WP_003115568.1;	7205.95	1253.29	12.814972926018477	10.291504564567882
G3XCY4	Transcription factor AmrZ (Alginate and motility regulator Z)	amrZ	NP_252075.1;WP_003091802.1;	7694.66	13153.9	12.90964186499714	13.683202987163979
Q9I1M3	Bkd operon transcriptional regulator	bkdR	NP_250936.1;WP_003089245.1;	72.391	64.1177	6.177738440504306	6.002650769629546
P15276	Transcriptional regulatory protein AlgP (Alginate regulatory protein AlgR3)	algP	NP_253940.1;WP_003115263.1;	261.11	124.243	8.028513900869154	6.95702076067881
Q9HTL0	DNA-binding protein HU-alpha	hupA	NP_254035.1;WP_003096630.1;	2790.19	2010.57	11.446147651420718	10.973388850541635
P05384	DNA-binding protein HU-beta	hupB	NP_250495.1;WP_003087931.1;	37267.6	8332.75	15.185634293341577	13.024576981528025
P26275	Positive alginate biosynthesis regulatory protein	algR	NP_253948.1;WP_003096397.1;	197.737	194.694	7.627439039203348	7.605064614132752
P26993	HTH-type transcriptional regulator ExsA	exsA	NP_250404.1;WP_003120334.1;	91.6791	21.1218	6.518520976330457	4.400660881308095
Q51473	Integration host factor subunit beta (IHF-beta)	ihfB	NP_251851.1;WP_003091441.1;	1645.91	1869.72	10.684669734574982	10.86860652009208
Q51373	Response regulator GacA (Global activator)	gacA	NP_251276.1;WP_003090351.1;	296.324	325.179	8.211031668179134	8.345090281215612
Q9I0M3	DNA translocase FtsK	ftsK	NP_251305.1;WP_010895627.1;	104.758	42.0048	6.710916611452303	5.3924822927910405
Q9HU78	Histidine utilization repressor	hutC	NP_253792.1;WP_003095970.1;	68.8985	54.9617	6.106400669019861	5.780354723199838
P37452	LexA repressor (EC 3.4.21.88)	lexA	NP_251697.1;WP_003091196.1;	86.5264	35.1655	6.435068474320179	5.1360888252713055
Q9HWX1	Transcriptional repressor NrdR	nrdR	NP_252746.1;WP_003107181.1;	131.89	57.8303	7.043191372276796	5.853753681141388
Q51481	Denitrification regulatory protein NirQ	nirQ	NP_249211.1;WP_003113240.1;	586.9	27.767	9.196970897889951	4.795299408921271
Q06552	Transcription regulatory protein PrtN (Pyocin activator protein)	prtN	NP_249301.1;WP_003113203.1;	381.335	151.266	8.574915141528772	7.240943939764039
Q9HYL3	Regulatory protein NosR	nosR	NP_252081.1;WP_004345196.1;	321.138	3.11704	8.327049577877585	1.640176668736576
Q9I3I0	Nucleoid-associated protein PA1533	NA	NP_250224.1;WP_003087236.1;	1225.31	592.977	10.258931077876253	9.211832337329389
Q9I3I7	Probable transcriptional regulator	NA	NP_250217.1;WP_003083350.1;	215.351	164.311	7.7505462126425915	7.360285256272277
Q9I233	Probable transcriptional regulator	NA	NP_250772.1;WP_003088777.1;	97.5541	26.8729	6.608130602528093	4.748080113665362
Q9HZW2	Putative repressor of atu genes	atuR	NP_251575.1;WP_003090989.1;	99.0546	64.4711	6.630152068922788	6.010580693714785
