Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
L7N6B4	MOAD_MYCTU	reviewed	Molybdopterin synthase sulfur carrier subunit	moaD1 Rv3112 LH57_16990	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83	Rv3112	LH57_16990	moaD1		2 out of 5	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		nucleotide binding [GO:0000166]	GO:0000166; GO:0006777	nucleotide binding [GO:0000166]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	CP009480;AL123456;			WP_003899918.1;YP_177928.1;
P9WJM5	MSRA_MYCTU	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA Rv0137c MTCI5.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	182	Rv0137c	MTCI5.11c	msrA		4 out of 5	cellular protein modification process [GO:0006464]; cellular response to oxidative stress [GO:0034599]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]; symbiont defense to host-produced nitric oxide [GO:0052163]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]	GO:0005737; GO:0005829; GO:0006464; GO:0006979; GO:0008113; GO:0033744; GO:0034599; GO:0036456; GO:0051409; GO:0052163	cytoplasm [GO:0005737]; cytosol [GO:0005829]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular protein modification process [GO:0006464]; cellular response to oxidative stress [GO:0034599]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]; symbiont defense to host-produced nitric oxide [GO:0052163]	AL123456;			NP_214651.1;WP_003400942.1;
P9WHM9	PUR2_MYCTU	reviewed	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD Rv0772 MTCY369.17	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	422	Rv0772	MTCY369.17	purD		3 out of 5	'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]		ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]	GO:0004637; GO:0005524; GO:0006189; GO:0009113; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]	AL123456;			NP_215286.1;WP_003898580.1;
P9WG11	PSTA1_MYCTU	reviewed	Phosphate transport system permease protein PstA 1	pstA1 Rv0930 MTCY21C12.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	308	Rv0930	MTCY21C12.24	pstA1		3 out of 5	biological process involved in interaction with host [GO:0051701]; phosphate ion transmembrane transport [GO:0035435]	integral component of plasma membrane [GO:0005887]	inorganic phosphate transmembrane transporter activity [GO:0005315]	GO:0005315; GO:0005887; GO:0035435; GO:0051701	integral component of plasma membrane [GO:0005887]; inorganic phosphate transmembrane transporter activity [GO:0005315]; biological process involved in interaction with host [GO:0051701]; phosphate ion transmembrane transport [GO:0035435]	X75297;AL123456;			NP_215445.2;WP_010886095.1;
P9WGE9	SODC_MYCTU	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC Rv0432 MTCY22G10.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240	Rv0432	MTCY22G10.29	sodC		5 out of 5	cell redox homeostasis [GO:0045454]; removal of superoxide radicals [GO:0019430]; response to host [GO:0075136]; response to hydroperoxide [GO:0033194]; response to oxidative stress [GO:0006979]; symbiont defense to host-produced nitric oxide [GO:0052163]; symbiont defense to host-produced reactive oxygen species [GO:0052164]	cell wall [GO:0005618]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]	GO:0004784; GO:0005507; GO:0005576; GO:0005618; GO:0005886; GO:0006979; GO:0019430; GO:0033194; GO:0045454; GO:0052163; GO:0052164; GO:0075136	cell wall [GO:0005618]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; cell redox homeostasis [GO:0045454]; removal of superoxide radicals [GO:0019430]; response to host [GO:0075136]; response to hydroperoxide [GO:0033194]; response to oxidative stress [GO:0006979]; symbiont defense to host-produced nitric oxide [GO:0052163]; symbiont defense to host-produced reactive oxygen species [GO:0052164]	AL123456;			NP_214946.1;WP_003402198.1;
P9WG79	THIC_MYCTU	reviewed	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC Rv0423c MTCY22G10.20c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	547	Rv0423c	MTCY22G10.20c	thiC		3 out of 5	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]	GO:0005829; GO:0005886; GO:0008270; GO:0009228; GO:0009229; GO:0016830; GO:0051539	cytosol [GO:0005829]; plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	AL123456;			NP_214937.1;WP_003900143.1;
P9WPB1	MMAA1_MYCTU	reviewed	Mycolic acid methyltransferase MmaA1 (EC 2.1.1.-) (S-adenosylmethionine-dependent methyltransferase) (AdoMet-MT) (SAM-MT)	mmaA1 mma1 Rv0645c MTCY20H10.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	286	Rv0645c	MTCY20H10.26c	mmaA1	mma1	4 out of 5	lipid biosynthetic process [GO:0008610]; methylation [GO:0032259]; mycolic acid biosynthetic process [GO:0071768]		cis-trans isomerase activity [GO:0016859]; methyltransferase activity [GO:0008168]	GO:0008168; GO:0008610; GO:0016859; GO:0032259; GO:0071768	cis-trans isomerase activity [GO:0016859]; methyltransferase activity [GO:0008168]; lipid biosynthetic process [GO:0008610]; methylation [GO:0032259]; mycolic acid biosynthetic process [GO:0071768]	AL123456;			NP_215159.1;WP_003403310.1;
P9WGL5	PDTAS_MYCTU	reviewed	Probable sensor histidine kinase PdtaS (EC 2.7.13.3)	pdtaS Rv3220c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	501	Rv3220c		pdtaS		4 out of 5	phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]		ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; protein kinase activity [GO:0004672]	GO:0000155; GO:0000160; GO:0004672; GO:0005524; GO:0046777	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; protein kinase activity [GO:0004672]; phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]	AL123456;			NP_217736.1;WP_003416886.1;
P9WHN9	PHP_MYCTU	reviewed	Phosphotriesterase homology protein	php Rv0230c MTCY08D5.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	326	Rv0230c	MTCY08D5.26c	php		3 out of 5	catabolic process [GO:0009056]		hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]	GO:0008270; GO:0009056; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]; catabolic process [GO:0009056]	AL123456;			NP_214744.1;WP_003900835.1;
P9WFQ7	PLPHP_MYCTU	reviewed	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	Rv2148c MTCY270.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	258	Rv2148c	MTCY270.20			1 out of 5			pyridoxal phosphate binding [GO:0030170]	GO:0030170	pyridoxal phosphate binding [GO:0030170]	AL123456;			NP_216664.1;WP_003411137.1;
