target_id	length	eff_length	est_counts	tpm
lcl|NC_000913.3_cds_NP_414542.1_1	66	9.15806	3887	5564.26
lcl|NC_000913.3_cds_NP_414543.1_2	2463	2291.56	4497	25.7269
lcl|NC_000913.3_cds_NP_414544.1_3	933	761.561	2161	37.2004
lcl|NC_000913.3_cds_NP_414545.1_4	1287	1115.56	3448	40.5201
lcl|NC_000913.3_cds_NP_414546.1_5	297	141.413	213	19.7463
lcl|NC_000913.3_cds_NP_414547.1_6	777	605.582	661	14.3095
lcl|NC_000913.3_cds_NP_414548.1_7	1431	1259.56	705	7.33782
lcl|NC_000913.3_cds_NP_414549.1_8	954	782.561	7414	124.203
lcl|NC_000913.3_cds_NP_414550.1_9	588	417.107	519	16.3124
lcl|NC_000913.3_cds_NP_414551.1_10	567	396.295	1072	35.4628
lcl|NC_000913.3_cds_NP_414552.1_11	714	542.657	325	7.85154
lcl|NC_000913.3_cds_YP_009518733.1_12	486	316.503	0	0
lcl|NC_000913.3_cds_NP_414554.1_13	405	238.618	88	4.83477
lcl|NC_000913.3_cds_NP_414555.1_14	1917	1745.56	666682	5007.03
lcl|NC_000913.3_cds_NP_414556.1_15	1131	959.561	31891	435.705
lcl|NC_000913.3_cds_NP_414557.1_16	1113	941.561	1935	26.942
lcl|NC_000913.3_cds_NP_414559.1_17	210	74.0761	604.886	107.051
lcl|NC_000913.3_cds_YP_025292.1_18	153	40.3988	96.1136	31.1898
lcl|NC_000913.3_cds_NP_414560.1_19	1167	995.561	28005	368.778
lcl|NC_000913.3_cds_NP_414561.1_20	906	734.561	1751	31.2504
lcl|NC_000913.3_cds_NP_414562.1_21	504	334.101	65.9998	2.58977
lcl|NC_000913.3_cds_NP_414563.1_22	276	123.965	20.5035	2.16833
lcl|NC_000913.3_cds_NP_414564.1_23	264	114.085	2492	286.364
lcl|NC_000913.3_cds_NP_414565.1_24	219	80.3011	183	29.8762
lcl|NC_000913.3_cds_NP_414566.1_25	942	770.561	1774	30.1817
lcl|NC_000913.3_cds_NP_414567.1_26	2817	2645.56	11422	56.6006
lcl|NC_000913.3_cds_NP_414568.1_27	495	325.299	1370	55.2121
lcl|NC_000913.3_cds_NP_414569.1_28	450	281.491	555	25.8479
lcl|NC_000913.3_cds_NP_414570.1_29	951	779.561	1183	19.8944
lcl|NC_000913.3_cds_NP_414571.1_30	915	743.561	229	4.03753
lcl|NC_000913.3_cds_NP_414572.1_31	822	650.561	13910	280.308
lcl|NC_000913.3_cds_NP_414573.1_32	1149	977.561	470	6.30305
lcl|NC_000913.3_cds_NP_414574.1_33	3222	3050.56	2034	8.74114
lcl|NC_000913.3_cds_NP_414576.4_34	396	230.205	261	14.8635
lcl|NC_000913.3_cds_NP_414577.2_35	591	420.093	377	11.765
lcl|NC_000913.3_cds_NP_414578.2_36	786	614.582	33	0.703933
lcl|NC_000913.3_cds_NP_414579.4_37	1554	1382.56	224	2.12403
lcl|NC_000913.3_cds_NP_414580.1_38	1218	1046.56	135	1.69109
lcl|NC_000913.3_cds_NP_414581.1_39	1143	971.561	329	4.43938
lcl|NC_000913.3_cds_NP_414582.1_40	1515	1343.56	84	0.819632
lcl|NC_000913.3_cds_NP_414583.2_41	771	599.582	51	1.11511
lcl|NC_000913.3_cds_NP_414584.1_42	942	770.561	32	0.544427
lcl|NC_000913.3_cds_NP_414585.1_43	1287	1115.56	44	0.517078
lcl|NC_000913.3_cds_NP_414586.1_44	288	133.876	17	1.66473
lcl|NC_000913.3_cds_NP_414587.1_45	1332	1160.56	53	0.598694
lcl|NC_000913.3_cds_NP_414588.1_46	531	360.708	491	17.8452
lcl|NC_000913.3_cds_NP_414589.1_47	1863	1691.56	1208	9.36216
lcl|NC_000913.3_cds_NP_414590.1_48	480	310.65	2672	112.762
lcl|NC_000913.3_cds_NP_414591.1_49	843	671.561	2254	44.0013
lcl|NC_000913.3_cds_NP_414592.1_50	378	213.465	2790	171.346
lcl|NC_000913.3_cds_NP_414593.1_51	822	650.561	5495	110.733
lcl|NC_000913.3_cds_NP_414594.1_52	990	818.561	517	8.28012
lcl|NC_000913.3_cds_NP_414595.1_53	1287	1115.56	5477	64.3645
lcl|NC_000913.3_cds_NP_414596.1_54	2355	2183.56	13983	83.9522
lcl|NC_000913.3_cds_NP_414597.1_55	816	644.561	468	9.51873
lcl|NC_000913.3_cds_YP_009518734.1_56	651	479.809	1340	36.6128
lcl|NC_000913.3_cds_YP_009518735.1_57	159	43.495	401	120.865
lcl|NC_000913.3_cds_NP_414600.1_58	660	488.793	3189	85.5315
lcl|NC_000913.3_cds_NP_414601.1_59	2907	2735.56	9081	43.5195
lcl|NC_000913.3_cds_NP_414602.1_60	2352	2180.56	5414	32.5497
lcl|NC_000913.3_cds_NP_414603.1_61	696	524.675	340	8.49543
lcl|NC_000913.3_cds_NP_414604.1_62	1503	1331.56	2064	20.321
lcl|NC_000913.3_cds_NP_414605.1_63	1701	1529.56	1786	15.3078
lcl|NC_000913.3_cds_NP_414606.1_64	879	707.561	2319	42.9669
lcl|NC_000913.3_cds_NP_414607.1_65	765	593.582	1151	25.4209
lcl|NC_000913.3_cds_NP_414608.1_66	699	527.675	152	3.77637
lcl|NC_000913.3_cds_NP_414609.1_67	1611	1439.56	116	1.05639
lcl|NC_000913.3_cds_NP_414610.1_68	984	812.561	528	8.51873
lcl|NC_000913.3_cds_NP_414611.1_69	1656	1484.56	514	4.53902
lcl|NC_000913.3_cds_YP_002791237.1_70	132	30.6892	574	245.201
lcl|NC_000913.3_cds_YP_025293.1_71	1179	1007.56	1020	13.2717
lcl|NC_000913.3_cds_NP_414613.1_72	606	434.993	4850	146.169
lcl|NC_000913.3_cds_NP_414614.1_73	1401	1229.56	4980	53.0978
lcl|NC_000913.3_cds_NP_414615.4_74	1092	920.561	3425	48.7759
lcl|NC_000913.3_cds_NP_414616.1_75	1572	1400.56	5239	49.0392
lcl|NC_000913.3_cds_NP_414617.1_76	87	15.07	4143	3604.12
lcl|NC_000913.3_cds_NP_414618.4_77	945	773.561	329	5.57569
lcl|NC_000913.3_cds_YP_009518736.1_78	45	8.39024	0	0
lcl|NC_000913.3_cds_YP_025294.2_79	1725	1553.56	1902	16.0501
lcl|NC_000913.3_cds_NP_414620.1_80	492	322.364	675	27.4507
lcl|NC_000913.3_cds_NP_414622.1_81	1005	833.561	2113	33.2322
lcl|NC_000913.3_cds_NP_414623.1_82	459	290.223	5604	253.141
lcl|NC_000913.3_cds_NP_414624.1_83	942	770.561	6244	106.231
lcl|NC_000913.3_cds_NP_414625.1_84	366	202.424	1603	103.817
lcl|NC_000913.3_cds_NP_414626.1_85	1767	1595.56	10779	88.565
lcl|NC_000913.3_cds_NP_414627.1_86	1488	1316.56	1866	18.5809
lcl|NC_000913.3_cds_NP_414628.1_87	1359	1187.56	1005	11.0945
lcl|NC_000913.3_cds_NP_414629.1_88	1083	911.561	1051	15.1152
lcl|NC_000913.3_cds_NP_414630.1_89	1317	1145.56	1526	17.4636
lcl|NC_000913.3_cds_NP_414631.1_90	1245	1073.56	1241	15.1545
lcl|NC_000913.3_cds_NP_414632.1_91	1068	896.561	1293	18.9067
lcl|NC_000913.3_cds_NP_414633.1_92	1476	1304.56	1731	17.3952
lcl|NC_000913.3_cds_NP_414634.1_93	921	749.561	2641	46.1911
lcl|NC_000913.3_cds_NP_414635.1_94	831	659.561	3003	59.6894
lcl|NC_000913.3_cds_NP_414636.1_95	1263	1091.56	4271	51.2954
lcl|NC_000913.3_cds_NP_414637.1_96	1152	980.561	7442	99.4975
lcl|NC_000913.3_cds_NP_414638.1_97	918	746.561	97351	1709.51
lcl|NC_000913.3_cds_NP_414639.2_98	513	342.976	1172	44.7982
lcl|NC_000913.3_cds_NP_414640.1_99	2706	2534.56	5999	31.0294
lcl|NC_000913.3_cds_NP_414641.1_100	390	224.63	173	10.0966
lcl|NC_000913.3_cds_NP_414643.1_101	198	66.0248	612	121.518
lcl|NC_000913.3_cds_NP_414644.1_102	744	572.62	1230	28.1602
lcl|NC_000913.3_cds_NP_414645.1_103	621	449.948	2373	69.1404
lcl|NC_000913.3_cds_YP_009518737.1_104	45	8.39024	28	43.7502
lcl|NC_000913.3_cds_NP_414646.1_105	1044	872.561	918	13.7925
lcl|NC_000913.3_cds_NP_414648.1_106	1203	1031.56	211	2.68154
lcl|NC_000913.3_cds_NP_414649.1_107	1386	1214.56	120	1.29527
lcl|NC_000913.3_cds_NP_414650.1_108	441	272.929	20	0.960677
lcl|NC_000913.3_cds_NP_414651.1_109	894	722.561	303	5.4975
lcl|NC_000913.3_cds_NP_414652.1_110	552	381.399	799	27.464
lcl|NC_000913.3_cds_NP_414653.1_111	855	683.561	1079	20.6938
lcl|NC_000913.3_cds_NP_414654.1_112	1374	1202.56	3642	39.7036
lcl|NC_000913.3_cds_NP_414655.1_113	765	593.582	728	16.0786
lcl|NC_000913.3_cds_NP_414656.1_114	2664	2492.56	8418	44.2751
lcl|NC_000913.3_cds_NP_414657.1_115	1893	1721.56	6297	47.9522
lcl|NC_000913.3_cds_NP_414658.1_116	1425	1253.56	3957	41.3826
lcl|NC_000913.3_cds_NP_414659.1_117	1854	1682.56	513	3.99708
lcl|NC_000913.3_cds_NP_414660.1_118	2598	2426.56	14374	77.6575
lcl|NC_000913.3_cds_NP_414661.2_119	363	199.658	4462	292.981
lcl|NC_000913.3_cds_NP_414662.1_120	795	623.582	681	14.3169
lcl|NC_000913.3_cds_NP_414663.1_121	867	695.561	924	17.4154
lcl|NC_000913.3_cds_NP_414664.4_122	348	186.05	1089	76.7354
lcl|NC_000913.3_cds_NP_414665.1_123	1551	1379.56	3061	29.0884
lcl|NC_000913.3_cds_NP_414666.1_124	2391	2219.56	21906	129.388
lcl|NC_000913.3_cds_NP_414667.4_125	537	366.623	871	31.1455
lcl|NC_000913.3_cds_NP_414668.1_126	663	491.793	2978	79.3851
lcl|NC_000913.3_cds_NP_414669.1_127	927	755.561	637	11.0527
lcl|NC_000913.3_cds_NP_414670.1_128	771	599.582	861	18.8257
lcl|NC_000913.3_cds_NP_414671.1_129	441	272.929	385	18.493
lcl|NC_000913.3_cds_NP_414672.1_130	1230	1058.56	530	6.56382
lcl|NC_000913.3_cds_NP_414673.1_131	381	216.274	2409	146.025
lcl|NC_000913.3_cds_NP_414674.1_132	903	731.561	269	4.82057
lcl|NC_000913.3_cds_NP_414675.1_133	852	680.561	1431	27.5657
lcl|NC_000913.3_cds_NP_414676.1_134	795	623.582	847	17.8068
lcl|NC_000913.3_cds_NP_414677.1_135	1239	1067.56	198	2.43147
lcl|NC_000913.3_cds_NP_414678.1_136	597	426.079	85	2.61533
lcl|NC_000913.3_cds_NP_414679.1_137	606	434.993	119	3.58642
lcl|NC_000913.3_cds_NP_414680.4_138	570	399.229	111	3.645
lcl|NC_000913.3_cds_NP_414681.1_139	2598	2426.56	1142	6.16981
lcl|NC_000913.3_cds_NP_414682.1_140	741	569.62	44	1.01266
lcl|NC_000913.3_cds_NP_414683.1_141	585	414.121	43	1.36125
lcl|NC_000913.3_cds_NP_414684.1_142	480	310.65	28	1.18164
lcl|NC_000913.3_cds_NP_414685.4_143	1398	1226.56	2265	24.2089
lcl|NC_000913.3_cds_NP_414686.3_144	927	755.561	755	13.1001
lcl|NC_000913.3_cds_NP_414687.1_145	456	287.339	27969	1276.08
lcl|NC_000913.3_cds_NP_414688.1_146	705	533.657	11645	286.071
lcl|NC_000913.3_cds_NP_414689.4_147	531	360.708	94	3.4164
lcl|NC_000913.3_cds_NP_414690.4_148	2430	2258.56	1073	6.22823
lcl|NC_000913.3_cds_NP_414691.1_149	2535	2363.56	2701	14.9815
lcl|NC_000913.3_cds_YP_010051172.1_150	2400	2228.56	2.70329e-05	1.59025e-07
lcl|NC_000913.3_cds_NP_414692.1_151	2244	2072.56	7565	47.8518
lcl|NC_000913.3_cds_NP_414693.1_152	798	626.582	374	7.82511
lcl|NC_000913.3_cds_NP_414694.1_153	891	719.561	97	1.76726
lcl|NC_000913.3_cds_NP_414695.1_154	1983	1811.56	168	1.21577
lcl|NC_000913.3_cds_NP_414696.1_155	1281	1109.56	5253	62.0659
lcl|NC_000913.3_cds_YP_010051173.1_156	48	7.33333	288	514.858
lcl|NC_000913.3_cds_NP_414697.1_157	1422	1250.56	2809	29.4472
lcl|NC_000913.3_cds_YP_009518738.1_158	66	9.15806	50	71.5753
lcl|NC_000913.3_cds_NP_414698.1_159	345	183.33	4269	305.273
lcl|NC_000913.3_cds_NP_414699.1_160	624	452.933	143	4.13903
lcl|NC_000913.3_cds_NP_414700.1_161	801	629.582	64	1.33268
lcl|NC_000913.3_cds_NP_414701.1_162	699	527.675	1384	34.3848
lcl|NC_000913.3_cds_NP_414702.1_163	1518	1346.56	733	7.13633
lcl|NC_000913.3_cds_NP_414703.1_164	1425	1253.56	3080	32.2108
lcl|NC_000913.3_cds_NP_414704.4_165	1158	986.561	439	5.83361
lcl|NC_000913.3_cds_NP_414705.1_166	387	221.842	11461	677.292
lcl|NC_000913.3_cds_NP_414706.2_167	813	641.561	105	2.1456
lcl|NC_000913.3_cds_NP_414708.1_168	825	653.561	3044	61.0598
lcl|NC_000913.3_cds_NP_414709.1_169	2673	2501.56	3103	16.2618
lcl|NC_000913.3_cds_NP_414710.1_170	795	623.582	2763	58.0877
lcl|NC_000913.3_cds_NP_414711.1_171	726	554.639	41370	977.849
lcl|NC_000913.3_cds_NP_414712.1_172	852	680.561	19032	366.619
lcl|NC_000913.3_cds_NP_414713.1_173	726	554.639	1513	35.7623
lcl|NC_000913.3_cds_NP_414714.1_174	558	387.361	17507	592.506
lcl|NC_000913.3_cds_NP_414715.1_175	1197	1025.56	3882	49.6239
lcl|NC_000913.3_cds_NP_414716.1_176	762	590.582	898	19.9339
lcl|NC_000913.3_cds_NP_414717.2_177	858	686.561	2714	51.8236
lcl|NC_000913.3_cds_NP_414718.1_178	1353	1181.56	4311	47.832
lcl|NC_000913.3_cds_NP_414719.1_179	2433	2261.56	11505	66.6922
lcl|NC_000913.3_cds_NP_414720.1_180	486	316.503	14484	599.939
lcl|NC_000913.3_cds_NP_414721.1_181	1026	854.561	10546	161.786
lcl|NC_000913.3_cds_NP_414722.1_182	456	287.339	2928	133.59
lcl|NC_000913.3_cds_NP_414723.1_183	789	617.582	4786	101.596
lcl|NC_000913.3_cds_NP_414724.1_184	1149	977.561	793	10.6347
lcl|NC_000913.3_cds_NP_414725.1_185	597	426.079	70	2.1538
lcl|NC_000913.3_cds_NP_414726.1_186	3483	3311.56	4932	19.5248
lcl|NC_000913.3_cds_NP_414727.1_187	960	788.561	2161	35.9266
lcl|NC_000913.3_cds_NP_414728.1_188	2142	1970.56	4109	27.3365
lcl|NC_000913.3_cds_NP_414729.4_189	390	224.63	760	44.3551
lcl|NC_000913.3_cds_NP_414730.1_190	1299	1127.56	604	7.02253
lcl|NC_000913.3_cds_NP_414731.2_191	255	107.015	5346	654.91
lcl|NC_000913.3_cds_YP_026160.1_192	201	68.0749	6133	1181.09
lcl|NC_000913.3_cds_NP_414732.1_193	546	375.462	639	22.3116
lcl|NC_000913.3_cds_NP_414733.1_194	423	255.694	488	25.0205
lcl|NC_000913.3_cds_NP_414734.1_195	711	539.657	2483	60.3192
lcl|NC_000913.3_cds_NP_414735.4_196	825	653.561	323	6.47908
