uniprot_id	protein	gene	refseq	wt_tpm.txt	gapR_dep_tpm.txt	logTPM_wt	logTPM_gapR_depleted
B8GYM1	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA	WP_010920107.1;YP_002517702.1;	69.8201	65.9041	6.1255705180828235	6.04229631529021
B8H4W7	Ribonuclease H (RNase H) (EC 3.1.26.4)	rnhA	WP_010921194.1;YP_002518849.1;	309.363	180.075	8.273156849688664	7.49245409406421
B8H535	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB	WP_010919237.1;YP_002516795.1;	590.782	436.8	9.20648206038261	8.77082904603249
B8GWZ1	30S ribosomal protein S15	rpsO	WP_010917925.1;YP_002515409.1;	6405.36	5634.74	12.645063941196126	12.460133327293034
B8GXP2	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph	WP_010918041.1;YP_002515526.1;	188.441	366.239	7.557969082864396	8.516641618568942
B8GZ34	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB	WP_012639945.1;YP_002515758.1;	104.942	130.669	6.713448380223396	7.029773105575478
B8GW31	Chromosome partitioning protein ParA	parA	WP_010921580.1;YP_002519242.1;	209.156	160.018	7.708435574541686	7.322090388950593
B8GW20	Protein-export protein SecB	secB	WP_010921569.1;YP_002519231.1;	637.826	474.03	9.317019097817285	8.888834555821544
B8H5U4	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG	WP_010919354.1;YP_002516920.1;	177.736	147.473	7.473592115155144	7.204307033525763
B8GW32	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)	rsmG	WP_015923358.1;YP_002519243.1;	148.654	139.841	7.215814473757063	7.127643596444141
B8GXH3	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS	WP_010917973.1;YP_002515457.1;	195.883	166.825	7.613848386359709	7.382191693625654
B8GW30	Chromosome-partitioning protein ParB	parB	WP_024266006.1;YP_002519241.4;	238.114	201.282	7.895508636660982	7.653074352238441
B8GX12	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	WP_010919826.1;YP_002517410.1;	502.19	533.845	8.972089490598298	9.060277111104215
B8GWZ0	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp	WP_010917924.1;YP_002515408.1;	1027.28	744.596	10.004613747286662	9.540314055768523
B8H4M6	UPF0260 protein CCNA_03385	NA	WP_010921108.1;YP_002518758.1;	107.046	119.809	6.742087077156429	6.904592476596498
B8GZ33	Modification methylase CcrMI (M.CcrMI) (EC 2.1.1.72) (Adenine-specific methyltransferase CcrMI)	ccrMIM	WP_010918266.1;YP_002515757.1;	335.276	153.887	8.38920540442978	7.265727551215382
B8H462	Probable transcriptional regulatory protein CCNA_03352	NA	WP_010921076.1;YP_002518724.1;	283.882	219.704	8.149147565311118	7.77941732593387
B8GZ28	Chromosome partition protein Smc	smc	WP_010918261.1;YP_002515752.1;	37.179	45.7117	5.2164160616363455	5.514491568083602
B8H4M5	50S ribosomal protein L31	rpmE	WP_004616338.1;YP_002518757.1;	2507.05	1639.26	11.29177505388249	10.678828980442987
B8H4W0	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS	WP_010921188.1;YP_002518842.1;	249.322	219.652	7.961866380628734	7.779075825453728
B8GVD8	Aspartate/glutamate leucyltransferase (EC 2.3.2.29)	bpt	WP_010919446.1;YP_002517016.1;	38.7178	36.7298	5.27492507386191	5.198879135258764
B8GXP4	Protein GrpE (HSP-70 cofactor)	grpE	WP_012639893.1;YP_002515528.1;	365.275	864.337	8.51283920651805	9.755450110306372
B8GX11	DNA-binding protein HU	hup	WP_010919825.1;YP_002517409.1;	1096.85	525.035	10.099150527766303	9.03626978901703
B8H3Z4	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	NA	WP_010921016.1;YP_002518656.1;	109.712	316.67	6.777577522203778	8.306836388680816
B8GX15	Protein CicA	cicA	WP_012640373.1;YP_002517413.1;	201.858	115.326	7.6571969543569205	6.849573991944485
B8H363	Flagellum-specific ATP synthase (EC 7.1.2.2)	fliI	WP_010920876.1;YP_002518508.1;	55.348	45.3943	5.790459281050234	5.504439249716317
B8H6A8	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA	WP_010921418.1;YP_002519077.1;	185.312	192.099	7.533812496827667	7.58570619863347
B8GYE3	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def	WP_010918161.1;YP_002515648.1;	385.595	983.756	8.590942534076072	9.942156719524554
B8H1L5	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	ccmE	WP_010920602.1;YP_002518222.1;	133.378	129.654	7.059376910957115	7.018522905731798
B8GX14	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	WP_010919827.1;YP_002517412.1;	504.653	386.986	8.979147919715299	8.596137564682097
B8H2S2	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	hutI	WP_010918844.1;YP_002516384.1;	98.706	119.387	6.625065878729628	6.899501940476199
B8H2S1	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	hutH	WP_012640105.1;YP_002516383.1;	127.38	80.0985	6.992994966851809	6.323703320507313
B8H364	Flagellar FliJ protein	fliJ	WP_010920877.1;YP_002518509.1;	299.903	131.576	8.228352143670191	7.039752549374999
B8GVE1	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD	WP_010919449.1;YP_002517019.1;	127.476	59.3606	6.9940818451711415	5.891433769269424
B8H4W6	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB	WP_010921193.1;YP_002518848.1;	164.303	146.145	7.360215012397522	7.191256661418869
B8H1V7	Transcription elongation factor GreA (Transcript cleavage factor GreA)	greA	WP_010920688.1;YP_002518314.1;	929.944	1056.28	9.861000031420337	10.044776601428836
B8H546	Integration host factor subunit alpha (IHF-alpha)	ihfA	WP_010919247.1;YP_002516806.1;	873.12	664.353	9.770036138597918	9.375806202470898
B8H6A5	Integration host factor subunit beta (IHF-beta)	ihfB	WP_010921415.1;YP_002519074.1;	525.019	473.085	9.03622582342925	8.885955608141353
B8H6A4	Large-conductance mechanosensitive channel	mscL	WP_010921414.1;YP_002519073.1;	438.868	412.815	8.777643269896249	8.689351583095114
B8GW33	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG	WP_024266007.1;YP_002519244.2;	128.636	134.583	7.007150640786315	7.072352375617214
B8H2R9	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU	WP_010918841.1;YP_002516381.1;	155.306	80.6889	7.278969756802157	6.334298317134116
B8GXA8	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk	WP_010919917.1;YP_002517506.1;	724.278	331.008	9.500399743768584	8.370722275148168
B8GW34	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE	YP_002519245.3;	120.717	156.061	6.915485048044023	7.285966239349365
B8H533	Transcriptional repressor NrdR	nrdR	WP_010919235.1;YP_002516793.1;	305.303	314.662	8.254097955748694	8.297659152580998
B8GXP3	Heat-inducible transcription repressor HrcA	hrcA	WP_012639892.1;YP_002515527.1;	99.7841	400.077	6.640738043930484	8.644133881843091
B8H6A7	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk	WP_010921417.1;YP_002519076.1;	65.6723	64.3506	6.03721307762072	6.007881694972641
B8GWV5	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	nuoB	WP_012640371.1;YP_002517405.1;	1216.81	603.533	10.248888199256536	9.237288846645235
