target_id	length	eff_length	est_counts	tpm
lcl|NC_011916.1_cds_YP_002515376.1_1	906	707	2329	144.698
lcl|NC_011916.1_cds_YP_002515377.1_2	600	401	1477	161.788
lcl|NC_011916.1_cds_YP_002515378.1_3	858	659	1232	82.1177
lcl|NC_011916.1_cds_YP_002515379.1_4	600	401	848	92.8887
lcl|NC_011916.1_cds_YP_002515380.1_5	714	515	3122	266.279
lcl|NC_011916.1_cds_YP_002515381.1_6	789	590	2606	194.014
lcl|NC_011916.1_cds_YP_002515382.2_7	276	77.0924	3405	1940.07
lcl|NC_011916.1_cds_YP_002515383.1_8	1473	1274	29628	1021.51
lcl|NC_011916.1_cds_YP_002515384.1_9	621	422	904	94.0952
lcl|NC_011916.1_cds_YP_002515385.1_10	1896	1697	56319	1457.76
lcl|NC_011916.1_cds_YP_002515386.1_11	1158	959	12843	588.246
lcl|NC_011916.1_cds_YP_002515387.1_12	2712	2513	4137	72.311
lcl|NC_011916.1_cds_YP_002515388.1_13	2823	2624	9341	156.366
lcl|NC_011916.1_cds_YP_002515389.1_14	477	278	813	128.457
lcl|NC_011916.1_cds_YP_002515390.1_15	552	353	1716	213.528
lcl|NC_011916.1_cds_YP_002515391.1_16	453	254	320	55.3385
lcl|NC_011916.1_cds_YP_002515392.1_17	240	43.8339	173	173.359
lcl|NC_011916.1_cds_YP_002515393.1_18	1050	851	4457	230.051
lcl|NC_011916.1_cds_YP_002515394.1_19	633	434	598	60.5233
lcl|NC_011916.1_cds_YP_002515395.1_20	225	33.0062	399	530.994
lcl|NC_011916.1_cds_YP_009020482.1_21	114	6.91205	0	0
lcl|NC_011916.1_cds_YP_002515396.1_22	2193	1994	5235	115.32
lcl|NC_011916.1_cds_YP_002515397.1_23	531	332	1420	187.872
lcl|NC_011916.1_cds_YP_002515398.2_24	333	134	283	92.7669
lcl|NC_011916.1_cds_YP_002515399.1_25	891	692	837	53.1289
lcl|NC_011916.1_cds_YP_002515400.1_26	1653	1454	2812	84.9498
lcl|NC_011916.1_cds_YP_002515401.1_27	2703	2504	1254	21.9976
lcl|NC_011916.1_cds_YP_002515402.1_28	690	491	1233	110.304
lcl|NC_011916.1_cds_YP_002515403.2_29	2322	2123	2346	48.5388
lcl|NC_011916.1_cds_YP_002515404.1_30	633	434	1125	113.861
lcl|NC_011916.1_cds_YP_002515405.1_31	735	536	1849	151.525
lcl|NC_011916.1_cds_YP_002515406.1_32	387	188	1988	464.483
lcl|NC_011916.1_cds_YP_002515407.1_33	243	46.2882	455	431.77
lcl|NC_011916.1_cds_YP_009020483.1_34	621	422	1108	115.329
lcl|NC_011916.1_cds_YP_002515408.1_35	2139	1940	32886	744.596
lcl|NC_011916.1_cds_YP_002515409.1_36	270	71.1874	9132	5634.74
lcl|NC_011916.1_cds_YP_002515410.1_37	933	734	21223	1270.05
lcl|NC_011916.1_cds_YP_002515411.1_38	450	251	1446	253.05
lcl|NC_011916.1_cds_YP_002515412.1_39	789	590	1169	87.031
lcl|NC_011916.1_cds_YP_002515413.1_40	576	377	791	92.1609
lcl|NC_011916.1_cds_YP_002515414.1_41	519	320	1356	186.132
lcl|NC_011916.1_cds_YP_002515415.2_42	552	353	2320	288.685
lcl|NC_011916.1_cds_YP_002515416.2_43	3030	2831	35964	558.007
lcl|NC_011916.1_cds_YP_002515417.1_44	651	452	25000	2429.48
lcl|NC_011916.1_cds_YP_002515418.1_45	1647	1448	12041	365.263
lcl|NC_011916.1_cds_YP_002515419.1_46	576	377	2580	300.601
lcl|NC_011916.1_cds_YP_002515420.1_47	534	335	6246	818.971
lcl|NC_011916.1_cds_YP_002515421.1_48	387	188	845	197.429
lcl|NC_011916.1_cds_YP_002515422.1_49	681	482	1937	176.52
lcl|NC_011916.1_cds_YP_002515423.1_50	1224	1025	6944	297.576
lcl|NC_011916.1_cds_YP_002515424.1_51	435	236	519	96.5977
lcl|NC_011916.1_cds_YP_002515425.1_52	1593	1394	3076	96.9248
lcl|NC_011916.1_cds_YP_002515426.1_53	927	728	1703	102.753
lcl|NC_011916.1_cds_YP_002515427.3_54	456	257	1089	186.126
lcl|NC_011916.1_cds_YP_002515428.1_55	945	746	1649	97.0942
lcl|NC_011916.1_cds_YP_002515429.1_56	1347	1148	4434	169.654
lcl|NC_011916.1_cds_YP_002515430.1_57	408	209	5098	1071.43
lcl|NC_011916.1_cds_YP_002515431.1_58	453	254	304	52.5716
lcl|NC_011916.1_cds_YP_002515432.1_59	636	437	769	77.2959
lcl|NC_011916.1_cds_YP_002515433.1_60	633	434	1627	164.668
lcl|NC_011916.1_cds_YP_002515434.1_61	588	389	7224	815.717
lcl|NC_011916.1_cds_YP_002515435.1_62	573	374	8906	1045.98
