target_id	length	eff_length	est_counts	tpm
lcl|NC_002516.2_cds_NP_064721.1_1	1545	1289.4	1315	51.5496
lcl|NC_002516.2_cds_NP_064722.1_2	1104	848.401	487	29.0145
lcl|NC_002516.2_cds_NP_064723.1_3	1110	854.401	303	17.9254
lcl|NC_002516.2_cds_NP_064724.1_4	2421	2165.4	463	10.8076
lcl|NC_002516.2_cds_NP_064725.1_5	774	518.415	220	21.4503
lcl|NC_002516.2_cds_NP_064726.1_6	537	281.874	195	34.9677
lcl|NC_002516.2_cds_NP_064727.1_7	1707	1451.4	1198	41.7212
lcl|NC_002516.2_cds_NP_064728.1_8	2055	1799.4	256	7.19117
lcl|NC_002516.2_cds_NP_064729.1_9	948	692.401	77	5.62109
lcl|NC_002516.2_cds_NP_248700.1_10	552	296.766	35	5.96131
lcl|NC_002516.2_cds_NP_248701.1_11	888	632.401	238	19.0227
lcl|NC_002516.2_cds_NP_248702.1_12	267	50.6498	175	174.642
lcl|NC_002516.2_cds_NP_248703.1_13	654	398.467	85	10.7824
lcl|NC_002516.2_cds_NP_248704.1_14	273	53.8939	21	19.6955
lcl|NC_002516.2_cds_NP_248705.1_15	318	81.1202	278	173.222
lcl|NC_002516.2_cds_NP_248706.1_16	1374	1118.4	279	12.6094
lcl|NC_002516.2_cds_NP_248707.1_17	1305	1049.4	119	5.73183
lcl|NC_002516.2_cds_NP_248708.1_18	945	689.401	63	4.61909
lcl|NC_002516.2_cds_NP_248709.1_19	507	252.178	953	191.017
lcl|NC_002516.2_cds_NP_248710.1_20	1026	770.401	355	23.2916
lcl|NC_002516.2_cds_NP_248711.1_21	1089	833.401	44	2.66862
lcl|NC_002516.2_cds_NP_248712.1_22	558	302.743	172	28.7172
lcl|NC_002516.2_cds_NP_248713.1_23	978	722.401	97	6.78705
lcl|NC_002516.2_cds_NP_248714.1_24	918	662.401	106	8.08858
lcl|NC_002516.2_cds_NP_248715.1_25	825	569.401	117	10.3862
lcl|NC_002516.2_cds_NP_248716.1_26	987	731.401	430	29.7167
lcl|NC_002516.2_cds_NP_248717.1_27	1287	1031.4	319	15.6333
lcl|NC_002516.2_cds_NP_248718.1_28	603	347.606	73	10.6151
lcl|NC_002516.2_cds_NP_248719.1_29	1554	1298.4	189	7.35767
lcl|NC_002516.2_cds_NP_248720.1_30	924	668.401	11	0.831846
lcl|NC_002516.2_cds_NP_248721.1_31	1512	1256.4	153	6.15532
lcl|NC_002516.2_cds_NP_248722.1_32	915	659.401	95	7.28218
lcl|NC_002516.2_cds_YP_008719728.1_33	378	129.593	36	14.0414
lcl|NC_002516.2_cds_NP_248723.1_34	366	118.97	25	10.6216
lcl|NC_002516.2_cds_NP_248724.1_35	624	368.552	30	4.11443
lcl|NC_002516.2_cds_NP_248725.1_36	807	551.415	173	15.8582
lcl|NC_002516.2_cds_NP_248726.1_37	1209	953.401	230	12.1938
lcl|NC_002516.2_cds_NP_248727.1_38	888	632.401	134	10.7103
lcl|NC_002516.2_cds_NP_248728.1_39	216	30.3184	1167	1945.59
lcl|NC_002516.2_cds_NP_248729.1_40	228	33.9235	6733	10032.2
lcl|NC_002516.2_cds_NP_248730.1_41	1689	1433.4	125.143	4.41294
lcl|NC_002516.2_cds_NP_248731.1_42	10608	10352.4	569.068	2.7785
lcl|NC_002516.2_cds_YP_008719729.1_43	702	446.415	89	10.0772
lcl|NC_002516.2_cds_NP_248732.1_44	396	145.823	117	40.5553
lcl|NC_002516.2_cds_NP_248733.1_45	1383	1127.4	211	9.46001
lcl|NC_002516.2_cds_NP_248734.1_46	1374	1118.4	220	9.94289
lcl|NC_002516.2_cds_NP_248735.1_47	687	431.426	31	3.63198
lcl|NC_002516.2_cds_NP_248736.1_48	354	108.787	13	6.04022
lcl|NC_002516.2_cds_NP_248737.1_49	510	255.115	52	10.3028
lcl|NC_002516.2_cds_NP_248738.1_50	384	135.041	75	28.0727
lcl|NC_002516.2_cds_NP_248739.1_51	1662	1406.4	189	6.79266
lcl|NC_002516.2_cds_NP_248740.1_52	141	19.1948	818	2154.06
lcl|NC_002516.2_cds_NP_248741.1_53	1833	1577.4	156	4.99885
lcl|NC_002516.2_cds_NP_248742.1_54	429	176.534	650	186.111
lcl|NC_002516.2_cds_NP_248744.1_55	549	293.788	116	19.9578
lcl|NC_002516.2_cds_NP_248745.1_56	507	252.178	235	47.1029
lcl|NC_002516.2_cds_NP_248746.1_57	921	665.401	26	1.97505
