uniprot_id	protein	gene	refseq
P0AAR0	Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms)	tomB	NP_414994.1;WP_000344800.1;
P0ACG1	DNA-binding protein StpA (H-NS homolog StpA)	stpA	NP_417155.1;WP_000115383.1;
P0A823	Sugar fermentation stimulation protein A	sfsA	NP_414688.1;WP_000396036.1;
P42641	GTPase ObgE/CgtA (EC 3.6.5.-) (GTP-binding protein Obg)	obgE	NP_417650.1;WP_000673575.1;
P0A7H6	Recombination protein RecR	recR	NP_415005.1;WP_001195025.1;
P64530	Transcriptional repressor RcnR	rcnR	NP_416608.1;WP_000019944.1;
P0ACS2	Redox-sensitive transcriptional activator SoxR	soxR	NP_418487.1;WP_000412428.1;
P0A881	Trp operon repressor	trpR	NP_418810.1;WP_000068679.1;
P00448	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA	NP_418344.3;WP_000122641.1;
Q2EES9	Response regulator inhibitor for tor operon (Tor inhibitor)	torI	WP_001163428.1;YP_588463.1;
Q47149	mRNA interferase toxin YafQ (EC 3.1.-.-) (Endoribonuclease YafQ) (Toxin YafQ)	yafQ	NP_414760.1;WP_000615983.1;
P27434	Cytoskeleton protein RodZ	rodZ	NP_417011.1;WP_001090866.1;
P15373	Antitoxin PrlF (HtrA suppressor protein SohA)	prlF	NP_417598.1;WP_001307405.1;
P0DMC7	Transcriptional regulatory protein RcsB (Capsular synthesis regulator component B)	rcsB	NP_416721.1;WP_001061917.1;
P76062	Prophage repressor RacR (Rac prophage repressor)	racR	NP_415874.1;WP_000948459.1;
P0A9V5	Uncharacterized HTH-type transcriptional regulator YiaG	yiaG	NP_418011.1;WP_000455798.1;
P0A8B5	Nucleoid-associated protein YbaB	ybaB	NP_415004.1;WP_000467098.1;
P0A9T6	Uncharacterized HTH-type transcriptional regulator YbaQ	ybaQ	NP_415016.4;WP_000806442.1;
P0A8U6	Met repressor (Met regulon regulatory protein MetJ)	metJ	NP_418373.1;WP_000852812.1;
