target_id	length	eff_length	est_counts	tpm
lcl|NC_000962.3_cds_NP_214515.1_1	1524	1325	5249	342.907
lcl|NC_000962.3_cds_NP_214516.1_2	1209	1010	1501	128.64
lcl|NC_000962.3_cds_NP_214517.1_3	1158	959	579	52.2607
lcl|NC_000962.3_cds_NP_214518.1_4	564	365	480	113.832
lcl|NC_000962.3_cds_NP_214519.2_5	2028	1829	6837	323.569
lcl|NC_000962.3_cds_NP_214520.1_6	2517	2318	8269	308.784
lcl|NC_000962.3_cds_NP_214521.1_7	915	716	1774	214.465
lcl|NC_000962.3_cds_NP_214522.1_8	438	239	190	68.8131
lcl|NC_000962.3_cds_NP_214523.1_9	549	350	9968	2465.22
lcl|NC_000962.3_cds_NP_214524.1_10	426	227	1880	716.882
lcl|NC_000962.3_cds_NP_214525.1_11	282	83.0431	941	980.848
lcl|NC_000962.3_cds_NP_214526.1_12	789	590	2253	330.54
lcl|NC_000962.3_cds_YP_177615.1_13	699	500	1365	236.308
lcl|NC_000962.3_cds_NP_214528.1_14	1881	1682	5796	298.276
lcl|NC_000962.3_cds_NP_214529.1_15	1296	1097	3595	283.666
lcl|NC_000962.3_cds_NP_214530.1_16	1476	1277	4370	296.214
lcl|NC_000962.3_cds_NP_214531.1_17	1410	1211	3445	246.241
lcl|NC_000962.3_cds_NP_214532.1_18	1545	1346	6393	411.126
lcl|NC_000962.3_cds_NP_214533.1_19	468	269	1158	372.625
lcl|NC_000962.3_cds_NP_214534.1_20	1584	1385	15841	990.03
lcl|NC_000962.3_cds_NP_214535.1_21	969	770	520	58.4559
lcl|NC_000962.3_cds_NP_214536.1_22	420	221	56	21.9337
lcl|NC_000962.3_cds_NP_214537.1_23	771	572	633	95.7907
lcl|NC_000962.3_cds_NP_214538.1_24	846	647	766	102.48
lcl|NC_000962.3_cds_NP_214539.1_25	363	164	335	176.814
lcl|NC_000962.3_cds_NP_214540.1_26	1347	1148	735	55.4193
lcl|NC_000962.3_cds_NP_214541.1_27	318	119	150	109.109
lcl|NC_000962.3_cds_NP_214542.1_28	306	107.001	116	93.8394
lcl|NC_000962.3_cds_NP_214543.1_29	1098	899	875	84.2488
lcl|NC_000962.3_cds_NP_214544.1_30	330	131	143	94.4888
lcl|NC_000962.3_cds_NP_214546.1_31	2316	2117	533	21.7932
lcl|NC_000962.3_cds_NP_214547.1_32	264	65.3593	16	21.1899
lcl|NC_000962.3_cds_NP_214548.1_33	396	197	52	22.8482
lcl|NC_000962.3_cds_YP_177686.1_34	1689	1490	638	37.0638
lcl|NC_000962.3_cds_NP_214550.1_35	774	575	997	150.087
lcl|NC_000962.3_cds_NP_214551.1_36	1326	1127	1250	96.0067
lcl|NC_000962.3_cds_NP_214552.1_37	609	410	1537	324.493
lcl|NC_000962.3_cds_NP_214553.1_38	348	149	459	266.65
lcl|NC_000962.3_cds_NP_214554.2_39	933	734	2701	318.525
lcl|NC_000962.3_cds_NP_214555.1_40	2910	2711	2538	81.0359
lcl|NC_000962.3_cds_NP_214556.1_41	627	428	713	144.199
lcl|NC_000962.3_cds_NP_214557.1_42	735	536	412	66.5347
lcl|NC_000962.3_cds_NP_214558.1_43	795	596	473	68.6958
lcl|NC_000962.3_cds_NP_214559.1_44	897	698	728	90.28
lcl|NC_000962.3_cds_NP_214560.1_45	1104	905	5114	489.134
lcl|NC_000962.3_cds_NP_214561.1_46	543	344	1284	323.089
lcl|NC_000962.3_cds_NP_214562.1_47	870	671	462	59.5984
lcl|NC_000962.3_cds_NP_214563.1_48	414	215	862	347.044
lcl|NC_000962.3_cds_YP_177687.1_49	2037	1838	6414	302.064
lcl|NC_000962.3_cds_NP_214565.1_50	1683	1484	1933	112.749
lcl|NC_000962.3_cds_NP_214566.3_51	564	365	372	88.2197
lcl|NC_000962.3_cds_NP_214567.1_52	291	92.0123	512	481.659
lcl|NC_000962.3_cds_NP_214568.1_53	495	296	1387	405.602
lcl|NC_000962.3_cds_YP_177688.1_54	255	56.8596	345	525.207
lcl|NC_000962.3_cds_NP_214570.1_55	459	260	1551	516.362
lcl|NC_000962.3_cds_NP_214571.1_56	522	323	602	161.328
lcl|NC_000962.3_cds_NP_214572.1_57	2625	2426	3928	140.151
lcl|NC_000962.3_cds_NP_214573.1_58	693	494	388	67.9861
lcl|NC_000962.3_cds_NP_214574.1_59	1059	860	1625	163.557
lcl|NC_000962.3_cds_YP_007408697.1_60	339	140	578	357.368
lcl|NC_000962.3_cds_YP_177689.1_61	1143	944	872	79.9576
lcl|NC_000962.3_cds_NP_214577.1_62	1440	1241	1506	105.043
lcl|NC_000962.3_cds_YP_009030026.1_63	162	11.4723	0	0
lcl|NC_000962.3_cds_NP_214578.1_64	2940	2741	4247	134.119
lcl|NC_000962.3_cds_YP_007408701.1_65	240	43.8339	66	130.331
lcl|NC_000962.3_cds_NP_214579.1_66	402	203	545	232.389
lcl|NC_000962.3_cds_NP_214580.1_67	2238	2039	3933	166.964
lcl|NC_000962.3_cds_NP_214581.1_68	570	371	101	23.5648
lcl|NC_000962.3_cds_NP_214582.1_69	912	713	153	18.5745
lcl|NC_000962.3_cds_NP_214583.1_70	1386	1187	1200	87.5076
lcl|NC_000962.3_cds_NP_214584.1_71	1278	1079	680	54.551
lcl|NC_000962.3_cds_NP_214585.1_72	708	509	73	12.4143
lcl|NC_000962.3_cds_NP_214586.1_73	1050	851	851	86.5596
lcl|NC_000962.3_cds_NP_214587.1_74	993	794	1055	115.013
lcl|NC_000962.3_cds_NP_214588.1_75	1236	1037	895	74.7067
lcl|NC_000962.3_cds_NP_214589.1_76	1173	974	749	66.5638
lcl|NC_000962.3_cds_NP_214590.1_77	390	191	229	103.781
lcl|NC_000962.3_cds_NP_214591.1_78	831	632	172	23.5574
lcl|NC_000962.3_cds_NP_214592.1_79	606	407	192	40.834
lcl|NC_000962.3_cds_YP_177616.1_80	594	395	638	139.81
lcl|NC_000962.3_cds_YP_007408717.1_81	207	23.4313	13	48.0245
lcl|NC_000962.3_cds_NP_214593.1_82	822	623	423	58.7716
lcl|NC_000962.3_cds_NP_214594.1_83	459	260	90	29.963
lcl|NC_000962.3_cds_NP_214595.1_84	345	146	24	14.229
lcl|NC_000962.3_cds_NP_214596.2_85	480	281	53	16.3262
lcl|NC_000962.3_cds_NP_214597.1_86	1923	1724	209	10.4936
lcl|NC_000962.3_cds_NP_214598.1_87	951	752	182	20.9493
lcl|NC_000962.3_cds_NP_214599.1_88	663	464	54	10.0738
lcl|NC_000962.3_cds_NP_214600.1_89	1467	1268	464	31.6748
lcl|NC_000962.3_cds_NP_214601.1_90	1479	1280	236	15.9594
lcl|NC_000962.3_cds_NP_214602.1_91	675	476	608	110.564
lcl|NC_000962.3_cds_NP_214603.1_92	594	395	85	18.6268
lcl|NC_000962.3_cds_NP_214604.1_93	771	572	42	6.35578
lcl|NC_000962.3_cds_NP_214605.1_94	768	569	122	18.5594
lcl|NC_000962.3_cds_NP_214606.1_95	2286	2087	1175	48.7339
lcl|NC_000962.3_cds_NP_214607.1_96	849	650	820	109.198
lcl|NC_000962.3_cds_NP_214608.1_97	954	755	243.55	27.9227
lcl|NC_000962.3_cds_NP_214609.1_98	411	212	27.3161	11.1532
lcl|NC_000962.3_cds_YP_177690.1_99	1392	1193	108	7.83608
lcl|NC_000962.3_cds_NP_214611.1_100	870	671	213	27.4772
lcl|NC_000962.3_cds_NP_214612.1_101	552	353	57	13.9771
lcl|NC_000962.3_cds_NP_214613.1_102	1623	1424	416	25.2871
lcl|NC_000962.3_cds_NP_214614.1_103	237	41.4694	27	56.3575
lcl|NC_000962.3_cds_NP_214615.1_104	7539	7340	3528	41.6052
lcl|NC_000962.3_cds_NP_214616.1_105	1986	1787	2622	127.006
lcl|NC_000962.3_cds_NP_214617.1_106	2259	2060	2334	98.0729
lcl|NC_000962.3_cds_NP_214618.1_107	1515	1316	607	39.9253
lcl|NC_000962.3_cds_YP_177691.1_108	285	86.0288	2	2.01234
lcl|NC_000962.3_cds_NP_214620.1_109	1197	998	172	14.9181
lcl|NC_000962.3_cds_NP_214621.1_110	4899	4700	10971	202.052
lcl|NC_000962.3_cds_NP_214622.1_111	210	24.7787	2901	10134.1
lcl|NC_000962.3_cds_YP_177692.1_112	1491	1292	344	23.0468
lcl|NC_000962.3_cds_NP_214624.1_113	750	551	237	37.2316
lcl|NC_000962.3_cds_NP_214625.1_114	2058	1859	5410	251.903
lcl|NC_000962.3_cds_NP_214626.1_115	957	758	379	43.2798
lcl|NC_000962.3_cds_NP_214627.1_116	591	392	375	82.8058
lcl|NC_000962.3_cds_NP_214628.1_117	573	374	153	35.4108
lcl|NC_000962.3_cds_NP_214629.1_118	1161	962	263	23.6644
lcl|NC_000962.3_cds_YP_009030027.1_119	189	17.0794	0	0
lcl|NC_000962.3_cds_NP_214630.1_120	756	557	905	140.64
lcl|NC_000962.3_cds_NP_214631.1_121	945	746	768	89.1123
lcl|NC_000962.3_cds_NP_214632.1_122	1749	1550	4446	248.287
lcl|NC_000962.3_cds_NP_214633.1_123	1578	1379	1321	82.919
lcl|NC_000962.3_cds_NP_214634.1_124	2145	1946	1002	44.5698
lcl|NC_000962.3_cds_NP_214635.1_125	435	236	96	35.2107
lcl|NC_000962.3_cds_NP_214636.1_126	369	170	45	22.9128
lcl|NC_000962.3_cds_NP_214637.1_127	369	170	60	30.5505
lcl|NC_000962.3_cds_YP_177693.1_128	1464	1265	138	9.44287
lcl|NC_000962.3_cds_NP_214639.1_129	1068	869	1942	193.439
lcl|NC_000962.3_cds_NP_214640.1_130	1806	1607	2300	123.887
lcl|NC_000962.3_cds_NP_214641.1_131	1368	1169	1308	96.852
lcl|NC_000962.3_cds_NP_214642.1_132	780	581	562	83.729
lcl|NC_000962.3_cds_YP_177694.1_133	1023	824	11358	1193.14
lcl|NC_000962.3_cds_NP_214644.1_134	456	257	211	71.0665
lcl|NC_000962.3_cds_NP_214645.1_135	1344	1145	475	35.909
lcl|NC_000962.3_cds_NP_214646.1_136	1083	884	373	36.5235
lcl|NC_000962.3_cds_NP_214647.1_137	606	407	673	143.132
lcl|NC_000962.3_cds_NP_214648.1_138	903	704	2284	280.827
lcl|NC_000962.3_cds_NP_214649.1_139	606	407	1677	356.66
lcl|NC_000962.3_cds_NP_214650.1_140	1326	1127	841	64.5933
lcl|NC_000962.3_cds_NP_214651.1_141	549	350	931	230.249
lcl|NC_000962.3_cds_NP_214652.1_142	504	305	328	93.0871
lcl|NC_000962.3_cds_NP_214653.1_143	1023	824	1216	127.739
lcl|NC_000962.3_cds_NP_214654.1_144	381	182	367	174.546
lcl|NC_000962.3_cds_NP_214655.1_145	411	212	376	153.521
lcl|NC_000962.3_cds_NP_214656.1_146	927	728	748	88.9377
lcl|NC_000962.3_cds_NP_214657.1_147	1479	1280	1858	125.647
lcl|NC_000962.3_cds_NP_214658.1_148	843	644	6383	857.935
lcl|NC_000962.3_cds_NP_214659.1_149	954	755	2983	341.997
lcl|NC_000962.3_cds_NP_214660.1_150	933	734	1204	141.986
lcl|NC_000962.3_cds_NP_214661.1_151	1521	1322	2304	150.857
lcl|NC_000962.3_cds_NP_214662.1_152	861	662	1780	232.743
lcl|NC_000962.3_cds_NP_214663.1_153	969	770	945	106.232
lcl|NC_000962.3_cds_NP_214664.1_154	288	89.0189	21	20.4198
lcl|NC_000962.3_cds_YP_177695.1_155	1767	1568	582	32.1286
lcl|NC_000962.3_cds_YP_177696.1_156	1578	1379	283	17.7639
lcl|NC_000962.3_cds_NP_214667.1_157	831	632	813	111.35
lcl|NC_000962.3_cds_NP_214668.1_158	1212	1013	1535	131.164
lcl|NC_000962.3_cds_NP_214669.1_159	1101	902	959	92.0296
lcl|NC_000962.3_cds_NP_214670.1_160	333	134	465	300.375
lcl|NC_000962.3_cds_NP_214671.1_161	1428	1229	2909	204.884
lcl|NC_000962.3_cds_YP_007408797.1_162	129	7.91774	0	0
lcl|NC_000962.3_cds_NP_214672.1_163	645	446	386	74.9149
lcl|NC_000962.3_cds_YP_177697.1_164	1407	1208	382	27.3723
lcl|NC_000962.3_cds_YP_177698.1_165	1509	1310	95	6.27723
lcl|NC_000962.3_cds_NP_214675.1_166	1350	1151	265	19.929
lcl|NC_000962.3_cds_YP_177699.1_167	1152	953	328	29.7918
lcl|NC_000962.3_cds_NP_214677.1_168	456	257	171	57.5942
lcl|NC_000962.3_cds_YP_177617.1_169	486	287	3335	1005.84
lcl|NC_000962.3_cds_YP_177700.2_170	672	473	1961	358.866
lcl|NC_000962.3_cds_NP_214680.1_171	1665	1466	6304	372.218
lcl|NC_000962.3_cds_NP_214681.1_172	798	599	6060	875.712
lcl|NC_000962.3_cds_NP_214682.1_173	870	671	2487.94	320.947
lcl|NC_000962.3_cds_YP_177701.1_174	1365	1166	5088	377.715
lcl|NC_000962.3_cds_NP_214684.1_175	1041	842	2088	214.651
lcl|NC_000962.3_cds_NP_214685.1_176	1548	1349	9347	599.758
lcl|NC_000962.3_cds_NP_214686.1_177	1593	1394	6180	383.744
lcl|NC_000962.3_cds_NP_214687.1_178	1173	974	4619	410.492
lcl|NC_000962.3_cds_NP_214688.1_179	1548	1349	13109	841.149
lcl|NC_000962.3_cds_NP_214689.3_180	642	443	4215	823.587
lcl|NC_000962.3_cds_NP_214690.1_181	969	770	4284	481.586
lcl|NC_000962.3_cds_NP_214691.1_182	555	356	2290	556.802
lcl|NC_000962.3_cds_NP_214692.1_183	735	536	4327	698.775
lcl|NC_000962.3_cds_NP_214693.1_184	1110	911	3416	324.575
lcl|NC_000962.3_cds_NP_214694.1_185	1359	1160	1134	84.6195
lcl|NC_000962.3_cds_NP_214695.1_186	735	536	484	78.1621
lcl|NC_000962.3_cds_NP_214696.1_187	1113	914	1639	155.22
lcl|NC_000962.3_cds_NP_214697.2_188	840	641	1417	191.349
lcl|NC_000962.3_cds_NP_214698.1_189	750	551	2047	321.575
lcl|NC_000962.3_cds_NP_214699.1_190	510	311	689	191.767
lcl|NC_000962.3_cds_NP_214700.1_191	2076	1877	3430	158.178
lcl|NC_000962.3_cds_YP_004837046.2_192	162	11.4723	0	0
lcl|NC_000962.3_cds_NP_214701.1_193	663	464	498	92.9024
lcl|NC_000962.3_cds_NP_214702.1_194	432	233	555	206.183
lcl|NC_000962.3_cds_NP_214703.1_195	1728	1529	7278	412.022
lcl|NC_000962.3_cds_NP_214704.1_196	291	92.0123	480	451.555
lcl|NC_000962.3_cds_NP_214705.1_197	1242	1043	4601	381.842
lcl|NC_000962.3_cds_NP_214706.1_198	1101	902	2933	281.463
lcl|NC_000962.3_cds_NP_214707.1_199	1848	1649	220	11.5483
lcl|NC_000962.3_cds_NP_214708.1_200	3585	3386	373	9.53537
lcl|NC_000962.3_cds_NP_214709.1_201	636	437	25	4.95192
lcl|NC_000962.3_cds_NP_214710.1_202	585	386	179	40.1404
lcl|NC_000962.3_cds_NP_214711.1_203	2289	2090	869	35.9906
lcl|NC_000962.3_cds_NP_214712.1_204	1992	1793	6328	305.493
lcl|NC_000962.3_cds_NP_214713.1_205	660	461	530	99.5154
lcl|NC_000962.3_cds_NP_214714.1_206	690	491	1441	254.038
lcl|NC_000962.3_cds_NP_214715.1_207	504	305	1368	388.241
lcl|NC_000962.3_cds_NP_214716.1_208	2901	2702	6742	215.983
lcl|NC_000962.3_cds_NP_214717.1_209	411	212	374	152.704
lcl|NC_000962.3_cds_NP_214718.2_210	1239	1040	2331	194.01
lcl|NC_000962.3_cds_NP_214719.1_211	1104	905	1173	112.193
lcl|NC_000962.3_cds_NP_214720.1_212	2835	2636	19056	625.751
lcl|NC_000962.3_cds_NP_214721.1_213	729	530	2245	366.654
lcl|NC_000962.3_cds_NP_214722.1_214	792	593	1512	220.705
lcl|NC_000962.3_cds_NP_214723.1_215	1086	887	430	41.9624
lcl|NC_000962.3_cds_NP_214724.1_216	1479	1280	408	27.5909
lcl|NC_000962.3_cds_NP_214725.1_217	1821	1622	3338	178.136
lcl|NC_000962.3_cds_NP_214726.1_218	972	773	402	45.0155
lcl|NC_000962.3_cds_NP_214727.1_219	1314	1115	495	38.4278
lcl|NC_000962.3_cds_NP_214728.1_220	1614	1415	403	24.6527
lcl|NC_000962.3_cds_NP_214730.1_221	1014	815	414	43.9702
lcl|NC_000962.3_cds_NP_214731.1_222	909	710	441	53.7645
lcl|NC_000962.3_cds_NP_214732.1_223	1329	1130	354	27.1169
lcl|NC_000962.3_cds_NP_214733.1_224	549	350	60	14.8388
lcl|NC_000962.3_cds_NP_214734.1_225	1212	1013	8856	756.735
lcl|NC_000962.3_cds_NP_214735.1_226	1410	1211	1679	120.011
lcl|NC_000962.3_cds_NP_214736.1_227	789	590	789	115.755
lcl|NC_000962.3_cds_NP_214737.1_228	1464	1265	556	38.0452
lcl|NC_000962.3_cds_NP_214738.1_229	765	566	273	41.7505
lcl|NC_000962.3_cds_NP_214739.1_230	1155	956	2325	210.514
lcl|NC_000962.3_cds_NP_214740.1_231	1731	1532	851	48.0824
lcl|NC_000962.3_cds_NP_214741.1_232	1266	1067	3843	311.761
lcl|NC_000962.3_cds_NP_214742.1_233	1224	1025	879	74.2302
lcl|NC_000962.3_cds_NP_214743.2_234	414	215	565	227.471
lcl|NC_000962.3_cds_NP_214744.1_235	981	782	944	104.491
lcl|NC_000962.3_cds_NP_214745.1_236	1707	1508	1089	62.5089
lcl|NC_000962.3_cds_NP_214746.1_237	690	491	1599	281.892
lcl|NC_000962.3_cds_NP_214747.1_238	945	746	2561	297.157
lcl|NC_000962.3_cds_NP_216247.2_239	1536	1337	1615	104.558
lcl|NC_000962.3_cds_NP_214749.1_240	1449	1250	666	46.119
lcl|NC_000962.3_cds_NP_214750.1_241	4203	4004	6378	137.881
lcl|NC_000962.3_cds_YP_177619.1_242	174	13.5333	0	0
lcl|NC_000962.3_cds_YP_177702.1_243	1167	968	2316	207.099
lcl|NC_000962.3_cds_NP_214752.1_244	615	416	1119	232.837
lcl|NC_000962.3_cds_NP_214753.1_245	234	39.2004	529	1168.1
lcl|NC_000962.3_cds_NP_214754.1_246	438	239	286	103.582
lcl|NC_000962.3_cds_NP_214755.1_247	843	644	3176	426.884
lcl|NC_000962.3_cds_NP_214756.1_248	1365	1166	3981	295.535
lcl|NC_000962.3_cds_NP_214757.1_249	1323	1124	15705	1209.45
lcl|NC_000962.3_cds_NP_214758.1_250	1836	1637	1331	70.3793
lcl|NC_000962.3_cds_NP_214759.1_251	489	290	340	101.484
lcl|NC_000962.3_cds_NP_214760.1_252	1311	1112	941	73.2488
lcl|NC_000962.3_cds_NP_214761.1_253	747	548	2425	383.042
lcl|NC_000962.3_cds_NP_214762.1_254	1941	1742	5859	291.133
