Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
Q9HYZ7	MINC_PSEAE	reviewed	Probable septum site-determining protein MinC	minC PA3243	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	263	PA3243		minC		2 out of 5	cell morphogenesis [GO:0000902]; division septum assembly [GO:0000917]; regulation of cell division [GO:0051302]; regulation of cell septum assembly [GO:1901891]			GO:0000902; GO:0000917; GO:0051302; GO:1901891	cell morphogenesis [GO:0000902]; division septum assembly [GO:0000917]; regulation of cell division [GO:0051302]; regulation of cell septum assembly [GO:1901891]	AE004091;	AAG06631;		NP_251933.1;WP_003114802.1;
Q9HXD6	MOAA1_PSEAE	reviewed	GTP 3',8-cyclase 1 (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A 1)	moaA1 moaA PA3870	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	329	PA3870		moaA1	moaA	3 out of 5	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase complex [GO:0019008]	4 iron, 4 sulfur cluster binding [GO:0051539]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]	GO:0005525; GO:0006777; GO:0019008; GO:0046872; GO:0051539; GO:0061798; GO:1904047	molybdopterin synthase complex [GO:0019008]; 4 iron, 4 sulfur cluster binding [GO:0051539]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	AE004091;Y15252;	AAG07257;		NP_252559.1;WP_003092949.1;
Q51546	PSTB_PSEAE	reviewed	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB PA5366	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	277	PA5366		pstB		3 out of 5		plasma membrane [GO:0005886]	ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415]; ATP binding [GO:0005524]; inorganic phosphate transmembrane transporter activity [GO:0005315]	GO:0005315; GO:0005524; GO:0005886; GO:0015415	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415]; inorganic phosphate transmembrane transporter activity [GO:0005315]	D45195;AE004091;	AAG08751;		NP_254053.1;WP_003096663.1;
Q51548	PVDA_PSEAE	reviewed	L-ornithine N(5)-monooxygenase (EC 1.14.13.195) (L-ornithine N(5)-hydroxylase) (Ornithine hydroxylase) (L-ornithine N(5)-oxygenase) (Pyoverdin biosynthesis protein A)	pvdA pvd-1 PA2386	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	443	PA2386		pvdA	pvd-1	5 out of 5	cellular iron ion homeostasis [GO:0006879]; pyoverdine biosynthetic process [GO:0002049]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	hydrolase activity [GO:0016787]; ornithine N5-monooxygenase activity [GO:0031172]	GO:0002049; GO:0005737; GO:0005886; GO:0006879; GO:0016787; GO:0031172	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; hydrolase activity [GO:0016787]; ornithine N5-monooxygenase activity [GO:0031172]; cellular iron ion homeostasis [GO:0006879]; pyoverdine biosynthetic process [GO:0002049]	Z25465;AE004091;	AAG05774;		NP_251076.1;WP_003114509.1;
Q9HV56	RBFA_PSEAE	reviewed	Ribosome-binding factor A	rbfA PA4743	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	129	PA4743		rbfA		2 out of 5	maturation of SSU-rRNA [GO:0030490]; ribosome biogenesis [GO:0042254]	cytosol [GO:0005829]	ribosomal small subunit binding [GO:0043024]	GO:0005829; GO:0030490; GO:0042254; GO:0043024	cytosol [GO:0005829]; ribosomal small subunit binding [GO:0043024]; maturation of SSU-rRNA [GO:0030490]; ribosome biogenesis [GO:0042254]	AE004091;	AAG08129;		NP_253431.1;WP_003095188.1;
Q9HV53	RIMP_PSEAE	reviewed	Ribosome maturation factor RimP	rimP PA4746	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	152	PA4746		rimP		2 out of 5	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosol [GO:0005829]		GO:0000028; GO:0005829; GO:0006412	cytosol [GO:0005829]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	AE004091;	AAG08132;		NP_253434.1;WP_003095193.1;
Q51426	RUVB_PSEAE	reviewed	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB PA0967	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	352	PA0967		ruvB		3 out of 5	cellular response to chromate [GO:0071247]; cellular response to selenite ion [GO:0072715]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0006281; GO:0006310; GO:0009378; GO:0009432; GO:0016787; GO:0071247; GO:0072715	ATP binding [GO:0005524]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; hydrolase activity [GO:0016787]; cellular response to chromate [GO:0071247]; cellular response to selenite ion [GO:0072715]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	D83138;AE004091;	AAG04356;		NP_249658.1;WP_003086123.1;
P40883	PCHR_PSEAE	reviewed	Regulatory protein PchR	pchR PA4227	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	296	PA4227		pchR		3 out of 5		protein-DNA complex [GO:0032993]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription repressor activity [GO:0001217]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0001216; GO:0001217; GO:0032993	protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription repressor activity [GO:0001217]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	L11657;AE004091;	AAG07615;		NP_252917.1;WP_003106955.1;
Q51547	PHOU_PSEAE	reviewed	Phosphate-specific transport system accessory protein PhoU homolog (Pst system accessory protein PhoU homolog)	phoU PA5365	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	242	PA5365		phoU		3 out of 5	cell chemotaxis [GO:0060326]; cellular phosphate ion homeostasis [GO:0030643]; negative regulation of chemotaxis [GO:0050922]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of phosphate transmembrane transport [GO:2000186]; negative regulation of positive chemotaxis [GO:0050928]; phosphate ion transport [GO:0006817]	cytoplasm [GO:0005737]	protein homodimerization activity [GO:0042803]	GO:0005737; GO:0006817; GO:0030643; GO:0042803; GO:0045936; GO:0050922; GO:0050928; GO:0060326; GO:2000186	cytoplasm [GO:0005737]; protein homodimerization activity [GO:0042803]; cell chemotaxis [GO:0060326]; cellular phosphate ion homeostasis [GO:0030643]; negative regulation of chemotaxis [GO:0050922]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of phosphate transmembrane transport [GO:2000186]; negative regulation of positive chemotaxis [GO:0050928]; phosphate ion transport [GO:0006817]	D45195;AE004091;	AAG08750;		NP_254052.1;WP_003096661.1;
P43336	PHHC_PSEAE	reviewed	Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	phhC PA0870	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	399	PA0870		phhC		3 out of 5	L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]; tyrosine catabolic process [GO:0006572]	cytosol [GO:0005829]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	GO:0004069; GO:0004838; GO:0005829; GO:0006572; GO:0008483; GO:0030170; GO:0033585; GO:0042802; GO:0080130	cytosol [GO:0005829]; identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]; tyrosine catabolic process [GO:0006572]	M88627;AE004091;	AAG04259;		NP_249561.1;WP_003114240.1;
