uniprot_id	protein	gene	refseq	8h_average_tpm.txt	24h_average_tpm.txt	logTPM_8h	logTPM_24h
P51777	Cold shock protein CspD	cspD	NP_390076.1;WP_003230776.1;	22083.5	24694.5	14.430681221614865	14.591902137704029
P32081	Cold shock protein CspB (Major cold shock protein)	cspB	NP_388791.1;WP_003224086.1;	20524.4	12324.2	14.325052427146833	13.589206379621867
P08821	DNA-binding protein HU 1 (DNA-binding protein II) (HB)	hupA	NP_390160.1;WP_003153447.1;	11904.2	9011.57	13.539183049732387	13.137562759612702
P39158	Cold shock protein CspC	cspC	NP_388393.1;WP_003234247.1;	5814.64	9849.29	12.50547415799563	13.26580401426687
P08874	Transition state regulatory protein AbrB	abrB	NP_387918.1;WP_003226760.1;	4392.39	678.69	12.100790441483872	9.406608946001322
O32067	Uncharacterized HTH-type transcriptional regulator YtzE	ytzE	NP_390880.1;WP_003152337.1;	2395.68	3890.76	11.226219499447923	11.925836275641414
P96622	Endoribonuclease EndoA (EC 3.1.27.-) (Toxin EndoA) (mRNA interferase EndoA) (mRNA interferase MazF-bs) (MazF-bs)	ndoA	NP_388347.1;WP_003156187.1;	1537.63	1344.94	10.586492673928147	10.393326097865359
O34766	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YopS	yopS	NP_389960.1;WP_004399410.1;	1262.47	1509.92	10.302033390256845	10.560256398013271
Q7WY72	Extracellular matrix regulatory protein A (Regulator of extracellular matrix A)	remA	NP_570902.1;WP_003154355.1;	1088.67	756.933	10.08835099214866	9.564021795341645
P37582	HTH-type transcriptional regulator GlnR	glnR	NP_389627.1;WP_003238341.1;	922.424	241.444	9.849286239874706	7.915544802062268
P54512	HTH-type transcriptional regulator MntR (Manganese transport regulator) (Manganese(II) metalloregulatory protein MntR)	mntR	NP_390332.2;WP_003236923.1;	723.302	457.891	9.498454330633185	8.838860398413676
O32253	Central glycolytic genes regulator	cggR	NP_391275.1;WP_009968188.1;	663.452	193.57	9.373848281795274	7.596711566948468
O07586	HTH-type transcriptional regulator CueR	cueR	NP_388837.1;WP_010886460.1;	527.46	470.12	9.042917880770434	8.87688524721991
O31771	Uncharacterized membrane protein YmfM	ymfM	NP_389573.3;WP_010886511.1;	523.284	299.402	9.031450337369533	8.225940048380288
P06533	HTH-type transcriptional regulator SinR	sinR	NP_390341.1;WP_003226345.1;	466.556	591.219	8.865906445714547	9.207548823882123
O31761	Uncharacterized HTH-type transcriptional regulator YmfC	ymfC	NP_389563.1;WP_003245732.1;	434.252	312.634	8.762388683231837	8.288330874587121
P24281	Nucleoid-associated protein YaaK	yaaK	NP_387901.1;WP_003225427.1;	423.47	366.858	8.726115957716452	8.519077935843567
O31417	Uncharacterized HTH-type transcriptional regulator YazB	yazB	NP_387961.1;WP_003226678.1;	421.811	376.478	8.720452908041757	8.556421751303414
P25499	Heat-inducible transcription repressor HrcA	hrcA	NP_390427.1;WP_003246126.1;	395.622	182.799	8.627978844406616	7.514114367944302
P39758	Putative transition state regulator Abh	abh	NP_389331.1;WP_003244728.1;	375.972	419.97	8.554481412940122	8.714142464339826
O05236	Uncharacterized HTH-type transcriptional regulator YugG	yugG	NP_391019.1;WP_009968070.1;	364.812	210.391	8.511009375570566	7.716929180844669
P39667	Transcription repressor NadR (ORF1)	nadR	NP_390667.2;WP_004398582.1;	355.264	423.29	8.472747693099496	8.725502595934431
O34857	Repressor Rok	rok	NP_389307.1;WP_003232378.1;	347.414	283.877	8.44051208234809	8.149122154969037
P37524	Nucleoid occlusion protein (Noc)	noc	NP_391979.1;WP_003226829.1;	323.423	431.957	8.337278468481339	8.754743893426438
O34835	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR	NP_389470.1;WP_003232044.1;	323.407	113.88	8.337207095413735	6.831370587967541
P06534	Stage 0 sporulation protein A (Stage 0 sporulation protein C) (Stage 0 sporulation protein G)	spo0A	NP_390302.1;WP_003226427.1;	318.596	507.614	8.315584343592155	8.98758804904839
O07573	HTH-type transcriptional regulator NsrR	nsrR	NP_388819.1;WP_003245378.1;	314.615	470.087	8.297443646001073	8.87678397391229
P39776	Tyrosine recombinase XerC	xerC	NP_389496.1;WP_003231988.1;	312.166	211.089	8.28616960248274	7.721707590539699
P39814	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA	NP_389494.1;WP_003245599.1;	310.051	162.165	8.276361732356207	7.341318666696599
P31080	LexA repressor (EC 3.4.21.88) (SOS regulatory protein DinR)	lexA	NP_389668.1;WP_003238209.1;	304.205	441.334	8.248900055578497	8.78572708538206
Q7BVT7	Uncharacterized protein YerC	yerC	NP_388540.1;WP_003219429.1;	303.841	433.344	8.247172748573387	8.759368919250905
P04831	Small, acid-soluble spore protein A (SASP)	sspA	NP_390835.1;WP_003223491.1;	284.299	723.686	8.151265214229566	9.499220052130125
P13800	Transcriptional regulatory protein DegU (Protease production enhancer protein)	degU	NP_391429.1;WP_003219701.1;	279.126	332.494	8.124772704447485	8.377184496558938
P37568	Transcriptional regulator CtsR (Class three stress gene repressor)	ctsR	NP_387964.1;WP_003225724.1;	255.664	80.6963	7.998105219036643	6.334430621004731
P54476	Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo	NP_390392.1;WP_009967756.1;	250.491	103.214	7.968614958909286	6.689494861705419
P37551	Pur operon repressor	purR	NP_387928.1;WP_003218342.1;	246.668	164.704	7.946426758125652	7.3637317825444475
Q45549	Transcriptional repressor NrdR	nrdR	NP_390778.1;WP_003223586.1;	229.772	208.908	7.844059191752054	7.70672393033358
P11470	Spore germination protein GerE	gerE	NP_390719.2;WP_003184172.1;	195.906	550.813	7.614017773381695	9.105418799382328
O31509	Probable transcriptional regulatory protein YeeI	yeeI	NP_388566.3;WP_003242611.1;	174.662	218.53	7.448421955014015	7.771687537602535
P26497	Stage 0 sporulation protein J	spo0J	NP_391976.1;WP_003226832.1;	172.731	210.381	7.432383216085477	7.71686060712583
O34692	Uncharacterized HTH-type transcriptional regulator YvnA	yvnA	NP_391385.1;WP_003228083.1;	70.4354	288.683	6.138228787504971	8.173342342247059
P94433	HTH-type transcriptional repressor YcnK	ycnK	NP_388278.1;WP_003246724.1;	48.5298	832.041	5.600799009397	9.700510810736393
P40762	HTH-type transcriptional regulator PchR (Pulcherriminic acid biosynthetis regulator)	pchR	NP_391388.1;WP_003228073.1;	11.4065	976.059	3.5117842741340812	9.930824547024729
