uniprot_id	protein	gene	refseq
P0AAR0	Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms)	tomB	NP_414994.1;WP_000344800.1;
P06992	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA	NP_414593.1;WP_001065381.1;
P0ACG1	DNA-binding protein StpA (H-NS homolog StpA)	stpA	NP_417155.1;WP_000115383.1;
P0A823	Sugar fermentation stimulation protein A	sfsA	NP_414688.1;WP_000396036.1;
P42641	GTPase ObgE/CgtA (EC 3.6.5.-) (GTP-binding protein Obg)	obgE	NP_417650.1;WP_000673575.1;
P0A7H6	Recombination protein RecR	recR	NP_415005.1;WP_001195025.1;
P64530	Transcriptional repressor RcnR	rcnR	NP_416608.1;WP_000019944.1;
P0ACS2	Redox-sensitive transcriptional activator SoxR	soxR	NP_418487.1;WP_000412428.1;
P0A881	Trp operon repressor	trpR	NP_418810.1;WP_000068679.1;
P00448	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA	NP_418344.3;WP_000122641.1;
Q2EES9	Response regulator inhibitor for tor operon (Tor inhibitor)	torI	WP_001163428.1;YP_588463.1;
P22186	Transcriptional regulator MraZ	mraZ	NP_414623.1;WP_001295533.1;
Q47149	mRNA interferase toxin YafQ (EC 3.1.-.-) (Endoribonuclease YafQ) (Toxin YafQ)	yafQ	NP_414760.1;WP_000615983.1;
P27434	Cytoskeleton protein RodZ	rodZ	NP_417011.1;WP_001090866.1;
P15373	Antitoxin PrlF (HtrA suppressor protein SohA)	prlF	NP_417598.1;WP_001307405.1;
P36771	Probable HTH-type transcriptional regulator LrhA	lrhA	NP_416792.1;WP_000622280.1;
P0A8D0	Transcriptional repressor NrdR	nrdR	NP_414947.1;WP_000543535.1;
Q46864	Antitoxin MqsA	mqsA	NP_417493.1;WP_000650107.1;
P0DMC7	Transcriptional regulatory protein RcsB (Capsular synthesis regulator component B)	rcsB	NP_416721.1;WP_001061917.1;
P76062	Prophage repressor RacR (Rac prophage repressor)	racR	NP_415874.1;WP_000948459.1;
P0A9V5	Uncharacterized HTH-type transcriptional regulator YiaG	yiaG	NP_418011.1;WP_000455798.1;
P0A8B5	Nucleoid-associated protein YbaB	ybaB	NP_415004.1;WP_000467098.1;
P0A9T6	Uncharacterized HTH-type transcriptional regulator YbaQ	ybaQ	NP_415016.4;WP_000806442.1;
P0A8U6	Met repressor (Met regulon regulatory protein MetJ)	metJ	NP_418373.1;WP_000852812.1;
P06612	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA	NP_415790.1;WP_001297122.1;
P0AF63	HTH-type transcriptional repressor NsrR	nsrR	NP_418599.1;WP_001177639.1;
P77569	DNA-binding transcriptional activator MhpR (mhp operon transcriptional activator)	mhpR	NP_414880.2;
P76268	Transcriptional regulator KdgR	kdgR	NP_416341.1;WP_001262203.1;
P75993	Probable two-component-system connector protein AriR	ariR	NP_415684.1;WP_000888772.1;
P33224	Putative acyl-CoA dehydrogenase AidB (EC 1.3.99.-)	aidB	NP_418608.6;WP_001350567.1;
P0A6Y1	Integration host factor subunit beta (IHF-beta)	ihfB	NP_415432.1;WP_000167336.1;
P68767	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA	NP_418681.1;WP_000397144.1;
P0A9X9	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA	NP_418012.1;WP_000014594.1;
