target_id	length	eff_length	est_counts	tpm
lcl|NC_002516.2_cds_NP_064721.1_1	1545	1297.93	5184	105.339
lcl|NC_002516.2_cds_NP_064722.1_2	1104	856.926	2621	80.6674
lcl|NC_002516.2_cds_NP_064723.1_3	1110	862.926	1709	52.2328
lcl|NC_002516.2_cds_NP_064724.1_4	2421	2173.93	3492	42.3647
lcl|NC_002516.2_cds_NP_064725.1_5	774	526.936	1283	64.216
lcl|NC_002516.2_cds_NP_064726.1_6	537	290.645	1535	139.29
lcl|NC_002516.2_cds_NP_064727.1_7	1707	1459.93	1097	19.8176
lcl|NC_002516.2_cds_NP_064728.1_8	2055	1807.93	1329	19.3874
lcl|NC_002516.2_cds_NP_064729.1_9	948	700.926	455	17.1204
lcl|NC_002516.2_cds_NP_248700.1_10	552	305.502	161	13.8991
lcl|NC_002516.2_cds_NP_248701.1_11	888	640.926	1560	64.1935
lcl|NC_002516.2_cds_NP_248702.1_12	267	60.6301	623	271.003
lcl|NC_002516.2_cds_NP_248703.1_13	654	406.995	267	17.302
lcl|NC_002516.2_cds_NP_248704.1_14	273	63.9492	72	29.6942
lcl|NC_002516.2_cds_NP_248705.1_15	318	92.8832	1117	317.169
lcl|NC_002516.2_cds_NP_248706.1_16	1374	1126.93	1633	38.2178
lcl|NC_002516.2_cds_NP_248707.1_17	1305	1057.93	840	20.9411
lcl|NC_002516.2_cds_NP_248708.1_18	945	697.926	734	27.7371
lcl|NC_002516.2_cds_NP_248709.1_19	507	261.191	4505	454.895
lcl|NC_002516.2_cds_NP_248710.1_20	1026	778.926	4828	163.473
lcl|NC_002516.2_cds_NP_248711.1_21	1089	841.926	199	6.23381
lcl|NC_002516.2_cds_NP_248712.1_22	558	311.44	1206	102.129
lcl|NC_002516.2_cds_NP_248713.1_23	978	730.926	776	28.0003
lcl|NC_002516.2_cds_NP_248714.1_24	918	670.926	10055	395.259
lcl|NC_002516.2_cds_NP_248715.1_25	825	577.936	4735	216.08
lcl|NC_002516.2_cds_NP_248716.1_26	987	739.926	2440	86.9713
lcl|NC_002516.2_cds_NP_248717.1_27	1287	1039.93	918	23.2817
lcl|NC_002516.2_cds_NP_248718.1_28	603	356.177	389	28.8044
lcl|NC_002516.2_cds_NP_248719.1_29	1554	1306.93	365	7.36574
lcl|NC_002516.2_cds_NP_248720.1_30	924	676.926	115	4.48055
lcl|NC_002516.2_cds_NP_248721.1_31	1512	1264.93	390	8.13156
lcl|NC_002516.2_cds_NP_248722.1_32	915	667.926	635	25.0738
lcl|NC_002516.2_cds_YP_008719728.1_33	378	140.224	282	53.0396
lcl|NC_002516.2_cds_NP_248723.1_34	366	129.876	178	36.1465
lcl|NC_002516.2_cds_NP_248724.1_35	624	377.06	233	16.2975
lcl|NC_002516.2_cds_NP_248725.1_36	807	559.936	752	35.4204
lcl|NC_002516.2_cds_NP_248726.1_37	1209	961.926	1090	29.8854
lcl|NC_002516.2_cds_NP_248727.1_38	888	640.926	659	27.1177
lcl|NC_002516.2_cds_NP_248728.1_39	216	37.6783	1516	1061.16
lcl|NC_002516.2_cds_NP_248729.1_40	228	42.0476	9195	5767.46
lcl|NC_002516.2_cds_NP_248730.1_41	1689	1441.93	763.094	13.9576
lcl|NC_002516.2_cds_NP_248731.1_42	10608	10360.9	2872.86	7.31291
lcl|NC_002516.2_cds_YP_008719729.1_43	702	454.952	439	25.4492
lcl|NC_002516.2_cds_NP_248732.1_44	396	156.207	477	80.5363
lcl|NC_002516.2_cds_NP_248733.1_45	1383	1135.93	880	20.4318
lcl|NC_002516.2_cds_NP_248734.1_46	1374	1126.93	1057	24.7374
lcl|NC_002516.2_cds_NP_248735.1_47	687	439.967	501	30.0325
lcl|NC_002516.2_cds_NP_248736.1_48	354	120.219	136	29.8359
lcl|NC_002516.2_cds_NP_248737.1_49	510	264.125	151	15.0779
lcl|NC_002516.2_cds_NP_248738.1_50	384	145.506	150	27.1885
lcl|NC_002516.2_cds_NP_248739.1_51	1662	1414.93	299	5.57329
lcl|NC_002516.2_cds_NP_248740.1_52	141	23.6981	912	1014.97
lcl|NC_002516.2_cds_NP_248741.1_53	1833	1585.93	117	1.94571
lcl|NC_002516.2_cds_NP_248742.1_54	429	186.36	333	47.1265
lcl|NC_002516.2_cds_NP_248744.1_55	549	302.527	942	82.1223
lcl|NC_002516.2_cds_NP_248745.1_56	507	261.191	1584	159.945
lcl|NC_002516.2_cds_NP_248746.1_57	921	673.926	179	7.00512
lcl|NC_002516.2_cds_NP_248747.1_58	888	640.926	69	2.83933
lcl|NC_002516.2_cds_NP_248748.1_59	705	457.952	114	6.56537
lcl|NC_002516.2_cds_NP_248749.1_60	456	211.889	552	68.7076
lcl|NC_002516.2_cds_NP_248750.1_61	234	44.4526	311	184.518
lcl|NC_002516.2_cds_NP_248751.1_62	438	194.793	1526	206.612
lcl|NC_002516.2_cds_NP_248752.1_63	417	175.2	116	17.4622
lcl|NC_002516.2_cds_NP_248753.1_64	1128	880.926	1516	45.3873
lcl|NC_002516.2_cds_NP_248754.1_65	984	736.926	1013	36.2544
lcl|NC_002516.2_cds_NP_248755.1_66	666	418.988	256	16.1143
lcl|NC_002516.2_cds_NP_248756.1_67	543	296.567	449	39.9299
lcl|NC_002516.2_cds_NP_248757.1_68	2046	1798.93	2671	39.1593
lcl|NC_002516.2_cds_NP_248758.1_69	276	65.7062	782	313.888
lcl|NC_002516.2_cds_NP_248759.1_70	1059	811.926	383	12.441
lcl|NC_002516.2_cds_NP_248760.1_71	915	667.926	20319	802.322
lcl|NC_002516.2_cds_NP_248761.1_72	1713	1465.93	4638	83.4436
lcl|NC_002516.2_cds_NP_248762.1_73	1200	952.926	1156	31.9943
lcl|NC_002516.2_cds_NP_248763.1_74	720	472.936	764	42.6055
lcl|NC_002516.2_cds_NP_248764.1_75	3099	2851.93	1910	17.6632
lcl|NC_002516.2_cds_NP_248765.1_76	729	481.936	491	26.8699
lcl|NC_002516.2_cds_NP_248766.1_77	681	433.967	295	17.9283
lcl|NC_002516.2_cds_NP_248767.1_78	3306	3058.93	1930	16.6404
lcl|NC_002516.2_cds_NP_248768.1_79	1350	1102.93	974	23.2909
