Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
B8GWM3	RF2_CAUVN	reviewed	Peptide chain release factor 2 (RF-2)	prfB CCNA_01950	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	371	CCNA_01950		prfB		2 out of 5		cytoplasm [GO:0005737]	translation release factor activity, codon specific [GO:0016149]	GO:0005737; GO:0016149	cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]	CP001340;	ACL95415;		WP_010919740.1;YP_002517323.1;
B8GX52	SURE_CAUVN	reviewed	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE CCNA_02077	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	263	CCNA_02077		surE		2 out of 5		cytoplasm [GO:0005737]	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005737; GO:0008253; GO:0046872	cytoplasm [GO:0005737]; 5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	CP001340;	ACL95542;		WP_010919864.1;YP_002517450.1;
B8H3I7	RECA_CAUVN	reviewed	Protein RecA (Recombinase A)	recA CCNA_01141	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	356	CCNA_01141		recA		2 out of 5	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	cytoplasm [GO:0005737]	ATPase activity, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]	GO:0003684; GO:0003697; GO:0005524; GO:0005737; GO:0006281; GO:0006310; GO:0008094; GO:0009432	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	CP001340;	ACL94606;		WP_010918971.1;YP_002516514.1;
B8H0R5	RL28_CAUVN	reviewed	50S ribosomal protein L28	rpmB CCNA_00699	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	99	CCNA_00699		rpmB		1 out of 5	translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	CP001340;	ACL94164;		WP_010918547.1;YP_002516072.1;
B8H1E9	RNPA_CAUVN	reviewed	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA CCNA_00807	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	149	CCNA_00807		rnpA		2 out of 5	tRNA 5'-leader removal [GO:0001682]		ribonuclease P activity [GO:0004526]; tRNA binding [GO:0000049]	GO:0000049; GO:0001682; GO:0004526	ribonuclease P activity [GO:0004526]; tRNA binding [GO:0000049]; tRNA 5'-leader removal [GO:0001682]	CP001340;	ACL94272;		WP_010918654.1;YP_002516180.1;
A0A0H3CC30	SOCB_CAUVN	reviewed	DNA replication inhibitor toxin SocB	socB CCNA_03629	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	237	CCNA_03629		socB		3 out of 5		cytoplasm [GO:0005737]		GO:0005737	cytoplasm [GO:0005737]	CP001340;	ACL97094;		WP_015923298.1;YP_002519002.1;
B8H482	SSRP_CAUVN	reviewed	SsrA-binding protein (Small protein B)	smpB CCNA_01254	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	152	CCNA_01254		smpB		3 out of 5	cell cycle [GO:0007049]; trans-translation [GO:0070929]	cytoplasm [GO:0005737]	RNA binding [GO:0003723]	GO:0003723; GO:0005737; GO:0007049; GO:0070929	cytoplasm [GO:0005737]; RNA binding [GO:0003723]; cell cycle [GO:0007049]; trans-translation [GO:0070929]	CP001340;	ACL94719;		WP_010919079.1;YP_002516627.1;
B8H0A2	RSMH_CAUVN	reviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW CCNA_02645	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	311	CCNA_02645		rsmH	mraW	3 out of 5	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]	GO:0005737; GO:0070475; GO:0071424	cytoplasm [GO:0005737]; rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]; rRNA base methylation [GO:0070475]	CP001340;	ACL96110;		WP_010920418.1;YP_002518018.1;
B8GZS7	SYT_CAUVN	reviewed	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS CCNA_00496	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	655	CCNA_00496		thrS		3 out of 5	threonyl-tRNA aminoacylation [GO:0006435]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]	GO:0000049; GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]; threonyl-tRNA aminoacylation [GO:0006435]	CP001340;	ACL93961;		WP_010918352.1;YP_002515869.1;
B8GYM1	EX7L_CAUVN	reviewed	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA CCNA_02329	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	505	CCNA_02329		xseA		3 out of 5	DNA catabolic process [GO:0006308]	cytoplasm [GO:0005737]; exodeoxyribonuclease VII complex [GO:0009318]	exodeoxyribonuclease VII activity [GO:0008855]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0005737; GO:0006308; GO:0008855; GO:0009318	cytoplasm [GO:0005737]; exodeoxyribonuclease VII complex [GO:0009318]; exodeoxyribonuclease VII activity [GO:0008855]; nucleic acid binding [GO:0003676]; DNA catabolic process [GO:0006308]	CP001340;	ACL95794;		WP_010920107.1;YP_002517702.1;
