Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
P0AAG8	MGLA_ECOLI	reviewed	Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11)	mglA b2149 JW2136	Escherichia coli (strain K12)	506	b2149 JW2136		mglA		4 out of 5	cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	plasma membrane [GO:0005886]	ABC-type carbohydrate transporter activity [GO:0043211]; ATP binding [GO:0005524]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]	GO:0005354; GO:0005524; GO:0005886; GO:0006974; GO:0015592; GO:0015757; GO:0015765; GO:0043211	plasma membrane [GO:0005886]; ABC-type carbohydrate transporter activity [GO:0043211]; ATP binding [GO:0005524]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]; cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	M59444;U00096;AP009048;X05646;	AAC75210;BAE76626;		NP_416654.1;WP_000255039.1;
P0A749	MURA_ECOLI	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156	Escherichia coli (strain K12)	419	b3189 JW3156		murA	murZ	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	cytosol [GO:0005829]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]	GO:0005829; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	cytosol [GO:0005829]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	M92358;U18997;U00096;AP009048;AB028039;	AAC76221;BAE77233;		NP_417656.1;WP_000357259.1;
P77737	OPPF_ECOLI	reviewed	Oligopeptide transport ATP-binding protein OppF	oppF b1247 JW1239	Escherichia coli (strain K12)	334	b1247 JW1239		oppF		3 out of 5	protein transport [GO:0015031]	plasma membrane [GO:0005886]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005886; GO:0015031; GO:0042626	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; protein transport [GO:0015031]	U00096;AP009048;	AAC74329;BAA14779;		NP_415763.1;WP_000994906.1;
P23837	PHOQ_ECOLI	reviewed	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ b1129 JW1115	Escherichia coli (strain K12)	486	b1129 JW1115		phoQ		5 out of 5	cellular response to magnesium starvation [GO:0010350]; osmosensory signaling via phosphorelay pathway [GO:0007234]; phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]; signal transduction [GO:0007165]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0000160; GO:0004721; GO:0005524; GO:0005886; GO:0005887; GO:0007165; GO:0007234; GO:0010350; GO:0016301; GO:0042802; GO:0046777; GO:0046872	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; cellular response to magnesium starvation [GO:0010350]; osmosensory signaling via phosphorelay pathway [GO:0007234]; phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]; signal transduction [GO:0007165]	D90393;U00096;AP009048;	AAC74213;BAA35951;		NP_415647.1;WP_000735412.1;
P23865	PRC_ECOLI	reviewed	Tail-specific protease (EC 3.4.21.102) (C-terminal-processing peptidase) (PRC protein) (Protease Re)	prc tsp b1830 JW1819	Escherichia coli (strain K12)	682	b1830 JW1819		prc	tsp	5 out of 5	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]; signal transduction [GO:0007165]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]	GO:0004175; GO:0004252; GO:0005886; GO:0006508; GO:0007165; GO:0030163; GO:0030288; GO:0046677	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]; signal transduction [GO:0007165]	D00674;D00674;M75634;U00096;AP009048;S49803;L48409;	AAC74900;BAA15638;		NP_416344.1;WP_001055791.1;
P32155	PTFLA_ECOLI	reviewed	PTS system fructose-like EIIA component (Fructose-like phosphotransferase enzyme IIA component)	frvA yiiK b3900 JW3871	Escherichia coli (strain K12)	148	b3900 JW3871		frvA	yiiK	2 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	GO:0005737; GO:0008982; GO:0009401; GO:0016021; GO:0016301	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	X60472;L19201;U00096;AP009048;	AAC76882;BAE77409;		NP_418336.1;WP_000729595.1;
P69801	PTNC_ECOLI	reviewed	PTS system mannose-specific EIIC component (EII-P-Man) (EIIC-Man) (Mannose permease IIC component)	manY pel ptsP b1818 JW1807	Escherichia coli (strain K12)	266	b1818 JW1807		manY	pel ptsP	5 out of 5	glucose import across plasma membrane [GO:0098708]; mannose transmembrane transport [GO:0015761]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity [GO:0022870]	GO:0005886; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0022870; GO:0098708	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity [GO:0022870]; glucose import across plasma membrane [GO:0098708]; mannose transmembrane transport [GO:0015761]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	J02699;U00096;AP009048;M36404;	AAC74888;BAA15625;		NP_416332.1;WP_000406926.1;
P65870	QUED_ECOLI	reviewed	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	queD ygcM b2765 JW2735	Escherichia coli (strain K12)	121	b2765 JW2735		queD	ygcM	4 out of 5	queuosine biosynthetic process [GO:0008616]		6-carboxy-5,6,7,8-tetrahydropterin synthase activity [GO:0070497]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]	GO:0008270; GO:0008616; GO:0042802; GO:0070497	6-carboxy-5,6,7,8-tetrahydropterin synthase activity [GO:0070497]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]	U29579;U00096;AP009048;	AAC75807;BAE76842;		NP_417245.1;WP_000987944.1;
P0AAZ4	RARA_ECOLI	reviewed	Replication-associated recombination protein A	rarA mgsA ycaJ b0892 JW0875	Escherichia coli (strain K12)	447	b0892 JW0875		rarA	mgsA ycaJ	5 out of 5	DNA-dependent DNA replication [GO:0006261]; DNA recombination [GO:0006310]; regulation of DNA repair [GO:0006282]	replisome [GO:0030894]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; single-stranded DNA helicase activity [GO:0017116]	GO:0003677; GO:0005524; GO:0006261; GO:0006282; GO:0006310; GO:0008047; GO:0017116; GO:0030894	replisome [GO:0030894]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; single-stranded DNA helicase activity [GO:0017116]; DNA recombination [GO:0006310]; DNA-dependent DNA replication [GO:0006261]; regulation of DNA repair [GO:0006282]	U00096;AP009048;	AAC73978;BAA35617;		NP_415412.1;WP_000067755.1;
P0A7R1	RL9_ECOLI	reviewed	50S ribosomal protein L9 (Large ribosomal subunit protein bL9)	rplI b4203 JW4161	Escherichia coli (strain K12)	149	b4203 JW4161		rplI		4 out of 5	translation [GO:0006412]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005829; GO:0006412; GO:0022625; GO:0070180	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	X04022;U14003;U00096;AP009048;	AAC77160;BAE78204;		NP_418624.1;WP_001196062.1;
