Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
P54167	METAA_BACSU	reviewed	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)	metAA metA metB BSU21910	Bacillus subtilis (strain 168)	301	BSU21910		metAA	metA metB	3 out of 5	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine [GO:0019281]	cytoplasm [GO:0005737]	homoserine O-acetyltransferase activity [GO:0004414]; homoserine O-succinyltransferase activity [GO:0008899]	GO:0004414; GO:0005737; GO:0008899; GO:0019281	cytoplasm [GO:0005737]; homoserine O-acetyltransferase activity [GO:0004414]; homoserine O-succinyltransferase activity [GO:0008899]; L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine [GO:0019281]	L77246;AL009126;	CAB14109;		NP_390074.2;WP_004398721.1;
P24137	OPPF_BACSU	reviewed	Oligopeptide transport ATP-binding protein OppF (Stage 0 sporulation protein KE)	oppF spo0KE BSU11470	Bacillus subtilis (strain 168)	305	BSU11470		oppF	spo0KE	3 out of 5	establishment of competence for transformation [GO:0030420]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005886; GO:0015031; GO:0030420; GO:0030435; GO:0042626	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; establishment of competence for transformation [GO:0030420]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	X56347;M57689;M57689;AL009126;	CAB13004;		NP_389029.1;WP_003245567.1;
O31827	PPSE_BACSU	reviewed	Plipastatin synthase subunit E (EC 2.3.1.-) (Peptide synthase 5) [Includes: ATP-dependent isoleucine adenylase (IsoA) (Isoleucine activase)]	ppsE pps5 BSU18300	Bacillus subtilis (strain 168)	1279	BSU18300		ppsE	pps5	3 out of 5	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; antibiotic biosynthetic process [GO:0017000]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	phosphopantetheine binding [GO:0031177]; transferase activity [GO:0016740]	GO:0005737; GO:0005829; GO:0016740; GO:0017000; GO:0031177; GO:0043041; GO:0044550	cytoplasm [GO:0005737]; cytosol [GO:0005829]; phosphopantetheine binding [GO:0031177]; transferase activity [GO:0016740]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; antibiotic biosynthetic process [GO:0017000]; secondary metabolite biosynthetic process [GO:0044550]	Y13917;AL009126;	CAB13713;		NP_389712.1;WP_010886522.1;
P39816	PTW3C_BACSU	reviewed	Putative PTS system glucosamine-specific EIICBA component [Includes: Glucosamine permease IIC component (PTS system glucosamine-specific EIIC component); Glucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system glucosamine-specific EIIB component); Glucosamine-specific phosphotransferase enzyme IIA component (PTS system glucosamine-specific EIIA component)]	gamP ybfS yzfA BSU02350	Bacillus subtilis (strain 168)	631	BSU02350		gamP	ybfS yzfA	4 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of plasma membrane [GO:0005887]	glucose transmembrane transporter activity [GO:0005355]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]	GO:0005355; GO:0005887; GO:0008982; GO:0009401; GO:0016301; GO:0046872; GO:0090563	integral component of plasma membrane [GO:0005887]; glucose transmembrane transporter activity [GO:0005355]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	AB006424;AL009126;U15147;	CAB12029;		NP_388117.1;WP_003246270.1;
P12047	PUR8_BACSU	reviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase) (Glutamyl--tRNA ligase regulatory factor)	purB purE BSU06440	Bacillus subtilis (strain 168)	431	BSU06440		purB	purE	5 out of 5	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; AMP biosynthetic process [GO:0006167]	cytosol [GO:0005829]	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]	GO:0004018; GO:0005829; GO:0006167; GO:0006189; GO:0044208; GO:0070626	cytosol [GO:0005829]; (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]; 'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; AMP biosynthetic process [GO:0006167]	J02732;AL009126;	CAB12464;		NP_388526.1;WP_003233955.1;
P42963	PXPA_BACSU	reviewed	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	pxpA ycsF BSU04050	Bacillus subtilis (strain 168)	257	BSU04050		pxpA	ycsF	4 out of 5	carbohydrate metabolic process [GO:0005975]; nitrogen compound metabolic process [GO:0006807]		5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]	GO:0005524; GO:0005975; GO:0006807; GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; carbohydrate metabolic process [GO:0005975]; nitrogen compound metabolic process [GO:0006807]	D50453;AL009126;D38161;	CAB12213;		NP_388287.3;WP_003234423.1;
P25972	PYRE_BACSU	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE pyrX BSU15560	Bacillus subtilis (strain 168)	216	BSU15560		pyrE	pyrX	3 out of 5	'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]; pyrimidine nucleobase biosynthetic process [GO:0019856]; UMP biosynthetic process [GO:0006222]		magnesium ion binding [GO:0000287]; orotate phosphoribosyltransferase activity [GO:0004588]	GO:0000287; GO:0004588; GO:0006222; GO:0009116; GO:0019856; GO:0044205	magnesium ion binding [GO:0000287]; orotate phosphoribosyltransferase activity [GO:0004588]; 'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]; pyrimidine nucleobase biosynthetic process [GO:0019856]; UMP biosynthetic process [GO:0006222]	M59757;AL009126;AJ000974;	CAB13430;		NP_389439.1;WP_003232105.1;
O32054	QUEA_BACSU	reviewed	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA BSU27720	Bacillus subtilis (strain 168)	342	BSU27720		queA		3 out of 5	queuosine biosynthetic process [GO:0008616]; tRNA wobble guanine modification [GO:0002099]	cytoplasm [GO:0005737]	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity [GO:0051075]	GO:0002099; GO:0005737; GO:0008616; GO:0051075	cytoplasm [GO:0005737]; S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity [GO:0051075]; queuosine biosynthetic process [GO:0008616]; tRNA wobble guanine modification [GO:0002099]	Y15896;AL009126;	CAB14732;		NP_390650.1;WP_003229723.1;
P07860	RPSF_BACSU	reviewed	RNA polymerase sigma-F factor (Sporulation sigma factor) (Stage II sporulation protein AC)	sigF spoIIAC BSU23450	Bacillus subtilis (strain 168)	255	BSU23450		sigF	spoIIAC	5 out of 5	DNA-templated transcription, initiation [GO:0006352]; sporulation resulting in formation of a cellular spore [GO:0030435]		DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	GO:0003677; GO:0006352; GO:0016987; GO:0030435	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; sporulation resulting in formation of a cellular spore [GO:0030435]	M15744;M17643;D84432;AL009126;	CAB14277;		NP_390226.1;WP_003230458.1;
P50739	SLEB_BACSU	reviewed	Spore cortex-lytic enzyme (SCLE)	sleB ypeA BSU22930	Bacillus subtilis (strain 168)	305	BSU22930		sleB	ypeA	3 out of 5	cell wall organization [GO:0071555]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	intracellular immature spore [GO:0042763]	hydrolase activity [GO:0016787]	GO:0009847; GO:0016787; GO:0030435; GO:0042763; GO:0071555	intracellular immature spore [GO:0042763]; hydrolase activity [GO:0016787]; cell wall organization [GO:0071555]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	D79978;L47648;AL009126;	CAB14209;		NP_390174.1;WP_004398523.1;
