target_id	length	eff_length	est_counts	tpm
lcl|NC_003112.2_cds_WP_002225747.1_1	492	243.048	289	150.31
lcl|NC_003112.2_cds_WP_002225748.1_2	396	151.442	112	93.4873
lcl|NC_003112.2_cds_WP_002225749.1_3	1395	1145.89	545	60.1223
lcl|NC_003112.2_cds_WP_002220030.1_4	645	395.887	138	44.0645
lcl|NC_003112.2_cds_WP_002225750.1_5	354	117.226	54	58.2305
lcl|NC_003112.2_cds_WP_002225751.1_6	483	234.122	361	194.915
lcl|NC_003112.2_cds_WP_002225752.1_7	651	401.887	464	145.947
lcl|NC_003112.2_cds_WP_002225753.1_8	918	668.887	617	116.604
lcl|NC_003112.2_cds_WP_002221759.1_9	249	59.9835	464	977.838
lcl|NC_003112.2_cds_WP_002225754.1_10	1212	962.887	673	88.3529
lcl|NC_003112.2_cds_WP_002225755.1_11	1254	1004.89	449	56.482
lcl|NC_003112.2_cds_WP_002225756.1_12	972	722.887	264	46.1652
lcl|NC_003112.2_cds_WP_002225757.1_13	450	201.73	316	198.015
lcl|NC_003112.2_cds_WP_002225758.1_14	1272	1022.89	198	24.4691
lcl|NC_003112.2_cds_WP_002225759.1_15	1449	1199.89	997	105.035
lcl|NC_003112.2_cds_WP_061730199.1_16	219	50.2828	640.887	1611.18
lcl|NC_003112.2_cds_WP_002216134.1_17	924	674.887	341	63.8711
lcl|NC_003112.2_cds_WP_141562916.1_18	444	195.928	5853	3776.27
lcl|NC_003112.2_cds_WP_010980743.1_19	513	263.949	0	0
lcl|NC_003112.2_cds_WP_009349134.1_20	462	213.428	2909.1	1723.01
lcl|NC_003112.2_cds_WP_165439318.1_21	402	156.753	1944.72	1568.27
lcl|NC_003112.2_cds_22	387	143.651	0	0
lcl|NC_003112.2_cds_WP_002221781.1_23	339	106.494	3.01721	3.58148
lcl|NC_003112.2_cds_24	420	173.171	2619.68	1912.29
lcl|NC_003112.2_cds_WP_002221783.1_25	597	347.887	6806.06	2473.08
lcl|NC_003112.2_cds_WP_176607287.1_26	405	159.441	3.43283	2.72165
lcl|NC_003112.2_cds_27	328	99.1752	361	460.135
lcl|NC_003112.2_cds_WP_002216146.1_28	330	100.471	755	949.925
lcl|NC_003112.2_cds_WP_002221786.1_29	219	50.2828	56	140.783
lcl|NC_003112.2_cds_WP_002225762.1_30	954	704.887	640	114.773
lcl|NC_003112.2_cds_WP_002225763.1_31	2058	1808.89	727	50.8047
lcl|NC_003112.2_cds_WP_002225764.1_32	1839	1589.89	763	60.6652
lcl|NC_003112.2_cds_WP_002243923.1_33	522	272.928	150	69.4744
lcl|NC_003112.2_cds_34	63	20.6799	0	0
lcl|NC_003112.2_cds_WP_002221791.1_35	1326	1076.89	631	74.0697
lcl|NC_003112.2_cds_WP_002225766.1_36	840	590.887	2350	502.741
lcl|NC_003112.2_cds_WP_002215233.1_37	1167	917.887	5727	788.713
lcl|NC_003112.2_cds_WP_002243924.1_38	1266	1016.89	4050	503.458
lcl|NC_003112.2_cds_WP_002225768.1_39	330	100.471	204	256.668
lcl|NC_003112.2_cds_WP_002225769.1_40	1371	1121.89	397	44.7324
