Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
Q7DDT3	RS17_NEIMB	reviewed	30S ribosomal protein S17	rpsQ NMB0151	Neisseria meningitidis serogroup B (strain MC58)	87	NMB0151		rpsQ		2 out of 5	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0019843; GO:0022627	cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF40609;		NP_273209.1;WP_002215433.1;
P66508	RS20_NEIMB	reviewed	30S ribosomal protein S20	rpsT NMB0463	Neisseria meningitidis serogroup B (strain MC58)	87	NMB0463		rpsT		2 out of 5	translation [GO:0006412]	cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005829; GO:0006412; GO:0015935; GO:0070181	cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF40900;		NP_273510.1;WP_002212556.1;
P0A0Z6	PBPA_NEIMB	reviewed	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA NMB1807	Neisseria meningitidis serogroup B (strain MC58)	798	NMB1807		mrcA	ponA	4 out of 5	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	GO:0005886; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0016021; GO:0046677; GO:0071555	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	AE002098;	AAF42144;		NP_274804.1;WP_002219786.1;
Q9JZ07	SUHB_NEIMB	reviewed	Putative Nus factor SuhB (Inositol-1-monophosphatase) (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB NMB1347	Neisseria meningitidis serogroup B (strain MC58)	261	NMB1347		suhB		4 out of 5	inositol metabolic process [GO:0006020]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]; ribosome biogenesis [GO:0042254]; signal transduction [GO:0007165]; transcription antitermination [GO:0031564]	cytoplasm [GO:0005737]	inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0005737; GO:0006020; GO:0007165; GO:0008934; GO:0031564; GO:0042254; GO:0046854; GO:0046855; GO:0046872; GO:0052832; GO:0052833	cytoplasm [GO:0005737]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; inositol metabolic process [GO:0006020]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]; ribosome biogenesis [GO:0042254]; signal transduction [GO:0007165]; transcription antitermination [GO:0031564]	AE002098;	AAF41721;		NP_274365.1;WP_002222348.1;
Q9JZ37	TIG_NEIMB	reviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig NMB1313	Neisseria meningitidis serogroup B (strain MC58)	437	NMB1313		tig		3 out of 5	'de novo' cotranslational protein folding [GO:0051083]; cell cycle [GO:0007049]; cell division [GO:0051301]; chaperone-mediated protein folding [GO:0061077]; protein transport [GO:0015031]; protein unfolding [GO:0043335]	cytoplasm [GO:0005737]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]	GO:0003755; GO:0005737; GO:0007049; GO:0015031; GO:0043022; GO:0043335; GO:0044183; GO:0051083; GO:0051301; GO:0061077	cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; 'de novo' cotranslational protein folding [GO:0051083]; cell cycle [GO:0007049]; cell division [GO:0051301]; chaperone-mediated protein folding [GO:0061077]; protein transport [GO:0015031]; protein unfolding [GO:0043335]	AE002098;	AAF41688;		NP_274332.1;
Q9JYM9	PNCB_NEIMB	reviewed	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	pncB NMB1505	Neisseria meningitidis serogroup B (strain MC58)	402	NMB1505		pncB		2 out of 5	NAD salvage [GO:0034355]	cytosol [GO:0005829]	nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; nicotinate phosphoribosyltransferase activity [GO:0004516]	GO:0004514; GO:0004516; GO:0005829; GO:0034355	cytosol [GO:0005829]; nicotinate phosphoribosyltransferase activity [GO:0004516]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD salvage [GO:0034355]	AE002098;	AAF41861;		NP_274513.1;WP_002225072.1;
P0A0X7	RS18_NEIMB	reviewed	30S ribosomal protein S18	rpsR NMB1321	Neisseria meningitidis serogroup B (strain MC58)	76	NMB1321		rpsR		2 out of 5	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0022627; GO:0070181	cytosolic small ribosomal subunit [GO:0022627]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF41696;		NP_274340.1;WP_002213306.1;
Q9K0Z0	RSMH_NEIMB	reviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW NMB0411	Neisseria meningitidis serogroup B (strain MC58)	328	NMB0411		rsmH	mraW	3 out of 5	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]	GO:0005737; GO:0070475; GO:0071424	cytoplasm [GO:0005737]; rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]; rRNA base methylation [GO:0070475]	AE002098;	AAF40850;		NP_273460.1;WP_002224919.1;
Q9JZ77	RIBB_NEIMB	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB NMB1256	Neisseria meningitidis serogroup B (strain MC58)	363	NMB1256		ribB		3 out of 5	riboflavin biosynthetic process [GO:0009231]	cytosol [GO:0005829]	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]	GO:0000287; GO:0003935; GO:0005829; GO:0008686; GO:0009231; GO:0030145	cytosol [GO:0005829]; 3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; riboflavin biosynthetic process [GO:0009231]	AE002098;	AAF41635;		NP_274278.1;
P65877	PTHP_NEIMB	reviewed	Phosphocarrier protein HPr (Histidine-containing protein)	ptsH NMB2045	Neisseria meningitidis serogroup B (strain MC58)	89	NMB2045		ptsH		2 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]		GO:0005737; GO:0009401	cytoplasm [GO:0005737]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	AE002098;	AAF42365;		NP_275035.1;WP_002218178.1;
