target_id	length	eff_length	est_counts	tpm
lcl|NC_003112.2_cds_WP_002225747.1_1	492	243.048	197	147.251
lcl|NC_003112.2_cds_WP_002225748.1_2	396	151.442	140	167.944
lcl|NC_003112.2_cds_WP_002225749.1_3	1395	1145.89	391	61.9896
lcl|NC_003112.2_cds_WP_002220030.1_4	645	395.887	122	55.9851
lcl|NC_003112.2_cds_WP_002225750.1_5	354	117.226	47	72.8379
lcl|NC_003112.2_cds_WP_002225751.1_6	483	234.122	581	450.835
lcl|NC_003112.2_cds_WP_002225752.1_7	651	401.887	346	156.407
lcl|NC_003112.2_cds_WP_002225753.1_8	918	668.887	235	63.8262
lcl|NC_003112.2_cds_WP_002221759.1_9	249	59.9835	387	1172.09
lcl|NC_003112.2_cds_WP_002225754.1_10	1212	962.887	461	86.978
lcl|NC_003112.2_cds_WP_002225755.1_11	1254	1004.89	667	120.585
lcl|NC_003112.2_cds_WP_002225756.1_12	972	722.887	266	66.849
lcl|NC_003112.2_cds_WP_002225757.1_13	450	201.73	204	183.715
lcl|NC_003112.2_cds_WP_002225758.1_14	1272	1022.89	256	45.467
lcl|NC_003112.2_cds_WP_002225759.1_15	1449	1199.89	794	120.216
lcl|NC_003112.2_cds_WP_061730199.1_16	219	50.2828	283.857	1025.57
lcl|NC_003112.2_cds_WP_002216134.1_17	924	674.887	229	61.6436
lcl|NC_003112.2_cds_WP_141562916.1_18	444	195.928	3041	2819.7
lcl|NC_003112.2_cds_WP_010980743.1_19	513	263.949	0	0
lcl|NC_003112.2_cds_WP_009349134.1_20	462	213.428	1462.86	1245.19
lcl|NC_003112.2_cds_WP_165439318.1_21	402	156.753	1419.85	1645.55
lcl|NC_003112.2_cds_22	387	143.651	0	0
lcl|NC_003112.2_cds_WP_002221781.1_23	339	106.494	1.00758	1.71886
lcl|NC_003112.2_cds_24	420	173.171	1304.4	1368.43
lcl|NC_003112.2_cds_WP_002221783.1_25	597	347.887	5614.27	2931.83
lcl|NC_003112.2_cds_WP_176607287.1_26	405	159.441	3.6043	4.1068
lcl|NC_003112.2_cds_27	328	99.1752	131	239.967
lcl|NC_003112.2_cds_WP_002216146.1_28	330	100.471	575	1039.71
lcl|NC_003112.2_cds_WP_002221786.1_29	219	50.2828	74	267.36
lcl|NC_003112.2_cds_WP_002225762.1_30	954	704.887	862	222.163
lcl|NC_003112.2_cds_WP_002225763.1_31	2058	1808.89	765	76.8305
lcl|NC_003112.2_cds_WP_002225764.1_32	1839	1589.89	734	83.8714
lcl|NC_003112.2_cds_WP_002243923.1_33	522	272.928	116	77.2137
lcl|NC_003112.2_cds_34	63	20.6799	0	0
lcl|NC_003112.2_cds_WP_002221791.1_35	1326	1076.89	454	76.5896
lcl|NC_003112.2_cds_WP_002225766.1_36	840	590.887	228	70.0994
lcl|NC_003112.2_cds_WP_002215233.1_37	1167	917.887	600	118.753
lcl|NC_003112.2_cds_WP_002243924.1_38	1266	1016.89	545	97.3661
lcl|NC_003112.2_cds_WP_002225768.1_39	330	100.471	160	289.311
lcl|NC_003112.2_cds_WP_002225769.1_40	1371	1121.89	160	25.9092
lcl|NC_003112.2_cds_WP_002243925.1_41	273	69.5764	11	28.722
lcl|NC_003112.2_cds_WP_002243926.1_42	714	464.887	83	32.4351
lcl|NC_003112.2_cds_WP_002243927.1_43	1002	752.887	882	212.825
lcl|NC_003112.2_cds_WP_002215243.1_44	849	599.887	550	166.562
lcl|NC_003112.2_cds_WP_002215245.1_45	486	237.094	469	359.365
lcl|NC_003112.2_cds_WP_010980745.1_46	1569	1319.89	262	36.0619
lcl|NC_003112.2_cds_WP_002243928.1_47	1266	1016.89	563	100.582
lcl|NC_003112.2_cds_WP_002216166.1_48	285	75.0802	0	0
lcl|NC_003112.2_cds_WP_164734201.1_49	138	32.781	0	0
lcl|NC_003112.2_cds_WP_080610130.1_50	3030	2780.89	2672.47	174.588
lcl|NC_003112.2_cds_WP_002221798.1_51	2151	1901.89	496	47.3784
lcl|NC_003112.2_cds_WP_002218483.1_52	1227	977.887	2344	435.465
lcl|NC_003112.2_cds_WP_002218487.1_53	1044	794.887	2021	461.897
lcl|NC_003112.2_cds_WP_002243931.1_54	687	437.887	256	106.209
lcl|NC_003112.2_cds_WP_002243932.1_55	408	162.15	53	59.3804
lcl|NC_003112.2_cds_WP_002243933.1_56	792	542.887	173	57.8923
lcl|NC_003112.2_cds_WP_002215267.1_57	417	170.389	282	300.67
lcl|NC_003112.2_cds_WP_161534225.1_58	297	81.0973	755.524	1692.49
lcl|NC_003112.2_cds_WP_002215274.1_59	1122	872.887	195	40.5845
lcl|NC_003112.2_cds_WP_002224746.1_60	2019	1769.89	671	68.8749
lcl|NC_003112.2_cds_WP_002220108.1_61	558	308.893	126.434	74.3601
lcl|NC_003112.2_cds_WP_002224747.1_62	867	617.887	314	92.3219
lcl|NC_003112.2_cds_WP_002224748.1_63	1068	818.887	558.5	123.903
lcl|NC_003112.2_cds_WP_002249104.1_64	1020	770.887	255.03	60.1015
lcl|NC_003112.2_cds_65	843	593.887	1058	323.643
lcl|NC_003112.2_cds_WP_001003263.1_66	735	485.887	0	0
lcl|NC_003112.2_cds_67	645	395.887	0	0
lcl|NC_003112.2_cds_WP_002215299.1_68	1050	800.887	5782	1311.57
lcl|NC_003112.2_cds_WP_002215295.1_69	687	437.887	1135	470.888
lcl|NC_003112.2_cds_WP_002226892.1_70	1134	884.887	1583	324.995
lcl|NC_003112.2_cds_WP_002215290.1_71	1176	926.887	1926	377.497
lcl|NC_003112.2_cds_WP_002215287.1_72	1164	914.887	1897	376.69
lcl|NC_003112.2_cds_WP_002215286.1_73	798	548.887	1070	354.148
lcl|NC_003112.2_cds_WP_002224750.1_74	651	401.887	978	442.098
lcl|NC_003112.2_cds_WP_002224749.1_75	2274	2024.89	294	26.3773
lcl|NC_003112.2_cds_76	1003	753.887	1751	421.953
lcl|NC_003112.2_cds_WP_002231447.1_77	345	110.684	274	449.728
lcl|NC_003112.2_cds_78	621	371.887	398.97	194.9
lcl|NC_003112.2_cds_WP_002224748.1_79	1068	818.887	558.5	123.903
lcl|NC_003112.2_cds_WP_002224747.1_80	867	617.887	314	92.3219
lcl|NC_003112.2_cds_WP_002224755.1_81	540	290.903	179.566	112.14
lcl|NC_003112.2_cds_WP_002224756.1_82	2115	1865.89	510	49.6557
lcl|NC_003112.2_cds_WP_002223278.1_83	1260	1010.89	1430	256.991
lcl|NC_003112.2_cds_84	1406	1156.89	459	72.0785
lcl|NC_003112.2_cds_WP_002224758.1_85	1215	965.887	1990	374.292
lcl|NC_003112.2_cds_WP_002215314.1_86	1017	767.887	454	107.409
lcl|NC_003112.2_cds_WP_002215316.1_87	198	44.7307	0	0
lcl|NC_003112.2_cds_WP_033908521.1_88	150	34.8258	0	0
lcl|NC_003112.2_cds_WP_002221819.1_89	1401	1151.89	1312	206.923
lcl|NC_003112.2_cds_WP_009344932.1_90	228	52.9553	6.31026	21.6482
lcl|NC_003112.2_cds_WP_002221820.1_91	1473	1223.89	1242	184.359
lcl|NC_003112.2_cds_92	673	423.887	156.854	67.2247
