target_id	length	eff_length	est_counts	tpm
lcl|NC_000913.3_cds_NP_414542.1_1	66	9.532	9639	15304.2
lcl|NC_000913.3_cds_NP_414543.1_2	2463	2270.39	70849	472.276
lcl|NC_000913.3_cds_NP_414544.1_3	933	740.394	20117	411.21
lcl|NC_000913.3_cds_NP_414545.1_4	1287	1094.39	36290	501.853
lcl|NC_000913.3_cds_NP_414546.1_5	297	131.18	1219	140.637
lcl|NC_000913.3_cds_NP_414547.1_6	777	584.498	2150	55.6697
lcl|NC_000913.3_cds_NP_414548.1_7	1431	1238.39	702	8.5791
lcl|NC_000913.3_cds_NP_414549.1_8	954	761.394	42969	854.101
lcl|NC_000913.3_cds_NP_414550.1_9	588	396.736	1013	38.6431
lcl|NC_000913.3_cds_NP_414551.1_10	567	376.07	987	39.7203
lcl|NC_000913.3_cds_NP_414552.1_11	714	521.628	118	3.42361
lcl|NC_000913.3_cds_YP_009518733.1_12	486	298.163	0	0
lcl|NC_000913.3_cds_NP_414554.1_13	405	223.071	77	5.22411
lcl|NC_000913.3_cds_NP_414555.1_14	1917	1724.39	56594	496.704
lcl|NC_000913.3_cds_NP_414556.1_15	1131	938.394	7036	113.476
lcl|NC_000913.3_cds_NP_414557.1_16	1113	920.394	2012	33.084
lcl|NC_000913.3_cds_NP_414559.1_17	210	70.0903	307	66.2894
lcl|NC_000913.3_cds_YP_025292.1_18	153	38.9219	0	0
lcl|NC_000913.3_cds_NP_414560.1_19	1167	974.394	4146	64.3959
lcl|NC_000913.3_cds_NP_414561.1_20	906	713.394	1403	29.764
lcl|NC_000913.3_cds_NP_414562.1_21	504	315.202	194.983	9.36209
lcl|NC_000913.3_cds_NP_414563.1_22	276	115.088	54.7543	7.2003
lcl|NC_000913.3_cds_NP_414564.1_23	264	106.214	62928	8966.59
lcl|NC_000913.3_cds_NP_414565.1_24	219	75.4849	71	14.2351
lcl|NC_000913.3_cds_NP_414566.1_25	942	749.394	7589	153.263
lcl|NC_000913.3_cds_NP_414567.1_26	2817	2624.39	29505	170.149
lcl|NC_000913.3_cds_NP_414568.1_27	495	306.715	4442	219.183
lcl|NC_000913.3_cds_NP_414569.1_28	450	264.333	2069	118.46
lcl|NC_000913.3_cds_NP_414570.1_29	951	758.394	3843	76.69
lcl|NC_000913.3_cds_NP_414571.1_30	915	722.394	400	8.3801
lcl|NC_000913.3_cds_NP_414572.1_31	822	629.437	9531	229.166
lcl|NC_000913.3_cds_NP_414573.1_32	1149	956.394	30994	490.461
lcl|NC_000913.3_cds_NP_414574.1_33	3222	3029.39	63021	314.842
lcl|NC_000913.3_cds_NP_414576.4_34	396	214.926	1023	72.0361
lcl|NC_000913.3_cds_NP_414577.2_35	591	399.696	112	4.24084
lcl|NC_000913.3_cds_NP_414578.2_36	786	593.498	64	1.63202
lcl|NC_000913.3_cds_NP_414579.4_37	1554	1361.39	428	4.75799
lcl|NC_000913.3_cds_NP_414580.1_38	1218	1025.39	155	2.28773
lcl|NC_000913.3_cds_NP_414581.1_39	1143	950.394	375	5.97161
lcl|NC_000913.3_cds_NP_414582.1_40	1515	1322.39	57	0.652345
lcl|NC_000913.3_cds_NP_414583.2_41	771	578.498	38	0.994135
lcl|NC_000913.3_cds_NP_414584.1_42	942	749.394	43	0.868404
lcl|NC_000913.3_cds_NP_414585.1_43	1287	1094.39	51	0.705277
lcl|NC_000913.3_cds_NP_414586.1_44	288	124.218	8	0.974698
lcl|NC_000913.3_cds_NP_414587.1_45	1332	1139.39	62	0.823534
lcl|NC_000913.3_cds_NP_414588.1_46	531	341.207	583	25.8591
lcl|NC_000913.3_cds_NP_414589.1_47	1863	1670.39	1928	17.4683
lcl|NC_000913.3_cds_NP_414590.1_48	480	292.452	1835	94.9609
lcl|NC_000913.3_cds_NP_414591.1_49	843	650.394	1652	38.4412
lcl|NC_000913.3_cds_NP_414592.1_50	378	198.936	1320	100.421
lcl|NC_000913.3_cds_NP_414593.1_51	822	629.437	3874	93.1475
lcl|NC_000913.3_cds_NP_414594.1_52	990	797.394	2921	55.4399
lcl|NC_000913.3_cds_NP_414595.1_53	1287	1094.39	11077	153.184
lcl|NC_000913.3_cds_NP_414596.1_54	2355	2162.39	20105	140.713
lcl|NC_000913.3_cds_NP_414597.1_55	816	623.458	1685	40.9031
lcl|NC_000913.3_cds_YP_009518734.1_56	651	458.998	1229	40.5233
lcl|NC_000913.3_cds_YP_009518735.1_57	159	42.1999	367	131.619
lcl|NC_000913.3_cds_NP_414600.1_58	660	467.906	1071	34.6414
lcl|NC_000913.3_cds_NP_414601.1_59	2907	2714.39	4146	23.1164
lcl|NC_000913.3_cds_NP_414602.1_60	2352	2159.39	1196	8.38229
lcl|NC_000913.3_cds_NP_414603.1_61	696	503.679	38	1.14181
lcl|NC_000913.3_cds_NP_414604.1_62	1503	1310.39	253	2.92201
lcl|NC_000913.3_cds_NP_414605.1_63	1701	1508.39	140	1.40468
lcl|NC_000913.3_cds_NP_414606.1_64	879	686.394	1317	29.0386
lcl|NC_000913.3_cds_NP_414607.1_65	765	572.517	1140	30.1356
lcl|NC_000913.3_cds_NP_414608.1_66	699	506.662	788	23.5381
lcl|NC_000913.3_cds_NP_414609.1_67	1611	1418.39	1445	15.4182
lcl|NC_000913.3_cds_NP_414610.1_68	984	791.394	4031	77.0874
lcl|NC_000913.3_cds_NP_414611.1_69	1656	1463.39	1134	11.7278
lcl|NC_000913.3_cds_YP_002791237.1_70	132	28.429	546	290.666
lcl|NC_000913.3_cds_YP_025293.1_71	1179	986.394	1271	19.5011
lcl|NC_000913.3_cds_NP_414613.1_72	606	414.519	13363	487.891
lcl|NC_000913.3_cds_NP_414614.1_73	1401	1208.39	22178	277.765
lcl|NC_000913.3_cds_NP_414615.4_74	1092	899.394	17832	300.064
lcl|NC_000913.3_cds_NP_414616.1_75	1572	1379.39	21338	234.115
lcl|NC_000913.3_cds_NP_414617.1_76	87	11.9766	7932	10023.4
