target_id	length	eff_length	est_counts	tpm
lcl|NC_000964.3_cds_NP_387882.1_1	1341	1142	3954	199.528
lcl|NC_000964.3_cds_NP_387883.1_2	1137	938	1749	107.453
lcl|NC_000964.3_cds_NP_387884.1_3	216	27.7621	75	155.684
lcl|NC_000964.3_cds_NP_387885.1_4	1113	914	3013	189.97
lcl|NC_000964.3_cds_NP_387886.2_5	246	48.8256	223	263.203
lcl|NC_000964.3_cds_NP_387887.1_6	1917	1718	5398	181.068
lcl|NC_000964.3_cds_NP_387888.1_7	2466	2267	8902	226.292
lcl|NC_000964.3_cds_NP_387889.1_8	948	749	78	6.00131
lcl|NC_000964.3_cds_NP_387890.1_9	1467	1268	11904	541.012
lcl|NC_000964.3_cds_NP_387891.1_10	1332	1133	2370	120.546
lcl|NC_000964.3_cds_NP_387892.1_11	885	686	10289	864.335
lcl|NC_000964.3_cds_NP_387893.1_12	591	392	6797	999.227
lcl|NC_000964.3_cds_NP_387894.1_13	1278	1079	1419	75.7869
lcl|NC_000964.3_cds_NP_387895.1_14	654	455	597	75.6129
lcl|NC_000964.3_cds_NP_387896.1_15	624	425	462	62.645
lcl|NC_000964.3_cds_NP_387897.1_16	1284	1085	334	17.7398
lcl|NC_000964.3_cds_NP_387898.1_17	546	347	85	14.1164
lcl|NC_000964.3_cds_NP_387899.1_18	486	287	310	62.2462
lcl|NC_000964.3_cds_NP_387900.2_19	1692	1493	3058	118.035
lcl|NC_000964.3_cds_NP_387901.1_20	324	125	880	405.701
lcl|NC_000964.3_cds_NP_387902.1_21	597	398	626	90.6409
lcl|NC_000964.3_cds_NP_387903.1_22	225	33.0062	170	296.816
lcl|NC_000964.3_cds_NP_387904.2_23	264	65.3593	29	25.5696
lcl|NC_000964.3_cds_NP_387905.1_24	195	18.8991	5	15.2462
lcl|NC_000964.3_cds_NP_387906.1_25	615	416	1216	168.451
lcl|NC_000964.3_cds_NP_387907.1_26	1161	962	2424	145.208
lcl|NC_000964.3_cds_NP_387908.1_27	1443	1244	2731	126.513
lcl|NC_000964.3_cds_NP_387909.2_28	639	440	785	102.814
lcl|NC_000964.3_cds_NP_387910.1_29	330	131	1065	468.502
lcl|NC_000964.3_cds_NP_387911.1_30	441	242	1033	245.99
lcl|NC_000964.3_cds_NP_387912.1_31	990	791	3454	251.64
lcl|NC_000964.3_cds_NP_387913.1_32	828	629	4251	389.47
lcl|NC_000964.3_cds_NP_387914.1_33	360	161	1284	459.592
lcl|NC_000964.3_cds_NP_387915.1_34	744	545	547	57.8394
lcl|NC_000964.3_cds_NP_387916.1_35	300	101.003	96	54.7734
lcl|NC_000964.3_cds_NP_387917.1_36	879	680	692	58.6449
lcl|NC_000964.3_cds_NP_387918.1_37	291	92.0123	790	494.783
lcl|NC_000964.3_cds_NP_387919.1_38	1995	1796	5479	175.804
lcl|NC_000964.3_cds_NP_387920.1_39	768	569	519	52.564
lcl|NC_000964.3_cds_NP_387921.1_40	1314	1115	7830	404.688
lcl|NC_000964.3_cds_NP_387922.1_41	561	362	229	36.4552
lcl|NC_000964.3_cds_NP_387923.1_42	879	680	368	31.1869
lcl|NC_000964.3_cds_NP_387924.1_43	873	674	69	5.8996
lcl|NC_000964.3_cds_NP_387925.1_44	261	62.4871	1878	1731.96
lcl|NC_000964.3_cds_NP_387926.1_45	186	16.2643	18	63.7779
lcl|NC_000964.3_cds_NP_387927.1_46	870	671	831	71.3693
lcl|NC_000964.3_cds_NP_387928.1_47	858	659	1954	170.873
lcl|NC_000964.3_cds_NP_387929.1_48	378	179	1381	444.604
lcl|NC_000964.3_cds_NP_387930.1_49	294	95.0079	22238	13488.7
lcl|NC_000964.3_cds_NP_387931.1_50	1371	1172	5716	281.059
lcl|NC_000964.3_cds_NP_387932.1_51	954	755	3399	259.44
lcl|NC_000964.3_cds_NP_387933.1_52	615	416	3986	552.175
lcl|NC_000964.3_cds_NP_387934.1_53	567	368	630	98.6565
lcl|NC_000964.3_cds_NP_387935.1_54	231	37.0315	130	202.305
lcl|NC_000964.3_cds_NP_387936.1_55	3534	3335	3881	67.0627
lcl|NC_000964.3_cds_NP_387937.1_56	537	338	422	71.9497
lcl|NC_000964.3_cds_NP_387938.1_57	1599	1400	377	15.5184
lcl|NC_000964.3_cds_NP_387939.1_58	1470	1271	1123	50.9175
lcl|NC_000964.3_cds_NP_387940.1_59	261	62.4871	103	94.9904
lcl|NC_000964.3_cds_NP_387941.1_60	303	104.002	171	94.7519
lcl|NC_000964.3_cds_NP_387942.1_61	636	437	433	57.1005
lcl|NC_000964.3_cds_NP_387943.1_62	378	179	2613	841.239
lcl|NC_000964.3_cds_NP_387944.1_63	387	188	4766	1460.93
lcl|NC_000964.3_cds_NP_387945.1_64	2484	2285	579	14.6024
lcl|NC_000964.3_cds_NP_387946.1_65	738	539	361	38.5968
lcl|NC_000964.3_cds_NP_387947.2_66	1017	818	124	8.73578
lcl|NC_000964.3_cds_NP_387948.1_67	1419	1220	4088	193.101
lcl|NC_000964.3_cds_NP_387949.1_68	543	344	1620	271.387
lcl|NC_000964.3_cds_NP_387950.1_69	1914	1715	17043	572.684
lcl|NC_000964.3_cds_NP_387951.2_70	777	578	501	49.9509
lcl|NC_000964.3_cds_NP_387952.1_71	876	677	857	72.95
lcl|NC_000964.3_cds_NP_387953.1_72	894	695	793	65.7539
lcl|NC_000964.3_cds_NP_387954.1_73	927	728	33037	2615.18
lcl|NC_000964.3_cds_NP_387955.1_74	1413	1214	3107	147.488
lcl|NC_000964.3_cds_NP_387956.1_75	585	386	2031	303.219
lcl|NC_000964.3_cds_NP_387957.1_76	882	683	2025	170.859
lcl|NC_000964.3_cds_NP_387958.1_77	858	659	2348	205.327
lcl|NC_000964.3_cds_NP_387959.1_78	363	164	649	228.052
lcl|NC_000964.3_cds_NP_387960.1_79	504	305	1164	219.931
lcl|NC_000964.3_cds_NP_387961.1_80	210	24.7787	221	513.981
lcl|NC_000964.3_cds_NP_387962.1_81	1002	803	4595	329.764
lcl|NC_000964.3_cds_NP_387963.1_82	1500	1301	5381	238.352
lcl|NC_000964.3_cds_NP_387964.1_83	465	266	374	81.0258
