target_id	length	eff_length	est_counts	tpm
lcl|NC_011916.1_cds_YP_002515376.1_1	906	707	2031	119.222
lcl|NC_011916.1_cds_YP_002515377.1_2	600	401	1239	128.231
lcl|NC_011916.1_cds_YP_002515378.1_3	858	659	1103	69.4637
lcl|NC_011916.1_cds_YP_002515379.1_4	600	401	878	90.8694
lcl|NC_011916.1_cds_YP_002515380.1_5	714	515	3718	299.619
lcl|NC_011916.1_cds_YP_002515381.1_6	789	590	2064	145.186
lcl|NC_011916.1_cds_YP_002515382.2_7	276	77.0924	4080	2196.42
lcl|NC_011916.1_cds_YP_002515383.1_8	1473	1274	24274	790.751
lcl|NC_011916.1_cds_YP_002515384.1_9	621	422	384	37.7647
lcl|NC_011916.1_cds_YP_002515385.1_10	1896	1697	27498	672.492
lcl|NC_011916.1_cds_YP_002515386.1_11	1158	959	5206	225.296
lcl|NC_011916.1_cds_YP_002515387.1_12	2712	2513	3769	62.2445
lcl|NC_011916.1_cds_YP_002515388.1_13	2823	2624	7075	111.9
lcl|NC_011916.1_cds_YP_002515389.1_14	477	278	651	97.186
lcl|NC_011916.1_cds_YP_002515390.1_15	552	353	1332	156.602
lcl|NC_011916.1_cds_YP_002515391.1_16	453	254	147	24.0188
lcl|NC_011916.1_cds_YP_002515392.1_17	240	43.8339	73	69.1162
lcl|NC_011916.1_cds_YP_002515393.1_18	1050	851	1674	81.6382
lcl|NC_011916.1_cds_YP_002515394.1_19	633	434	874	83.5775
lcl|NC_011916.1_cds_YP_002515395.1_20	225	33.0062	1389	1746.52
lcl|NC_011916.1_cds_YP_009020482.1_21	114	6.91205	0	0
lcl|NC_011916.1_cds_YP_002515396.1_22	2193	1994	2743	57.0911
lcl|NC_011916.1_cds_YP_002515397.1_23	531	332	393	49.1272
lcl|NC_011916.1_cds_YP_002515398.2_24	333	134	207	64.1111
lcl|NC_011916.1_cds_YP_002515399.1_25	891	692	807	48.3989
lcl|NC_011916.1_cds_YP_002515400.1_26	1653	1454	3898	111.262
lcl|NC_011916.1_cds_YP_002515401.1_27	2703	2504	1026	17.0052
lcl|NC_011916.1_cds_YP_002515402.1_28	690	491	358	30.26
lcl|NC_011916.1_cds_YP_002515403.2_29	2322	2123	1378	26.9381
lcl|NC_011916.1_cds_YP_002515404.1_30	633	434	381	36.4337
lcl|NC_011916.1_cds_YP_002515405.1_31	735	536	437	33.8364
lcl|NC_011916.1_cds_YP_002515406.1_32	387	188	479	105.741
lcl|NC_011916.1_cds_YP_002515407.1_33	243	46.2882	124	111.178
lcl|NC_011916.1_cds_YP_009020483.1_34	621	422	547	53.7951
lcl|NC_011916.1_cds_YP_002515408.1_35	2139	1940	48020	1027.28
lcl|NC_011916.1_cds_YP_002515409.1_36	270	71.1874	10987	6405.36
lcl|NC_011916.1_cds_YP_002515410.1_37	933	734	23621	1335.58
lcl|NC_011916.1_cds_YP_002515411.1_38	450	251	1896	313.496
lcl|NC_011916.1_cds_YP_002515412.1_39	789	590	333	23.4239
lcl|NC_011916.1_cds_YP_002515413.1_40	576	377	224	24.6589
lcl|NC_011916.1_cds_YP_002515414.1_41	519	320	337	43.7067
lcl|NC_011916.1_cds_YP_002515415.2_42	552	353	3262	383.51
lcl|NC_011916.1_cds_YP_002515416.2_43	3030	2831	36022	528.075
lcl|NC_011916.1_cds_YP_002515417.1_44	651	452	19312	1773.19
lcl|NC_011916.1_cds_YP_002515418.1_45	1647	1448	18267	523.56
lcl|NC_011916.1_cds_YP_002515419.1_46	576	377	2781	306.145
lcl|NC_011916.1_cds_YP_002515420.1_47	534	335	8694	1077.07
lcl|NC_011916.1_cds_YP_002515421.1_48	387	188	1007	222.3
lcl|NC_011916.1_cds_YP_002515422.1_49	681	482	2546	219.219
lcl|NC_011916.1_cds_YP_002515423.1_50	1224	1025	16484	667.431
lcl|NC_011916.1_cds_YP_002515424.1_51	435	236	238	41.8536
lcl|NC_011916.1_cds_YP_002515425.1_52	1593	1394	2267	67.4926
lcl|NC_011916.1_cds_YP_002515426.1_53	927	728	1477	84.2009
lcl|NC_011916.1_cds_YP_002515427.3_54	456	257	919	148.406
lcl|NC_011916.1_cds_YP_002515428.1_55	945	746	1639	91.1817
lcl|NC_011916.1_cds_YP_002515429.1_56	1347	1148	3964	143.304
lcl|NC_011916.1_cds_YP_002515430.1_57	408	209	4798	952.756
lcl|NC_011916.1_cds_YP_002515431.1_58	453	254	236	38.5608
lcl|NC_011916.1_cds_YP_002515432.1_59	636	437	585	55.5574
lcl|NC_011916.1_cds_YP_002515433.1_60	633	434	1173	112.17
