uniprot_id	protein	gene	refseq	wt_tpm.txt
B8GYM1	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA	WP_010920107.1;YP_002517702.1;	69.8201
B8H4W7	Ribonuclease H (RNase H) (EC 3.1.26.4)	rnhA	WP_010921194.1;YP_002518849.1;	309.363
B8H535	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB	WP_010919237.1;YP_002516795.1;	590.782
B8GWZ1	30S ribosomal protein S15	rpsO	WP_010917925.1;YP_002515409.1;	6405.36
B8GXP2	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph	WP_010918041.1;YP_002515526.1;	188.441
B8GZ34	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB	WP_012639945.1;YP_002515758.1;	104.942
B8GW31	Chromosome partitioning protein ParA	parA	WP_010921580.1;YP_002519242.1;	209.156
B8GW20	Protein-export protein SecB	secB	WP_010921569.1;YP_002519231.1;	637.826
B8H5U4	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG	WP_010919354.1;YP_002516920.1;	177.736
B8GW32	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)	rsmG	WP_015923358.1;YP_002519243.1;	148.654
B8GXH3	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS	WP_010917973.1;YP_002515457.1;	195.883
B8GW30	Chromosome-partitioning protein ParB	parB	WP_024266006.1;YP_002519241.4;	238.114
B8GX12	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	WP_010919826.1;YP_002517410.1;	502.19
B8GWZ0	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp	WP_010917924.1;YP_002515408.1;	1027.28
B8H4M6	UPF0260 protein CCNA_03385		WP_010921108.1;YP_002518758.1;	107.046
B8GZ33	Modification methylase CcrMI (M.CcrMI) (EC 2.1.1.72) (Adenine-specific methyltransferase CcrMI)	ccrMIM	WP_010918266.1;YP_002515757.1;	335.276
B8H462	Probable transcriptional regulatory protein CCNA_03352		WP_010921076.1;YP_002518724.1;	283.882
B8GZ28	Chromosome partition protein Smc	smc	WP_010918261.1;YP_002515752.1;	37.179
B8H4M5	50S ribosomal protein L31	rpmE	WP_004616338.1;YP_002518757.1;	2507.05
B8H4W0	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS	WP_010921188.1;YP_002518842.1;	249.322
B8GVD8	Aspartate/glutamate leucyltransferase (EC 2.3.2.29)	bpt	WP_010919446.1;YP_002517016.1;	38.7178
B8GXP4	Protein GrpE (HSP-70 cofactor)	grpE	WP_012639893.1;YP_002515528.1;	365.275
B8GX11	DNA-binding protein HU	hup	WP_010919825.1;YP_002517409.1;	1096.85
B8H3Z4	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)		WP_010921016.1;YP_002518656.1;	109.712
B8GX15	Protein CicA	cicA	WP_012640373.1;YP_002517413.1;	201.858
B8H363	Flagellum-specific ATP synthase (EC 7.1.2.2)	fliI	WP_010920876.1;YP_002518508.1;	55.348
B8H6A8	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA	WP_010921418.1;YP_002519077.1;	185.312
B8GYE3	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def	WP_010918161.1;YP_002515648.1;	385.595
